Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Activity & Gear,200002039,New Hot Newborn Infant Baby Carrier Ergonomic Adjustable Breathable Wrap Sling Backpack Baby Care Artifact,1005001274633915,https://ae01.alicdn.com/kf/Hd14bb687f6174fbd9ae7acf7d8ed12b4v/New-Hot-Newborn-Infant-Baby-Carrier-Ergonomic-Adjustable-Breathable-Wrap-Sling-Backpack-Baby-Care-Artifact.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd14bb687f6174fbd9ae7acf7d8ed12b4v.jpg,https://ae04.alicdn.com/kf/H83d14ae0936244e29cb8da22c564d62bc.jpg,https://ae04.alicdn.com/kf/H4f09d2e8c83844d09ed91763cd717117e.jpg,https://ae04.alicdn.com/kf/H7d065cf90a684bfa8946fb39a16bae5fP.jpg,https://ae04.alicdn.com/kf/Hbdcb46c346d04635a950c2d2c7c2ec5em.jpg,",https://www.aliexpress.com/item/1005001274633915.html,2.92,2.07,12.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_AXIuYW
Activity & Gear,200002039,New Hot Toddler Baby Care Walking Harnesses Backpack Leashes Little Children Kids Assistant Learning Safety Reins Harness Walker,1005001274676493,https://ae01.alicdn.com/kf/H5833f43895c94dcc86984d717f8e7c5ed/New-Hot-Toddler-Baby-Care-Walking-Harnesses-Backpack-Leashes-Little-Children-Kids-Assistant-Learning-Safety-Reins.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5833f43895c94dcc86984d717f8e7c5ed.jpg,https://ae04.alicdn.com/kf/H3366513dc9ee43d5ad7720eb3d3d07a0U.jpg,https://ae04.alicdn.com/kf/Hc18307e0d53d490cacf544a01ebabcbdZ.jpg,https://ae04.alicdn.com/kf/H62b8209303f44d91ab423902fcb783d2t.jpg,https://ae04.alicdn.com/kf/H6ec70e1ae1dc487291cbcecd4fb084d0G.jpg,",https://www.aliexpress.com/item/1005001274676493.html,5.98,4.25,8.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_9gKDTC
Activity & Gear,200002039,Multifunctional Baby Sling Infant Toddler Carrier Bag Fabric Cotton Floral Comfortable Dual Use Breast-feeding Nursing Cover,1005002264426306,https://ae01.alicdn.com/kf/H912759acbfdf487b91f1e0251c66ffb6e/Multifunctional-Baby-Sling-Infant-Toddler-Carrier-Bag-Fabric-Cotton-Floral-Comfortable-Dual-Use-Breast-feeding-Nursing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H912759acbfdf487b91f1e0251c66ffb6e.jpg,https://ae04.alicdn.com/kf/Hed803f8281134ce7b7bca23fcfd23a0db.jpg,https://ae04.alicdn.com/kf/Hfb4d2e48456341b2bd3449ced3de56a6R.jpg,https://ae04.alicdn.com/kf/H2ac78e06ca3f4ffca26c03e6d4b3baf9O.jpg,https://ae04.alicdn.com/kf/H3cf2b7dc54744a9ab5d7357748d3d1fbD.jpg,",https://www.aliexpress.com/item/1005002264426306.html,32.58,16.29,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9zprno
Activity & Gear,200002039,AMTOY Diaper Bag Backpack Mommy Bag with USB Charging Port for Baby Large Capacity Waterproof Travel Bag with Changing Station,1005001387736665,https://ae01.alicdn.com/kf/Hba8c69c7cd0c4047a801c87cdf3b8febb/AMTOY-Diaper-Bag-Backpack-Mommy-Bag-with-USB-Charging-Port-for-Baby-Large-Capacity-Waterproof-Travel.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hba8c69c7cd0c4047a801c87cdf3b8febb.jpg,https://ae04.alicdn.com/kf/H23787d51e0044a1899cd01901e396ccf1.jpg,https://ae04.alicdn.com/kf/H505f3aa0b4f341cfa178c65d229e0b22Z.jpg,https://ae04.alicdn.com/kf/H76588e7845644f1b89c29ac8ca937706B.jpg,https://ae04.alicdn.com/kf/H211871c1972c459e8ac533ce2f363c7cC.jpg,",https://www.aliexpress.com/item/1005001387736665.html,69.53,33.37,20.00%,2098-12-31,52%,https://s.click.aliexpress.com/e/_AK590E
Activity & Gear,200002039,Upgrade Mummy Bag Stroller Diaper Bags Foldable Baby Travel Bed Waterproof Moms Backpack Baby Nursing Bag + Sponge Mat Gift,1005001756860630,https://ae01.alicdn.com/kf/Hdcbcb87929ce4070b50ee96f192892cbf/Upgrade-Mummy-Bag-Stroller-Diaper-Bags-Foldable-Baby-Travel-Bed-Waterproof-Moms-Backpack-Baby-Nursing-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdcbcb87929ce4070b50ee96f192892cbf.jpg,https://ae04.alicdn.com/kf/H75ba9caca835478ab932e493e7102327C.jpg,https://ae04.alicdn.com/kf/H8042ca4a295b4968b55e9658aaf225d2K.jpg,https://ae04.alicdn.com/kf/H4c69ad728abb4935b34d44cc8ac3f50bB.jpg,https://ae04.alicdn.com/kf/H6826b41ce84f43d69a344c74be008eb6z.jpg,",https://www.aliexpress.com/item/1005001756860630.html,49.60,38.19,12.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_A0LqXc
Activity & Gear,200002039,Mommy Bag Portable Baby Snack Diaper Bag Large Capacity Mom Backpack Handbag Waterproof Multifunction Fashion Nappy Bag,1005001779975751,https://ae01.alicdn.com/kf/H99b5f2ad5bc04db6ba7ab0e75b52f1c13/Mommy-Bag-Portable-Baby-Snack-Diaper-Bag-Large-Capacity-Mom-Backpack-Handbag-Waterproof-Multifunction-Fashion-Nappy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H99b5f2ad5bc04db6ba7ab0e75b52f1c13.jpg,https://ae04.alicdn.com/kf/Hbbf4d2903e4e475c95df92c8fc6e17c3S.jpg,https://ae04.alicdn.com/kf/He6dd1ac75aeb4dbfada8aefb548ddf76h.jpg,https://ae04.alicdn.com/kf/Hf5de8bc38d474644b866d0cd69d230f0l.jpg,https://ae04.alicdn.com/kf/H94bb33991e0c46ca88febb83782b899dp.jpg,",https://www.aliexpress.com/item/1005001779975751.html,45.80,26.11,12.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_9IPg6a
Activity & Gear,200002039,Baby Backpack Bed Portable Sleep Bed Infant Travel Bag Toddler Sleeping Basket Mummy Bag with Mosquito Net for 0-18month,1005001761855279,https://ae01.alicdn.com/kf/H9b733e2bcfef42679db53f762471815dC/Baby-Backpack-Bed-Portable-Sleep-Bed-Infant-Travel-Bag-Toddler-Sleeping-Basket-Mummy-Bag-with-Mosquito.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9b733e2bcfef42679db53f762471815dC.jpg,https://ae04.alicdn.com/kf/Hb78e9dbceeed42238814fe30389eda16P.jpg,https://ae04.alicdn.com/kf/H0d26dd70b26c4ddea93aedcbabbcfb905.jpg,https://ae04.alicdn.com/kf/Hf6e9a7508df7421d974be9bcb7fcc604U.jpg,https://ae04.alicdn.com/kf/Hc25196a156224465ba98a5a0f1471de8N.jpg,",https://www.aliexpress.com/item/1005001761855279.html,27.38,19.17,12.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A3UCww
Activity & Gear,200002039,Children Bluey Kindergarten Backpack Kids Cute Cartoon Dog Rucksack Toddler Anime Knapsack Boys Girls Bookbag Mochila Gift,1005002289416677,https://ae01.alicdn.com/kf/H7f9d6306f2b541ed864823505e7ea224S/Children-Bluey-Kindergarten-Backpack-Kids-Cute-Cartoon-Dog-Rucksack-Toddler-Anime-Knapsack-Boys-Girls-Bookbag-Mochila.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7f9d6306f2b541ed864823505e7ea224S.jpg,https://ae04.alicdn.com/kf/Hb78a63c9129f4608a5ae8c649ad3cfbc1.jpg,https://ae04.alicdn.com/kf/H183d484dcead46339aa95f57f8dc48f4b.jpg,https://ae04.alicdn.com/kf/Haf08580971fe4d6094bf7be45af33006x.jpg,https://ae04.alicdn.com/kf/H617d096e02f34f03b15f03ceeee64a4c6.jpg,",https://www.aliexpress.com/item/1005002289416677.html,17.88,12.52,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AAYPlG
Activity & Gear,200002039,Cute Ladybug Baby Safety Harness Backpack Mini Toddler Anti-Lost Bag Children Comfortable School Bags Toddler Walking Safety Bag,1005002254905178,https://ae01.alicdn.com/kf/Hb91f7510346e4760af5c061e5e961a392/Cute-Ladybug-Baby-Safety-Harness-Backpack-Mini-Toddler-Anti-Lost-Bag-Children-Comfortable-School-Bags-Toddler.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb91f7510346e4760af5c061e5e961a392.jpg,https://ae04.alicdn.com/kf/H3ec5e467e2834dd1a7083f8dee770da9h.jpg,https://ae04.alicdn.com/kf/Haa88019a05f4421ba582b7f64fea4307H.jpg,https://ae04.alicdn.com/kf/H98c531afaf1443aeb57e1db0d40d0c76z.jpg,https://ae04.alicdn.com/kf/He3f86721b0ce42f89a8448b424cf56c9C.jpg,",https://www.aliexpress.com/item/1005002254905178.html,41.88,24.71,8.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AW0z9y
Activity & Gear,200002039,Messenger Bag 2020 Autumn Winter Toddler Girls Fashion Bag Cross Body Mini Purse PU Chill Kids Chic Korean Square Backpack,1005001714108758,https://ae01.alicdn.com/kf/Hb9d209b7b1ef4ce8bed4815aeba8c43bU/Messenger-Bag-2020-Autumn-Winter-Toddler-Girls-Fashion-Bag-Cross-Body-Mini-Purse-PU-Chill-Kids.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb9d209b7b1ef4ce8bed4815aeba8c43bU.jpg,https://ae04.alicdn.com/kf/H0e384e2cb51b4484b2ade304c276273be.jpg,https://ae04.alicdn.com/kf/H8fd77b3d2b394d34a4e1b78305f2323ea.jpg,https://ae04.alicdn.com/kf/H5171d7815c7045f590d05e68ccd0eec6z.jpg,https://ae04.alicdn.com/kf/Hdacd6a0993994197a231a63353f2daf29.jpg,",https://www.aliexpress.com/item/1005001714108758.html,4.69,3.52,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_9yVtgw
