Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Baby Shoes,200000937,Newborn Baby Girl Shoes Sequins Glitter Crib Shoes Hairband Soft Sole Shoes Kids Party Princess Prewalker 0-18M,32884919372,https://ae01.alicdn.com/kf/He40efd0864cb41b890fc9db339e3cffal/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/He40efd0864cb41b890fc9db339e3cffal/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg,https://ae01.alicdn.com/kf/Hef9933ceb6f84d23b0874847c8452a19S/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg,https://ae01.alicdn.com/kf/H8102c8c76df447f2b842ec41162ed2d2l/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg,https://ae01.alicdn.com/kf/H59e15db97e084c768587bbe7545eb034T/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg,https://ae01.alicdn.com/kf/H342cc91442be4bc395f25e597a1071d9s/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker.jpg,",https://www.aliexpress.com/item/Newborn-Baby-Girl-Shoes-Sequins-Glitter-Crib-Shoes-Hairband-Soft-Sole-Shoes-Kids-Party-Princess-Prewalker/32884919372.html,3.91,2.66,15.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_99UrDz
Baby Shoes,200000937,Newborn Infant Baby Boys Girls Slippers Soft Sole Non Skid Crib House Shoes Cute Animal Winter Warm Booties Gray/Pink,4001276288528,https://ae01.alicdn.com/kf/H636e5a86d3a2406da59cbc9fc720c39aR/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H636e5a86d3a2406da59cbc9fc720c39aR/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg,https://ae01.alicdn.com/kf/H6c666950c5ae47bb8dce3381b443678ao/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg,https://ae01.alicdn.com/kf/H897535a83a594efd9465f4ac0f62908aU/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg,https://ae01.alicdn.com/kf/He6861a0df4194aa58cc84c6f540f5dcaL/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg,https://ae01.alicdn.com/kf/He4fa87e9d020461c86f48f64552209f3F/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter.jpg,",https://www.aliexpress.com/item/Newborn-Infant-Baby-Boys-Girls-Slippers-Soft-Sole-Non-Skid-Crib-House-Shoes-Cute-Animal-Winter/4001276288528.html,2.23,1.87,8.00%,2098-12-31,16%,https://s.click.aliexpress.com/e/_AOp16n
Baby Shoes,200000937,2016 Spring / Autumn Infant Baby Boy Soft Sole PU Leather First Walkers Crib Shoes 0-18 Months,32737769203,https://ae01.alicdn.com/kf/Hcd27c0f28b2c428aa4670d3481989e89Z/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hcd27c0f28b2c428aa4670d3481989e89Z/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg,https://ae01.alicdn.com/kf/HTB1D99RNpXXXXXzaXXXq6xXFXXX1/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg,https://ae01.alicdn.com/kf/HTB1DFKHNpXXXXatapXXq6xXFXXXB/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg,https://ae01.alicdn.com/kf/HTB1J2yMNpXXXXbqaXXXq6xXFXXXY/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg,https://ae01.alicdn.com/kf/HTB12nWTNpXXXXbXXVXXq6xXFXXXa/2020-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18.jpg,",https://www.aliexpress.com/item/2016-Spring-Autumn-Infant-Baby-Boy-Soft-Sole-PU-Leather-First-Walkers-Crib-Shoes-0-18/32737769203.html,3.99,3.07,12.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_ANVUlv
Baby Shoes,200000937,Baby Shoes Toddler Girls Booties Newborn PU Crib Shoes Kids Bowknot Soft Sole Prewalker Heart Shape Infant First Walkers,4000031751421,https://ae01.alicdn.com/kf/Hdd57c062abca4e15972696350f98b48fr/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hdd57c062abca4e15972696350f98b48fr/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg,https://ae01.alicdn.com/kf/HTB11hTbbhn1gK0jSZKPq6xvUXXau/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg,https://ae01.alicdn.com/kf/H3b4832aec3f04533978552182ad3ded6r/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg,https://ae01.alicdn.com/kf/HTB1YpzcbeP2gK0jSZFoq6yuIVXaz/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg,https://ae01.alicdn.com/kf/HTB18CnabkP2gK0jSZPxq6ycQpXaC/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape.jpg,",https://www.aliexpress.com/item/Baby-Shoes-Toddler-Girls-Booties-Newborn-PU-Crib-Shoes-Kids-Bowknot-Soft-Sole-Prewalker-Heart-Shape/4000031751421.html,3.95,2.77,10.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_98ut7Z
Baby Shoes,200000937,2020 New Fall Autumn Baby Girls 2020 New Winter Cute Cartoon Sheep Booties Toddler Warm First Walkers Animal Fleece Snow Boots,4001333045733,https://ae01.alicdn.com/kf/H9679ac7e4c6c450ebb792ce35e8a0803l/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H9679ac7e4c6c450ebb792ce35e8a0803l/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg,https://ae01.alicdn.com/kf/H632adb115f05411098a828c99a5c528eY/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg,https://ae01.alicdn.com/kf/He62f913babbb49ea83e7cf2a75f99b8em/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg,https://ae01.alicdn.com/kf/Hba54ee076ddb44ed8ec041f2b1e254b2H/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg,https://ae01.alicdn.com/kf/H1bdf1398a2d649579ecf0410d0b83e21d/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First.jpg,",https://www.aliexpress.com/item/2020-New-Fall-Autumn-Baby-Girls-2020-New-Winter-Cute-Cartoon-Sheep-Booties-Toddler-Warm-First/4001333045733.html,3.11,2.49,10.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AblFt5
Baby Shoes,200000937,Candy Solid Floral Princess Shoes Baby Soft Bottom Anti-slip Shoes Footwear Classic Girl Crib Toddler  Mary Jane Big Flower Shoe,4000104788385,https://ae01.alicdn.com/kf/HTB1iLQUKXXXXXXNapXXq6xXFXXXx/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1iLQUKXXXXXXNapXXq6xXFXXXx/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg,https://ae01.alicdn.com/kf/HTB1hoxNSVXXXXb2aXXXq6xXFXXXQ/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg,https://ae01.alicdn.com/kf/HTB15yBbKpXXXXXiXVXXq6xXFXXXo/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg,https://ae01.alicdn.com/kf/HTB1IMVhKpXXXXbOXpXXq6xXFXXXM/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg,https://ae01.alicdn.com/kf/HTB1myI9KXXXXXXuXVXXq6xXFXXXK/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler.jpg,",https://www.aliexpress.com/item/Candy-Solid-Floral-Princess-Shoes-Baby-Soft-Bottom-Anti-slip-Shoes-Footwear-Classic-Girl-Crib-Toddler/4000104788385.html,3.73,2.24,8.50%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AqjzY7
Baby Shoes,200000937,2020 New 0-18M Newborn Baby Girls Boys Winter Fur Booties Infant Warm Snow Boots Strappy Shoes little Kids,1005001436804397,https://ae01.alicdn.com/kf/H0572fb7954f94dc9842dacc101564c597/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H0572fb7954f94dc9842dacc101564c597/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg,https://ae01.alicdn.com/kf/Hdc6a1d682be047e391faf56c5037f857d/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg,https://ae01.alicdn.com/kf/He5eebfcc769d49ac9ccbc74fb472886bv/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg,https://ae01.alicdn.com/kf/H3a770bcf9556401d8862cc93938a9a065/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg,https://ae01.alicdn.com/kf/H1bac81d0f3b941aaae8ec4b6615621e6x/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy.jpg,",https://www.aliexpress.com/item/2020-New-0-18M-Newborn-Baby-Girls-Boys-Winter-Fur-Booties-Infant-Warm-Snow-Boots-Strappy/1005001436804397.html,4.49,3.59,28.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9G5x9l
Baby Shoes,200000937,Fashion Soft Non-slip Heart Star Pattern Toddler Baby First Walkers Artifial Leather Sneakers Rubber Baby Girl Lace Up Shoes,1005001873586533,https://ae01.alicdn.com/kf/HTB1_E99eStYBeNjSspaq6yOOFXaX/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/HTB1_E99eStYBeNjSspaq6yOOFXaX/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg,https://ae01.alicdn.com/kf/HTB1kpA.SXXXXXb.aXXXq6xXFXXXo/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg,https://ae01.alicdn.com/kf/HTB14VZ9SXXXXXanapXXq6xXFXXXH/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg,https://ae01.alicdn.com/kf/HTB1cV4MSpXXXXbvXXXXq6xXFXXXt/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg,https://ae01.alicdn.com/kf/HTB1sYA.SXXXXXXQapXXq6xXFXXXG/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby.jpg,",https://www.aliexpress.com/item/Fashion-Soft-Non-slip-Heart-Star-Pattern-Toddler-Baby-First-Walkers-Artifial-Leather-Sneakers-Rubber-Baby/1005001873586533.html,4.69,3.99,8.00%,2098-12-31,15%,https://s.click.aliexpress.com/e/_ArPxeR
Baby Shoes,200000937,0-18Months Baby Sports Sneakers Shoes Newborn Baby Boys Girls First Walkers Shoes Infant Toddler Soft Sole Anti-slip Baby Shoes,1005002007995186,https://ae01.alicdn.com/kf/Hae31b292aa6b4516a875c6bb985049e6v/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hae31b292aa6b4516a875c6bb985049e6v/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg,https://ae01.alicdn.com/kf/Hb195b9313b684b2db80af67bdd2c3729g/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg,https://ae01.alicdn.com/kf/H38b61a1dfaa24fe7a1d0482e474d36eep/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg,https://ae01.alicdn.com/kf/H1359f18619354aaa93a46650bfde4e70B/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg,https://ae01.alicdn.com/kf/H619d397d68e1481db498726dfee5add6s/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft.jpg,",https://www.aliexpress.com/item/0-18Months-Baby-Sports-Sneakers-Shoes-Newborn-Baby-Boys-Girls-First-Walkers-Shoes-Infant-Toddler-Soft/1005002007995186.html,3.10,2.33,60.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AVbCnN
Baby Shoes,200000937,Dinoskulls 2020 New Baby Autumn Running Shoes T-Rex Light Up LED Fashion Net Breathable Children School Sneakers Shoes Slip-On,1005001620968284,https://ae01.alicdn.com/kf/H4b81657360334d51b6ed165b710725e2h/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H4b81657360334d51b6ed165b710725e2h/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg,https://ae01.alicdn.com/kf/H968bba21198f46d2b419e20097c613b72/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg,https://ae01.alicdn.com/kf/Hb0791fedba8640d38ba9f23f42cf2377U/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg,https://ae01.alicdn.com/kf/H19a9f0a5972f4406a45129d066d50c54D/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg,https://ae01.alicdn.com/kf/H41e065bba06e4dc3856f35e710067137t/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children.jpg,",https://www.aliexpress.com/item/Dinoskulls-2020-New-Baby-Autumn-Running-Shoes-T-Rex-Light-Up-LED-Fashion-Net-Breathable-Children/1005001620968284.html,43.99,23.75,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_AoAq1h
