Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Bag Parts & Accessories,152409,Replacement Shoulder Adjustable Strap For Luggage Messenger Camera Bag Polyester Black Brown Bag Accessories PA879207,4000866411261,https://ae01.alicdn.com/kf/H5e29417a5b4e412dbe224606b858282c6/Replacement-Shoulder-Adjustable-Strap-For-Luggage-Messenger-Camera-Bag-Polyester-Black-Brown-Bag-Accessories-PA879207.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5e29417a5b4e412dbe224606b858282c6.jpg,https://ae04.alicdn.com/kf/Hb88d0651232a497ab8ba864996c70dffs.jpg,https://ae04.alicdn.com/kf/Hd6676ce4eae847f3a281b2d9a1052374w.jpg,https://ae04.alicdn.com/kf/H3e3f8938d32c43edba843ce2f9aa321et.jpg,https://ae04.alicdn.com/kf/Hb9c2fd93ddbd47fe8dc85f7f3dd68a42v.jpg,",https://www.aliexpress.com/item/4000866411261.html,5.27,3.58,8.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_AfDRTG
Bag Parts & Accessories,152409,Casual Crossbody Shoulder Strap Lanyard Bag Belt Replacement Mobile Phone Bag Belt Mask Lanyard Handle Strap Fashion,1005001736699581,https://ae01.alicdn.com/kf/H6e6bbca686694204bce6b486b709ddd5e/Casual-Crossbody-Shoulder-Strap-Lanyard-Bag-Belt-Replacement-Mobile-Phone-Bag-Belt-Mask-Lanyard-Handle-Strap.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6e6bbca686694204bce6b486b709ddd5e.jpg,https://ae04.alicdn.com/kf/H8988b81f605a425383ca89fe56ac29ddN.jpg,https://ae04.alicdn.com/kf/H5d799298adbd4a638c194a3fc356e021m.jpg,https://ae04.alicdn.com/kf/Hf66bf8e8f11f4f819ad091c1185c897fp.jpg,https://ae04.alicdn.com/kf/H0746e3d731484291bdc0e5bb01963236Q.jpg,",https://www.aliexpress.com/item/1005001736699581.html,1.48,1.15,10.00%,2098-12-31,22%,https://s.click.aliexpress.com/e/_9J7oOq
Bag Parts & Accessories,152409,Adjustable Wide Backpack Straps Replacement Shoulder Rucksack School Book Bag Belt Canvas Band DIY Accessories,1005002089087382,https://ae01.alicdn.com/kf/Ha7d50462cfa8426596bf96a8118d061bW/Adjustable-Wide-Backpack-Straps-Replacement-Shoulder-Rucksack-School-Book-Bag-Belt-Canvas-Band-DIY-Accessories.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha7d50462cfa8426596bf96a8118d061bW.jpg,https://ae04.alicdn.com/kf/H75fc01907d6b4cec88e023c39245263eV.jpg,https://ae04.alicdn.com/kf/H7d6247dd5b5642fc8b25866c9081df3fW.jpg,https://ae04.alicdn.com/kf/He0393ae79b5946a2abefd97148527748S.jpg,https://ae04.alicdn.com/kf/Hf25acfb4b1c24ddc8ede820237a7af52E.jpg,",https://www.aliexpress.com/item/1005002089087382.html,15.47,8.04,8.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_AKHnIE
Bag Parts & Accessories,152409,D-shaped Wooden Handbag Bag Parts Accessories  Replacement Handle for Handbag High Quality DIY Wooden Replacement Bag Handle,32962035549,https://ae01.alicdn.com/kf/H0ba2fb6d23c54e4e86b0aeba3c506b2e1/D-shaped-Wooden-Handbag-Bag-Parts-Accessories-Replacement-Handle-for-Handbag-High-Quality-DIY-Wooden-Replacement.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0ba2fb6d23c54e4e86b0aeba3c506b2e1.jpg,https://ae04.alicdn.com/kf/HTB1PBRoacfrK1RjSszcq6xGGFXag.jpg,https://ae04.alicdn.com/kf/HTB1RBRoacfrK1RjSszcq6xGGFXai.jpg,https://ae04.alicdn.com/kf/HTB1WdNvajDuK1Rjy1zjq6zraFXab.jpg,https://ae04.alicdn.com/kf/HTB1hOdracfrK1Rjy1Xdq6yemFXak.jpg,",https://www.aliexpress.com/item/32962035549.html,3.96,2.69,8.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_9gvZvC
Bag Parts & Accessories,152409,20.5cm Handle Concave Metal Purse Frame Kiss Clasp DIY Kiss Lock Bag Accessories Gold Frame Handle Clutch HandBag Hardware,4001084116662,https://ae01.alicdn.com/kf/H594eec83a4044ebca3fdf49714bc114eC/20-5cm-Handle-Concave-Metal-Purse-Frame-Kiss-Clasp-DIY-Kiss-Lock-Bag-Accessories-Gold-Frame.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H594eec83a4044ebca3fdf49714bc114eC.jpg,https://ae04.alicdn.com/kf/H802ba1917ca747c48bf88d9e4b174ba9l.jpg,https://ae04.alicdn.com/kf/H40cd3865a8c948e5897d7473f52c4ce9f.jpg,https://ae04.alicdn.com/kf/Hff8fbcbc579b4b97a29ef99c06d67b8e7.jpg,https://ae04.alicdn.com/kf/H5b1318f1f73441e6971be1e868c72262i.jpg,",https://www.aliexpress.com/item/4001084116662.html,14.03,7.58,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_9QMHbU
Bag Parts & Accessories,152409,Long Shoulder Bag Strap Cotton Fashion Wide Replacement Strap For Bags Nylon Woman Messenger Accessories Bag Straps,1005002058385601,https://ae01.alicdn.com/kf/H4414cac661344e64859345528337b25er/Long-Shoulder-Bag-Strap-Cotton-Fashion-Wide-Replacement-Strap-For-Bags-Nylon-Woman-Messenger-Accessories-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4414cac661344e64859345528337b25er.jpg,https://ae04.alicdn.com/kf/H3597c9680f2946b6b3b29aeae8224ff1s.jpg,https://ae04.alicdn.com/kf/H915eb15e0d324e2f85830ca3e4bde7b27.jpg,https://ae04.alicdn.com/kf/H0a64768dc38746589f2716fa74af9233x.jpg,https://ae04.alicdn.com/kf/H98699dcaa23c480d879e5959d1a30e71U.jpg,",https://www.aliexpress.com/item/1005002058385601.html,5.84,3.85,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9fTAQO
Bag Parts & Accessories,152409,145cm Length Bag Strap Men Briefcase Laptop Bag Belt High Quality Strong Shoulder Strap Bag Accessories Black Nylon Bag Strap,1005002079406450,https://ae01.alicdn.com/kf/H3caf56a1be484e36be29aca693aa80caE/145cm-Length-Bag-Strap-Men-Briefcase-Laptop-Bag-Belt-High-Quality-Strong-Shoulder-Strap-Bag-Accessories.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3caf56a1be484e36be29aca693aa80caE.jpg,https://ae04.alicdn.com/kf/H857cd00f79614d56901eabc078fe8ca1I.jpg,https://ae04.alicdn.com/kf/Hc0f4b0a55e9f4cd89582599531b01fbcI.jpg,https://ae04.alicdn.com/kf/Hfe40b07a79834dd3bee3530867955e2am.jpg,https://ae04.alicdn.com/kf/H18d87d3a198d4354a1fb5b59ed8e8a519.jpg,",https://www.aliexpress.com/item/1005002079406450.html,5.90,3.89,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_A3t7GW
Bag Parts & Accessories,152409,Round Wooden Handle for Handmade Handbag DIY Tote Purse Frame Making Bag Hanger,32910835018,https://ae01.alicdn.com/kf/HTB1JqfkmRnTBKNjSZPfq6zf1XXab/Round-Wooden-Handle-for-Handmade-Handbag-DIY-Tote-Purse-Frame-Making-Bag-Hanger.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1JqfkmRnTBKNjSZPfq6zf1XXab.jpg,https://ae04.alicdn.com/kf/HTB1VVAoh3ZC2uNjSZFnq6yxZpXa5.jpg,https://ae04.alicdn.com/kf/HTB1USAqJNSYBuNjSsphq6zGvVXat.jpg,https://ae04.alicdn.com/kf/HTB1L_HscO6guuRkSmLyq6AulFXaT.jpg,https://ae04.alicdn.com/kf/HTB1Vdp.dUD.BuNjt_h7q6yNDVXa0.jpg,",https://www.aliexpress.com/item/32910835018.html,1.90,1.41,8.00%,2098-12-31,26%,https://s.click.aliexpress.com/e/_AAOcB0
Bag Parts & Accessories,152409,D Shape Bag Handle Plastic Circle Handle Handbag Purse Making Shopping Tote Accessories Bag Accessory Replacement Handcrafted,1005002059097764,https://ae01.alicdn.com/kf/He7e35aaf72ea48f9b9c26ce935b2e9c2L/D-Shape-Bag-Handle-Plastic-Circle-Handle-Handbag-Purse-Making-Shopping-Tote-Accessories-Bag-Accessory-Replacement.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He7e35aaf72ea48f9b9c26ce935b2e9c2L.jpg,https://ae04.alicdn.com/kf/Hf10e504f253c48e6a4f7abb2ed469f573.jpg,https://ae04.alicdn.com/kf/H9fe81ac4cd434ea299deb228e868335ag.jpg,https://ae04.alicdn.com/kf/Ha1b1c6598d9a436b9d6aeb554033b2ebZ.jpg,https://ae04.alicdn.com/kf/H18c02aac370b4eb698c7eefd2b64ec56y.jpg,",https://www.aliexpress.com/item/1005002059097764.html,2.71,2.22,8.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_AeSOEO
Bag Parts & Accessories,152409,20.5cm Handle Concave metal purse frame Kiss Clasp DIY Kiss Lock bag Accessories Bronze gold,4000202991065,https://ae01.alicdn.com/kf/H29bb80cc8d784a86a1bb094095da6baeV/20-5cm-Handle-Concave-metal-purse-frame-Kiss-Clasp-DIY-Kiss-Lock-bag-Accessories-Bronze-gold.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H29bb80cc8d784a86a1bb094095da6baeV.jpg,https://ae04.alicdn.com/kf/Hb7fd59410099437ab009580e6b22762dF.jpg,https://ae04.alicdn.com/kf/Hd98de3ad044942419728efcb48e57a30p.jpg,https://ae04.alicdn.com/kf/Hdec27da705084b5681f30951d43d61266.jpg,https://ae04.alicdn.com/kf/H9aaefd4a33ea42fba9ca3025bc65ae60t.jpg,",https://www.aliexpress.com/item/4000202991065.html,14.03,7.58,8.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_A1WGLs
