Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Couple Watches,200362143,Men and women quartz fashion waterproof couple watches. GX-2863,1005001943435845,https://ae01.alicdn.com/kf/H68d6da7f020146248bdfaf0d1cacda66b/Men-and-women-quartz-fashion-waterproof-couple-watches-GX-2863.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H68d6da7f020146248bdfaf0d1cacda66b.jpg,https://ae04.alicdn.com/kf/Hebd5550fb2974ca89fe857220e948a966.jpg,https://ae04.alicdn.com/kf/H93cc1e9f28f44e45af375810802db7d4n.jpg,https://ae04.alicdn.com/kf/H3bff5d9768f449f59acd30168127f8fdB.jpg,https://ae04.alicdn.com/kf/Hff4bac0b8f9746c791551f6bd58bc76d3.jpg,",https://www.aliexpress.com/item/1005001943435845.html,129.99,36.40,8.00%,2098-12-31,72%,https://s.click.aliexpress.com/e/_A02Go0
Couple Watches,200362143,2021 Top Brand High Quality Hollow Automatic Mechanical Watch Luminous Waterproof Men's Watch trending,1005002048291432,https://ae01.alicdn.com/kf/Hcdd94d4aa6454129b5f0ba1b0e6a205bd/2021-Top-Brand-High-Quality-Hollow-Automatic-Mechanical-Watch-Luminous-Waterproof-Men-s-Watch-trending.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcdd94d4aa6454129b5f0ba1b0e6a205bd.jpg,https://ae04.alicdn.com/kf/H717edfd7c8d444b8bb6d3a054e1f615dN.jpg,https://ae04.alicdn.com/kf/H12bd668ef4834f74b42de2471187f62aM.jpg,https://ae04.alicdn.com/kf/H56ba5c40fe5340efaf168ce09e58ad1dx.jpg,https://ae04.alicdn.com/kf/H0527d799957d43eca5b82e6bb56ee95am.jpg,",https://www.aliexpress.com/item/1005002048291432.html,688.88,89.55,8.00%,2098-12-31,87%,https://s.click.aliexpress.com/e/_AFQcSG
Couple Watches,200362143,SINOBI 2021 Top Luxury Brand Fashion Unisex Wristwatches Men Watch NATO Durable Nylon Strap Ultra Thin Quartz Clock Reloj Hombre,1005002085158275,https://ae01.alicdn.com/kf/H3f642af291d5487dbf5ed172075fe695V/SINOBI-2021-Top-Luxury-Brand-Fashion-Unisex-Wristwatches-Men-Watch-NATO-Durable-Nylon-Strap-Ultra-Thin.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3f642af291d5487dbf5ed172075fe695V.jpg,https://ae04.alicdn.com/kf/H21842460e12e4b53bc6f73b199538d58g.jpg,https://ae04.alicdn.com/kf/Hc9be968b9fc443e8afedc34c64c8e4c6C.jpg,https://ae04.alicdn.com/kf/Hef56d3071dff4a038869cb85c09f9b06v.jpg,https://ae04.alicdn.com/kf/Hadb6933e0db84b2fa22b90161fa2e03dl.jpg,",https://www.aliexpress.com/item/1005002085158275.html,59.95,11.99,20.00%,2098-12-31,80%,https://s.click.aliexpress.com/e/_AF4Be0
Couple Watches,200362143,Tungsten Steel Fashion Waterproof Couple Watches For Men And Women. GX8697,1005001892065059,https://ae01.alicdn.com/kf/He2714bea04224718abc49efc28cb97beC/Tungsten-Steel-Fashion-Waterproof-Couple-Watches-For-Men-And-Women-GX8697.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He2714bea04224718abc49efc28cb97beC.jpg,https://ae04.alicdn.com/kf/Hfa7e1b5633f04aa4b4d90f0d19771dd92.jpg,https://ae04.alicdn.com/kf/H68ee4d889ca1402396397c4780ee6427A.jpg,https://ae04.alicdn.com/kf/H903f4004049a47c88d51991ccc9097f2I.jpg,https://ae04.alicdn.com/kf/H920848ae4ea5454684d63f1669ca9acbr.jpg,",https://www.aliexpress.com/item/1005001892065059.html,88.88,35.55,8.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_A2fZCc
Couple Watches,200362143,"Witness your love, the top brand high-quality diamond-studded couple waterproof mechanical watch for men and women, GX-6629",1005002046491417,https://ae01.alicdn.com/kf/Hc6e7fbd889aa48ab934fad8c4a92268fZ/Witness-your-love-the-top-brand-high-quality-diamond-studded-couple-waterproof-mechanical-watch-for-men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc6e7fbd889aa48ab934fad8c4a92268fZ.jpg,https://ae04.alicdn.com/kf/Hc5a6bba6f4dc48e68971ca378c9635b8I.jpg,https://ae04.alicdn.com/kf/Hd382a7d5a4b2447aaf9560869cb20b9bg.jpg,https://ae04.alicdn.com/kf/H02830a8611f640e9b5e3e242a408b56fW.jpg,https://ae04.alicdn.com/kf/H9ce7992b804b46b7a9ac43ffc49e84c78.jpg,",https://www.aliexpress.com/item/1005002046491417.html,520.00,104.00,8.00%,2098-12-31,80%,https://s.click.aliexpress.com/e/_9Av8pw
Couple Watches,200362143,OLEVS automatic mechanical men watches couple watches ladies wristwatch waterproof top luxury Valentine's day 2021 gift for men,1005002136971802,https://ae01.alicdn.com/kf/H8ff26dc227204ccf868422f95cb23308t/OLEVS-automatic-mechanical-men-watches-couple-watches-ladies-wristwatch-waterproof-top-luxury-Valentine-s-day-2021.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ff26dc227204ccf868422f95cb23308t.jpg,https://ae04.alicdn.com/kf/H06651ff116954f0f910b5764c408dfa20.jpg,https://ae04.alicdn.com/kf/H0907411241eb402fb00b1b7908b81ab8a.jpg,https://ae04.alicdn.com/kf/H65d921475f0e453297ed37094007a40dl.jpg,https://ae04.alicdn.com/kf/H71129155aeea46789319c829861b95d0p.jpg,",https://www.aliexpress.com/item/1005002136971802.html,419.98,117.59,8.00%,2098-12-31,72%,https://s.click.aliexpress.com/e/_9H72HE
Couple Watches,200362143,"Witness your love, the top brand high-quality diamond-studded couple waterproof mechanical watch for men and women, GX-6630",1005002046017082,https://ae01.alicdn.com/kf/Hec99732afc7141e2adbaced9bae2c6c2V/Witness-your-love-the-top-brand-high-quality-diamond-studded-couple-waterproof-mechanical-watch-for-men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hec99732afc7141e2adbaced9bae2c6c2V.jpg,https://ae04.alicdn.com/kf/Hf8e99b0f6a794d9293174be70696c917w.jpg,https://ae04.alicdn.com/kf/Hb8f17592946f44cd9b476e14535f9b56d.jpg,https://ae04.alicdn.com/kf/H56bf2674d55f40b5967545c8cfb7a490P.jpg,https://ae04.alicdn.com/kf/Hb9912833570848baa92e7691dd6e7e85J.jpg,",https://www.aliexpress.com/item/1005002046017082.html,688.88,117.11,8.00%,2098-12-31,83%,https://s.click.aliexpress.com/e/_APWIik
Couple Watches,200362143,2021 Genuine Brand High Quality Business Quartz Watch Couple Watch GX-5568,1005002075367436,https://ae01.alicdn.com/kf/H1b38f29cfe70465cbf5a1523d4563c00H/2021-Genuine-Brand-High-Quality-Business-Quartz-Watch-Couple-Watch-GX-5568.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1b38f29cfe70465cbf5a1523d4563c00H.jpg,https://ae04.alicdn.com/kf/H7a788e52f08845579b3ccb429a2563afO.jpg,https://ae04.alicdn.com/kf/H9fcd205f90804bafa03e0dcb1e39a590A.jpg,https://ae04.alicdn.com/kf/H7b108203474c4c2ab1cf68d1b8d2cd873.jpg,https://ae04.alicdn.com/kf/H9a052f94b12341a194544540d31863c7a.jpg,",https://www.aliexpress.com/item/1005002075367436.html,268.88,40.33,8.00%,2098-12-31,85%,https://s.click.aliexpress.com/e/_AdmNzW
Couple Watches,200362143,2021 brand high quality new fashion waterproof luminous men and women couple quartz watch GX-5868,1005002071641832,https://ae01.alicdn.com/kf/Hadc51e495bdd4b079d2d02647a237f224/2021-brand-high-quality-new-fashion-waterproof-luminous-men-and-women-couple-quartz-watch-GX-5868.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hadc51e495bdd4b079d2d02647a237f224.jpg,https://ae04.alicdn.com/kf/H5bf52ff671a54f0bb4a806f40834dd7bO.jpg,https://ae04.alicdn.com/kf/H22b861c546e146cba294f0e39b7139b6r.jpg,https://ae04.alicdn.com/kf/Hf4d767520c204f7c909d9f9dad58a0b7u.jpg,https://ae04.alicdn.com/kf/H38f4d9cb1da442368a6f037837948288w.jpg,",https://www.aliexpress.com/item/1005002071641832.html,268.88,40.33,8.00%,2098-12-31,85%,https://s.click.aliexpress.com/e/_AsH2my
Couple Watches,200362143,New2021 manufacturers make Scottish plaid student watch fashion plaid ladies belt quartz watch couple watch unisex watch,1005002157694096,https://ae01.alicdn.com/kf/H8b83bfa789164549a619ce6c50ef20f0p/New2021-manufacturers-make-Scottish-plaid-student-watch-fashion-plaid-ladies-belt-quartz-watch-couple-watch-unisex.png_220x220.png,"https://ae04.alicdn.com/kf/H8b83bfa789164549a619ce6c50ef20f0p.png,https://ae04.alicdn.com/kf/H7c046c832dd245459c13a7fdda76b34be.png,https://ae04.alicdn.com/kf/H2ff2264e243b4286a9c61bb04beb9b99h.png,",https://www.aliexpress.com/item/1005002157694096.html,49.99,30.49,10.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_A9EbwY
