Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Communication Equipment,100001204,High gain 3G 4G LTE outdoor signal amplification barrel antenna 4GLTE router demodulator gateway antenna,1005002003090793,https://ae01.alicdn.com/kf/Hbcab501487084435a428f9a60e69bed6v/High-gain-3G-4G-LTE-outdoor-signal-amplification-barrel-antenna-4GLTE-router-demodulator-gateway-antenna.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbcab501487084435a428f9a60e69bed6v.jpg,https://ae04.alicdn.com/kf/Haec5428405214aab94a7a6a19c276d69c.jpg,https://ae04.alicdn.com/kf/Hef85277a2e2e48d4a956d1af462519180.jpg,https://ae04.alicdn.com/kf/Hb10378177a2d4e9eac55d95aa1a82869z.jpg,https://ae04.alicdn.com/kf/H356f4586a4134d96be3dbc4e8e16cfedO.jpg,",https://www.aliexpress.com/item/1005002003090793.html,23.64,19.38,30.00%,2098-12-31,18%,https://s.click.aliexpress.com/e/_AcW2Ny
Communication Equipment,100001204,OTDR transfer connector FC ST SC LC adaptor OTDR Fiber Optic Connector For Optical Time Domain Reflectometer Fiber Adapter,4000046656336,https://ae01.alicdn.com/kf/H5b0470c63f5d4ba58b6961038df097b2s/OTDR-transfer-connector-FC-ST-SC-LC-adaptor-OTDR-Fiber-Optic-Connector-For-Optical-Time-Domain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5b0470c63f5d4ba58b6961038df097b2s.jpg,https://ae04.alicdn.com/kf/H892f24ef7bc14998b5effeff92236200A.jpg,https://ae04.alicdn.com/kf/Hf67ed93d3a5f4d948a2f538ca013a115g.jpg,https://ae04.alicdn.com/kf/H416f1a91e72a4601afa48c5ed8b7a896k.jpg,https://ae04.alicdn.com/kf/H8092afb73ebc4e52a7285a60b8de12234.jpg,",https://www.aliexpress.com/item/4000046656336.html,14.65,10.99,8.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_9A30g2
Communication Equipment,100001204,SMA Male to SMA Female Cable RG174 RF Connector Adapter WIFI Antenna Extension Cable with Magnetic Base,1005001999629242,https://ae01.alicdn.com/kf/H29d7695d2d3142b7b2543279f6010ca3U/SMA-Male-to-SMA-Female-Cable-RG174-RF-Connector-Adapter-WIFI-Antenna-Extension-Cable-with-Magnetic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H29d7695d2d3142b7b2543279f6010ca3U.jpg,https://ae04.alicdn.com/kf/Ha174adbaad3f4be2904584e2a7d5a075z.jpg,https://ae04.alicdn.com/kf/H67f2405197ac441eb5193083e4dc33f0M.jpg,https://ae04.alicdn.com/kf/H9372b006516c450a8d0cc301d98854cdt.jpg,https://ae04.alicdn.com/kf/Hacb09c6f4ea14d03bf0e3bfdb0e52f0ca.jpg,",https://www.aliexpress.com/item/1005001999629242.html,7.12,4.98,11.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9xEAMK
Communication Equipment,100001204,20m Pure Copper Gold Plated Cables Male to Female Antenna RG174 RP-SMA Extension Cable Wire WiFi Wi-Fi For Router Wlan,1005002132873421,https://ae01.alicdn.com/kf/Hf712773b09184bf88ac8545862cb041eT/20m-Pure-Copper-Gold-Plated-Cables-Male-to-Female-Antenna-RG174-RP-SMA-Extension-Cable-Wire.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf712773b09184bf88ac8545862cb041eT.jpg,https://ae04.alicdn.com/kf/Hb44b2e046d5a49cca00955a0aaffb0848.jpg,https://ae04.alicdn.com/kf/H9c68d909b60e48979822a4f0570ef958C.jpg,https://ae04.alicdn.com/kf/H61b070609bb84f1e9c87205435dfaf09B.jpg,https://ae04.alicdn.com/kf/Hc483a072f56543d5aaaa59aaeab0c3baZ.jpg,",https://www.aliexpress.com/item/1005002132873421.html,11.68,7.71,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_ApN0Ee
Communication Equipment,100001204,Handheld FTTH Fiber Optic Optical Light Power Meter Fiber Optical Cable Tester Networks FC/SC connectors -70~+20dBm,1005002161416852,https://ae01.alicdn.com/kf/Hd702242289ae475c94df300d956efd22W/Handheld-FTTH-Fiber-Optic-Optical-Light-Power-Meter-Fiber-Optical-Cable-Tester-Networks-FC-SC-connectors.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd702242289ae475c94df300d956efd22W.jpg,https://ae04.alicdn.com/kf/H41cbae0a30904d268914d16d4cc28625a.jpg,https://ae04.alicdn.com/kf/H125bdb8c6e844d748195283df351b6195.jpg,https://ae04.alicdn.com/kf/H34530e74e2604e74baac46462a62938cN.jpg,https://ae04.alicdn.com/kf/Hf481dd4d08f84b9a8ef6ef39005bf3e4T.jpg,",https://www.aliexpress.com/item/1005002161416852.html,35.10,14.04,8.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_AE7vUI
Communication Equipment,100001204,Metal Fiber Cleaver FC-6S Fiber Optic Cable Cutter Cold Aluminum Fiber Knife Cutting Used in FTTX FTTH FC-6S Fiber Cleaver Tool,1005002161569239,https://ae01.alicdn.com/kf/H5b279a873bfe462ca0f8604593dc044ey/Metal-Fiber-Cleaver-FC-6S-Fiber-Optic-Cable-Cutter-Cold-Aluminum-Fiber-Knife-Cutting-Used-in.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5b279a873bfe462ca0f8604593dc044ey.jpg,https://ae04.alicdn.com/kf/H3f8be9e6cf4a44579f6325e58295f44dO.jpg,https://ae04.alicdn.com/kf/Hcb1ef2c6335b4995862f3221ffbed05eS.jpg,https://ae04.alicdn.com/kf/H930ee44427474573a69bf7e7080b58dbF.jpg,https://ae04.alicdn.com/kf/H6b70186f7f2a4d73b0184650b0a891e2M.jpg,",https://www.aliexpress.com/item/1005002161569239.html,31.36,12.54,8.00%,2098-12-31,60%,https://s.click.aliexpress.com/e/_A7Huy6
Communication Equipment,100001204,2G 3G 4G LTE 700-2700MHz 4dbi Outdoor Sucker Antenna with Cable for Mobile Phone Cellular Signal Amplifier Booster Repeater,1005002143806132,https://ae01.alicdn.com/kf/He5cf6ad1be4d46dc9b2ffd46f04d5be8P/2G-3G-4G-LTE-700-2700MHz-4dbi-Outdoor-Sucker-Antenna-with-Cable-for-Mobile-Phone-Cellular.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He5cf6ad1be4d46dc9b2ffd46f04d5be8P.jpg,https://ae04.alicdn.com/kf/Hbea0c899bb8a43efaed06a03580432caH.jpg,https://ae04.alicdn.com/kf/H677bf0f7871e481ebdb69168753d13a31.jpg,",https://www.aliexpress.com/item/1005002143806132.html,13.11,10.49,5.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AOQ72S
Communication Equipment,100001204,Antenna Extension Cable 3M length RP-SMA Male to Female WiFi Magnetic Base for Router Wireless Network Card of Pure Copper,1005002132752968,https://ae01.alicdn.com/kf/H6ecd58fa59c74f0f9be735f21af2c3230/Antenna-Extension-Cable-3M-length-RP-SMA-Male-to-Female-WiFi-Magnetic-Base-for-Router-Wireless.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6ecd58fa59c74f0f9be735f21af2c3230.jpg,https://ae04.alicdn.com/kf/Hdccb6c5092c447738201e6cfad1e9fbbw.jpg,https://ae04.alicdn.com/kf/H5ed3b008381449559c1c2ba0cee9ebf5O.jpg,https://ae04.alicdn.com/kf/H7d3ccb04072a44b083e10b4a6b8f796eU.jpg,https://ae04.alicdn.com/kf/Hd781fef060c44219ada7eba67dd440e1q.jpg,",https://www.aliexpress.com/item/1005002132752968.html,4.07,2.69,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9GtDJk
Communication Equipment,100001204,2.4G 18dBi Aerial Wireless WIFI Antenna Booster High Gain Omni-Directional Antenna RP-SMA For Linksys Router Receiver IP Camera,1005002132901350,https://ae01.alicdn.com/kf/H9725471441634863b323545826028f95C/2-4G-18dBi-Aerial-Wireless-WIFI-Antenna-Booster-High-Gain-Omni-Directional-Antenna-RP-SMA-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9725471441634863b323545826028f95C.jpg,https://ae04.alicdn.com/kf/H9231d246595243b885bc68e378c8a1b0k.jpg,https://ae04.alicdn.com/kf/H0f1f8eed722642cc94cf1f7aae0ae84fb.jpg,https://ae04.alicdn.com/kf/H5998c1e4c0e34d2ea16ca074c0a17c88E.jpg,https://ae04.alicdn.com/kf/H50c6fe0917af4a0fa5908085c38561417.jpg,",https://www.aliexpress.com/item/1005002132901350.html,8.28,5.46,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_Abw4RY
Communication Equipment,100001204,3 Way Connector N Male Jack To 2 N Female Triple T In RF Adapter For Outdoor/ Indoor Antenna/ Signal Repeater N Male Connector,1005002132816701,https://ae01.alicdn.com/kf/Hc5e5d49935ea4e71beae93f4becba321I/3-Way-Connector-N-Male-Jack-To-2-N-Female-Triple-T-In-RF-Adapter-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc5e5d49935ea4e71beae93f4becba321I.jpg,https://ae04.alicdn.com/kf/H58eb33c24a314c609d34ff7967b5a7eaI.jpg,https://ae04.alicdn.com/kf/H9307716d69c143aa895982e88d9826d2Y.jpg,https://ae04.alicdn.com/kf/H31899e5178ce45b589142e1984b5c6c8m.jpg,https://ae04.alicdn.com/kf/H553e99498dee46539c3e6d9b635c5a73g.jpg,",https://www.aliexpress.com/item/1005002132816701.html,5.79,3.82,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9xG7uA
