Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Fashion Jewelry,1509,Gothic Chains Layered Choker Necklace for Women Punk Coin Portrait Pedant Necklace Women's Neck Chain Statement Jewelry,1005001474880842,https://ae01.alicdn.com/kf/H83d8fd66277c4ea0a12e6b91f26693f5s/Gothic-Chains-Layered-Choker-Necklace-for-Women-Punk-Coin-Portrait-Pedant-Necklace-Women-s-Neck-Chain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H83d8fd66277c4ea0a12e6b91f26693f5s.jpg,https://ae04.alicdn.com/kf/Hf485894eed7c449780e37668a216fb819.jpg,https://ae04.alicdn.com/kf/Hc65c53dc953b4a078d6f1a9b6d0370dcO.jpg,https://ae04.alicdn.com/kf/Hd235160e7ff8497595ab5832d19daa91Z.jpg,https://ae04.alicdn.com/kf/H21f4b8f7ebec4f3da632a6c0b02f35db3.jpg,",https://www.aliexpress.com/item/1005001474880842.html,5.44,3.21,18.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_ALr75M
Fashion Jewelry,1509,Punk Curb Cuban Choker Necklace Collar Statement Gold Color Chunky Thick Clavicle Chain Necklaces for Women Jewelry,1005001980097184,https://ae01.alicdn.com/kf/H5d4d2efc9a2a46379f25d3733bd1e60bP/Punk-Curb-Cuban-Choker-Necklace-Collar-Statement-Gold-Color-Chunky-Thick-Clavicle-Chain-Necklaces-for-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5d4d2efc9a2a46379f25d3733bd1e60bP.jpg,https://ae04.alicdn.com/kf/H84d2f6d99a104367a46863ddc3e781a5Z.jpg,https://ae04.alicdn.com/kf/Heabb9c840ab6454988a201af763bd048G.jpg,https://ae04.alicdn.com/kf/H6ee25f785af64f8fa1ce0c0dd30fff54a.jpg,https://ae04.alicdn.com/kf/H4a1d4b99d1094457809d16e2eb64d1d7K.jpg,",https://www.aliexpress.com/item/1005001980097184.html,8.35,4.51,58.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_AlG0kQ
Fashion Jewelry,1509,2021 Baroque Irregular Simulated Pearls Gold Color Necklace for Women Girls Party Wedding Jewelry Choker Necklace Gifts,1005001962352093,https://ae01.alicdn.com/kf/H8315b561b50640a2b301f2854e3375edY/2021-Baroque-Irregular-Simulated-Pearls-Gold-Color-Necklace-for-Women-Girls-Party-Wedding-Jewelry-Choker-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8315b561b50640a2b301f2854e3375edY.jpg,https://ae04.alicdn.com/kf/H47c540b7e912404ca802e1bfda472141b.jpg,https://ae04.alicdn.com/kf/Hacb60422aada4d50950ce1d4bfda44f60.jpg,https://ae04.alicdn.com/kf/H0e1f4a47f2c04c3c90c1ec5054cecf0ce.jpg,https://ae04.alicdn.com/kf/Hf5f03106a6e7498fb7aee880d3589fd2A.jpg,",https://www.aliexpress.com/item/1005001962352093.html,8.21,4.27,58.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_ASDpu6
Fashion Jewelry,1509,Goth Chain Pearl Necklace for Women Baroque Pearl Metal Charm Crystal Heart Pendants Necklaces Choker Neck Chain Jewelry,1005001851459578,https://ae01.alicdn.com/kf/H738fc19c251940aea31d9886f8c437b9Q/Goth-Chain-Pearl-Necklace-for-Women-Baroque-Pearl-Metal-Charm-Crystal-Heart-Pendants-Necklaces-Choker-Neck.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H738fc19c251940aea31d9886f8c437b9Q.jpg,https://ae04.alicdn.com/kf/H26a5d73596ff49298d9f0523d57c9283q.jpg,https://ae04.alicdn.com/kf/H088f6cf1ec0940cc84da745962d8db3dG.jpg,https://ae04.alicdn.com/kf/H243b3226eb8b4df890f5a8630a69530es.jpg,https://ae04.alicdn.com/kf/H2b253984e49048f78e5d7ba395df93fe2.jpg,",https://www.aliexpress.com/item/1005001851459578.html,7.07,4.24,48.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AlESA6
Fashion Jewelry,1509,Chunky Chain Bracelets for Women 4PCS Baroque Pearl Coin Pendant Bracelets Bangles Punk Gothic Lariat Bracelets Set Jewelry,1005001566235578,https://ae01.alicdn.com/kf/H6d0e3c21b6354849a3db51c18dd27b18I/Chunky-Chain-Bracelets-for-Women-4PCS-Baroque-Pearl-Coin-Pendant-Bracelets-Bangles-Punk-Gothic-Lariat-Bracelets.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6d0e3c21b6354849a3db51c18dd27b18I.jpg,https://ae04.alicdn.com/kf/Ha45a52daf0714e278fe7704f97ea66ca5.jpg,https://ae04.alicdn.com/kf/H7897045446fa4ab7bd5430224b518da57.jpg,https://ae04.alicdn.com/kf/Hb211bd7e1c8e41ed86172e8c5b969d7bF.jpg,https://ae04.alicdn.com/kf/Hecd7898cb60f42de933e5f76b4f4d240j.jpg,",https://www.aliexpress.com/item/1005001566235578.html,8.15,4.16,44.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_A1N4Mq
Fashion Jewelry,1509,2021 New Fashion Flower Hoop Earrings for Women Girls Party Wedding Kpop Dangel Earrings Jewelry Charm,1005001962402368,https://ae01.alicdn.com/kf/Haab1d4cbe78e4563978fffbef958da9bw/2021-New-Fashion-Flower-Hoop-Earrings-for-Women-Girls-Party-Wedding-Kpop-Dangel-Earrings-Jewelry-Charm.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haab1d4cbe78e4563978fffbef958da9bw.jpg,https://ae04.alicdn.com/kf/H41249ae3fad34898a14058f89095ea48G.jpg,https://ae04.alicdn.com/kf/H75ba77e63f0544caafefa4b31abffd7cK.jpg,https://ae04.alicdn.com/kf/H7b9a677fc8514854bed86fdad28c3d6dF.jpg,https://ae04.alicdn.com/kf/H430638362e604a5e94480a1ef82cfe2ao.jpg,",https://www.aliexpress.com/item/1005001962402368.html,7.31,3.29,58.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9Q35cS
Fashion Jewelry,1509,Goth Chains Dangle Earrings for Women New Fashion Punk Gold Color Thick Lock Chains Drop Earrings Jewelry,1005001689661391,https://ae01.alicdn.com/kf/Hc474b07d659f4c5ba2d192d8dd7d8cc6O/Goth-Chains-Dangle-Earrings-for-Women-New-Fashion-Punk-Gold-Color-Thick-Lock-Chains-Drop-Earrings.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc474b07d659f4c5ba2d192d8dd7d8cc6O.jpg,https://ae04.alicdn.com/kf/H71c85dcfb4ab4c95b6430b03c9d3bdefg.jpg,https://ae04.alicdn.com/kf/Hd046675f163441eb991f8a34556738bbb.jpg,https://ae04.alicdn.com/kf/H741ad4e1139641599e0c801caaae9c588.jpg,https://ae04.alicdn.com/kf/H31ce972d984940bba35e7e9b7288183dR.jpg,",https://www.aliexpress.com/item/1005001689661391.html,6.11,2.93,46.00%,2098-12-31,52%,https://s.click.aliexpress.com/e/_9zXrWm
Fashion Jewelry,1509,Silver Color Anilmal Pendant Necklace Female Shiny Crystal Clavicle Chain Fashion New Design Jewelry Party Gift,1005001956594378,https://ae01.alicdn.com/kf/H3f5d093d68954101832e0716ab35e91cD/Silver-Color-Anilmal-Pendant-Necklace-Female-Shiny-Crystal-Clavicle-Chain-Fashion-New-Design-Jewelry-Party-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3f5d093d68954101832e0716ab35e91cD.jpg,https://ae04.alicdn.com/kf/H76dd92d0826c428980a08a319970e59d9.jpg,https://ae04.alicdn.com/kf/H101c2c1c24264449ba56bc85d932d4c8w.jpg,https://ae04.alicdn.com/kf/Heee10f13b0fe4b3c9e7be7fda72905b5k.jpg,https://ae04.alicdn.com/kf/H4ee4ca22306c4565b6e641a3265b3e30l.jpg,",https://www.aliexpress.com/item/1005001956594378.html,5.04,3.02,68.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9yxKDu
Fashion Jewelry,1509,Punk Curb Cuban Chunky Thick Chains Choker Necklace for Women Men New Fashion Dice Pendant Necklace Jewelry Collar,1005001980072326,https://ae01.alicdn.com/kf/H60ba93cd6161424f9c1c52bdd75d04f0S/Punk-Curb-Cuban-Chunky-Thick-Chains-Choker-Necklace-for-Women-Men-New-Fashion-Dice-Pendant-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H60ba93cd6161424f9c1c52bdd75d04f0S.jpg,https://ae04.alicdn.com/kf/H9c6ec1d7bde447828669ffb777d119a1p.jpg,https://ae04.alicdn.com/kf/H95a7efe0bb254d1eb6235b9b27635a225.jpg,https://ae04.alicdn.com/kf/Hc242ba21c1f04f519dbff109bfe777e1o.jpg,https://ae04.alicdn.com/kf/H3a300fb06717432d8b83340ad015be07u.jpg,",https://www.aliexpress.com/item/1005001980072326.html,6.70,3.55,58.00%,2098-12-31,47%,https://s.click.aliexpress.com/e/_AXSxTo
Fashion Jewelry,1509,Goth Chains Dangel Earrings for Women Sexy Gold Color Metal Leopard Irregular Geometric Hoop Earrings Jewelry Accessories,4001257395977,https://ae01.alicdn.com/kf/H7e5ef5ceb9174aeb8dc6d4a0ab26452ck/Goth-Chains-Dangel-Earrings-for-Women-Sexy-Gold-Color-Metal-Leopard-Irregular-Geometric-Hoop-Earrings-Jewelry.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7e5ef5ceb9174aeb8dc6d4a0ab26452ck.jpg,https://ae04.alicdn.com/kf/H1141b7a8e0644eb08a59dd64e71695783.jpg,https://ae04.alicdn.com/kf/H2b8ed28020ca46b2bafa5cd43431c4ecD.jpg,https://ae04.alicdn.com/kf/He85c6d4ba6464a10a989e53442903993b.jpg,https://ae04.alicdn.com/kf/He9c1b53674164bbba8354c946beea0b9Q.jpg,",https://www.aliexpress.com/item/4001257395977.html,5.30,2.86,18.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_9J1AP4
