Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000361,Simenual Ruched Denim Blue High Wait Stacked Pants Autumn 2020 Women Clothing Streetwear Jeans Fashion Skinny Pockets Trousers,1005001581424219,https://ae01.alicdn.com/kf/H1fb57713ead642619ff871f2076d9348e/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H1fb57713ead642619ff871f2076d9348e/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg,https://ae01.alicdn.com/kf/Hc7e1ee6031194620a3848be48b1155a5t/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg,https://ae01.alicdn.com/kf/H483f19abb6ea49b8a8b4d08a07a19813g/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg,https://ae01.alicdn.com/kf/H9fd873e6cb1d4212acd910588aa8511ef/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg,https://ae01.alicdn.com/kf/H040ff1b980a844729417a8f118fe4b73Q/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny.jpg,",https://www.aliexpress.com/item/Simenual-Ruched-Denim-Blue-High-Wait-Stacked-Pants-Autumn-2020-Women-Clothing-Streetwear-Jeans-Fashion-Skinny/1005001581424219.html,39.98,19.99,12.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9zlDt7
Jeans,200000361,High Waist Jeans For Women Slim Stretch Denim Jean Bodycon Tassel Belt Bandage Skinny Push Up Jeans Woman woman jeans  pants,1005001973349109,https://ae01.alicdn.com/kf/Hb3eefea2392f46a38fa42c3d73aa55a7u/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Hb3eefea2392f46a38fa42c3d73aa55a7u/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg,https://ae01.alicdn.com/kf/H549aea4bcf7a46f7ab04c74c68379d17G/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg,https://ae01.alicdn.com/kf/H21411ca4a6494bfba96e89d24cb17c9fR/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg,https://ae01.alicdn.com/kf/Hf7591c42b88d4f7ca147ba803a221edaY/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg,https://ae01.alicdn.com/kf/He01c0feabf1b4246a004173a5c2059126/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up.jpg,",https://www.aliexpress.com/item/High-Waist-Jeans-For-Women-Slim-Stretch-Denim-Jean-Bodycon-Tassel-Belt-Bandage-Skinny-Push-Up/1005001973349109.html,17.10,8.89,10.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_AKpP6V
Jeans,200000361,ALLNeon Vintage Heart Graphic Graffiti Baggy Y2K Jeans E-girl Aesthetics Straight High Waist Long Pants Autumn Denim Trousers,1005001689388136,https://ae01.alicdn.com/kf/H8babacf93e1e436db6e8891c36a04e1dz/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H8babacf93e1e436db6e8891c36a04e1dz/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg,https://ae01.alicdn.com/kf/H892fe479c4884a61923fb452407e30fef/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg,https://ae01.alicdn.com/kf/Ha96dece3a7d54cdba27dba67c23c9e38E/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg,https://ae01.alicdn.com/kf/H05c82178c3d84ec199aaa30e79ef4cbbM/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg,https://ae01.alicdn.com/kf/Hc54a6ec2903049f99607902e6fcafb82p/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants.jpg,",https://www.aliexpress.com/item/ALLNeon-Vintage-Heart-Graphic-Graffiti-Baggy-Y2K-Jeans-E-girl-Aesthetics-Straight-High-Waist-Long-Pants/1005001689388136.html,43.18,21.16,10.00%,2098-12-31,51%,https://s.click.aliexpress.com/e/_9AzQiv
Jeans,200000361,Simenual Denim Distressed Jeans Ripped Women Zip Up High Waist Streetwear Baggy Pants Blue Fashion Spring Casual Long Trousers,1005001940299026,https://ae01.alicdn.com/kf/H79d6b9c7d1b94a978bb9cb5243841c07V/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H79d6b9c7d1b94a978bb9cb5243841c07V/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg,https://ae01.alicdn.com/kf/Hef617ee149074314852c705257f7f4bc3/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg,https://ae01.alicdn.com/kf/He2ede4d9ca6e417a849e527637d73b9cJ/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg,https://ae01.alicdn.com/kf/H9c9584c072e74b15a443cddc80adf712g/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg,https://ae01.alicdn.com/kf/H0a0fb17af4214da19ac78a0e6e57f3ecI/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring.jpg,",https://www.aliexpress.com/item/Simenual-Denim-Distressed-Jeans-Ripped-Women-Zip-Up-High-Waist-Streetwear-Baggy-Pants-Blue-Fashion-Spring/1005001940299026.html,37.98,18.99,11.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Akcrdj
Jeans,200000361,Simenual Skinny Distressed Denim Jeans High Waist Women Cut Out Autumn Winter 2020 Pencil Pants Fashion Street Style Trousers,1005001782412040,https://ae01.alicdn.com/kf/H971f1840bc87421a857e3d5ac1e4dde9b/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H971f1840bc87421a857e3d5ac1e4dde9b/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg,https://ae01.alicdn.com/kf/H9c3f203d01bb49938ea5eb128c85ec7dT/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg,https://ae01.alicdn.com/kf/H8abae63ec9014a74baca4d52ec1db3c4V/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg,https://ae01.alicdn.com/kf/H4a09b6f0bc394421803695d3609e8e63h/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg,https://ae01.alicdn.com/kf/Ha3016598e5834584896d713ac10dd9cc4/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion.jpg,",https://www.aliexpress.com/item/Simenual-Skinny-Distressed-Denim-Jeans-High-Waist-Women-Cut-Out-Autumn-Winter-2020-Pencil-Pants-Fashion/1005001782412040.html,32.98,16.49,12.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AXC9q9
Jeans,200000361,Simenual Skinny High Waist Denim Ripped Distressed Jeans Women Fashion Autumn Streetwear Pencil Pants Cut Out Pocket Trousers,1005001678507363,https://ae01.alicdn.com/kf/H720f0dbf388b4752878784301af3e432h/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H720f0dbf388b4752878784301af3e432h/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg,https://ae01.alicdn.com/kf/Hc31c33311d64448c97e9ee1fc87363554/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg,https://ae01.alicdn.com/kf/Hef40f678be86434fbf6cd410c6960d23d/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg,https://ae01.alicdn.com/kf/H7d9fc27168c642cea0c6acc62665556cb/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg,https://ae01.alicdn.com/kf/H4790114d78e94ea2833ad5f3d46d91b66/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out.jpg,",https://www.aliexpress.com/item/Simenual-Skinny-High-Waist-Denim-Ripped-Distressed-Jeans-Women-Fashion-Autumn-Streetwear-Pencil-Pants-Cut-Out/1005001678507363.html,35.98,17.99,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AO5oK1
Jeans,200000361,Simenual Ripped Denim Women Distressed Jeans Skinny High Waist Cut Out Fashion Pencil Pants Streetwear Blue Bodycon Hot Trousers,1005001804438443,https://ae01.alicdn.com/kf/Ha02ac828718640d783a69d10cd0dcf82c/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Ha02ac828718640d783a69d10cd0dcf82c/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg,https://ae01.alicdn.com/kf/H0367c36b5972492eb285c679430119853/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg,https://ae01.alicdn.com/kf/Hc9f5d2d598664fa380dd102ec682de61l/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg,https://ae01.alicdn.com/kf/H93d80105b5684b0eaedfb46a2eec4d9ey/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg,https://ae01.alicdn.com/kf/H6705772626024e35b91521072bc63f64W/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue.jpg,",https://www.aliexpress.com/item/Simenual-Ripped-Denim-Women-Distressed-Jeans-Skinny-High-Waist-Cut-Out-Fashion-Pencil-Pants-Streetwear-Blue/1005001804438443.html,31.98,15.99,11.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AbwHVx
Jeans,200000361,Simenual Women Denim Stacked Jeans High Waist Streetwear Fashion Boot Cut Pants Ruched Skinny Blue Bodycon Casual Long Trousers,1005001826060472,https://ae01.alicdn.com/kf/H5b0e0a8c8e6c4965a9c92f1d01c9c1dct/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H5b0e0a8c8e6c4965a9c92f1d01c9c1dct/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg,https://ae01.alicdn.com/kf/H50cb2f8ff8ac4ce8a83068478bc487b5j/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg,https://ae01.alicdn.com/kf/Hed6062b66cf64a5387a106017979a56cR/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg,https://ae01.alicdn.com/kf/Ha632820dc97649e7b43364533bdc5c21Z/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg,https://ae01.alicdn.com/kf/H151c2d71a2bf4e01a6d626bb771f6eedz/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon.jpg,",https://www.aliexpress.com/item/Simenual-Women-Denim-Stacked-Jeans-High-Waist-Streetwear-Fashion-Boot-Cut-Pants-Ruched-Skinny-Blue-Bodycon/1005001826060472.html,45.98,22.99,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AORlIH
Jeans,200000361,ALLNeon E-girl Sweet Heart Printing Loosed High Waist Jeans for Women Y2K Cute Wide Leg Black Pant Autumn Streetwear 90s Trouser,1005001431984006,https://ae01.alicdn.com/kf/H9e30b9bf33c64086941ef9a73083157d5/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/H9e30b9bf33c64086941ef9a73083157d5/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg,https://ae01.alicdn.com/kf/H33a0c0cfd5d44bb09ef6141616133f35E/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg,https://ae01.alicdn.com/kf/H12c736495f89466395fe3823e8052350F/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg,https://ae01.alicdn.com/kf/Hcd1a66c6372b474c81bb3543741ef610y/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg,https://ae01.alicdn.com/kf/H83f54a5ceb9c44f5b9d62109106fed2aS/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg.jpg,",https://www.aliexpress.com/item/ALLNeon-E-girl-Sweet-Heart-Printing-Loosed-High-Waist-Jeans-for-Women-Y2K-Cute-Wide-Leg/1005001431984006.html,41.98,20.99,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9HdXvj
Jeans,200000361,Simenual Denim Skinny Distressed Jeans Women High Waist Cut Out Fall 2020 Pencil Pants Ripped Blue Street Style Long Trousers,1005001734184361,https://ae01.alicdn.com/kf/Ha00fdcaada3242528d7c932d2cc78fd0j/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg_220x220.jpg,"https://ae01.alicdn.com/kf/Ha00fdcaada3242528d7c932d2cc78fd0j/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg,https://ae01.alicdn.com/kf/H0f04a0d92db049539aa39e096ac6b8bb6/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg,https://ae01.alicdn.com/kf/H8db1eb8a338a4508a857dc6565675e84P/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg,https://ae01.alicdn.com/kf/H4c8cec72ca6549b5955038da36ac6df5F/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg,https://ae01.alicdn.com/kf/H80c3cb93e9df401eace8659f75550795L/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue.jpg,",https://www.aliexpress.com/item/Simenual-Denim-Skinny-Distressed-Jeans-Women-High-Waist-Cut-Out-Fall-2020-Pencil-Pants-Ripped-Blue/1005001734184361.html,34.98,17.49,11.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A2DQk9
