Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hoodies & Sweatshirts,200000344,2020 New Hoodies Sweatshirts 100% 1:1 fog essentials kanye west jerry lorenzo loose ovesized Hoodies hip hop cotton Sweatshirts,1005001840280636,https://ae01.alicdn.com/kf/Hf976da3163fc4d2e9183d94819351f1d2/2020-New-Hoodies-Sweatshirts-100-1-1-fog-essentials-kanye-west-jerry-lorenzo-loose-ovesized-Hoodies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf976da3163fc4d2e9183d94819351f1d2.jpg,https://ae04.alicdn.com/kf/H76795047661949989963d8850c4ef6e5r.jpg,https://ae04.alicdn.com/kf/H4aa2e90673ff49d1bf4d5c21f95d3102F.jpg,https://ae04.alicdn.com/kf/H4e7a2b469d9647d9b090011ae2373b616.jpg,https://ae04.alicdn.com/kf/H0872904e56374b7a973fdedf4897d8b9i.jpg,",https://www.aliexpress.com/item/1005001840280636.html,,32.50,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9fD9ME
Hoodies & Sweatshirts,200000344,2020 Men's Print Hoodie Autumn Winter Hot Sale Fashion Hoodie Hip Hop Casual Sweatshirt Autumn Sweatshirt New Tracksuit For Men,1005001610133138,https://ae01.alicdn.com/kf/H49d75af66f484f6ea1f6d00ce47d7239z/2020-Men-s-Print-Hoodie-Autumn-Winter-Hot-Sale-Fashion-Hoodie-Hip-Hop-Casual-Sweatshirt-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H49d75af66f484f6ea1f6d00ce47d7239z.jpg,https://ae04.alicdn.com/kf/H77c0ca47f79940729abe0623a03f9a4aa.jpg,https://ae04.alicdn.com/kf/H89866be4e48f4d15a18902e41e327a4aN.jpg,https://ae04.alicdn.com/kf/Hda82a0042d2c49b0aec38701ea688bd2s.jpg,https://ae04.alicdn.com/kf/Ha732922019534eb19f79be4b3ab1a77bc.jpg,",https://www.aliexpress.com/item/1005001610133138.html,,26.22,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_Atd3tk
Hoodies & Sweatshirts,200000344,Men Sports Casual Wear ZipperFashion Tide Jacquard Hoodies Fleece Jacket Fall Sweatshirts Autumn Winter Coat,1005002077338775,https://ae01.alicdn.com/kf/H25ce16afa8614791a46537a904b33136T/Men-Sports-Casual-Wear-ZipperFashion-Tide-Jacquard-Hoodies-Fleece-Jacket-Fall-Sweatshirts-Autumn-Winter-Coat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H25ce16afa8614791a46537a904b33136T.jpg,https://ae04.alicdn.com/kf/H797ce1ee18f64f88af3bee26fedc2467P.jpg,https://ae04.alicdn.com/kf/Hae461447c6f94239bc67b8a9a26cd6c9w.jpg,https://ae04.alicdn.com/kf/Hb702134545b2483d98278c9214e8f929Y.jpg,https://ae04.alicdn.com/kf/He44929aa53ec4095afdb1df04d1d71fa8.jpg,",https://www.aliexpress.com/item/1005002077338775.html,,21.00,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AWWO1Y
Hoodies & Sweatshirts,200000344,Men'S Hoodie 2021 Autumn winter 95% Cotton Plus Fleece Men'S  pattern Hoodie Sweatshirt Top Men'S Casual Hoodie Sweatshirt,1005002107565845,https://ae01.alicdn.com/kf/Hcec608a0974b471d90a760aa18535cb0h/Men-S-Hoodie-2021-Autumn-winter-95-Cotton-Plus-Fleece-Men-S-pattern-Hoodie-Sweatshirt-Top.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcec608a0974b471d90a760aa18535cb0h.jpg,https://ae04.alicdn.com/kf/H4b6b21bb770c4b7bac08c21a01a185e2a.jpg,https://ae04.alicdn.com/kf/H97a817e0472143268034af361c1c195dk.jpg,https://ae04.alicdn.com/kf/Hacb4fc693b5740ef876673854c47d695E.jpg,https://ae04.alicdn.com/kf/H55cb46cc178f4a6b9f52e1c8b2076182x.jpg,",https://www.aliexpress.com/item/1005002107565845.html,,32.90,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A2z622
Hoodies & Sweatshirts,200000344,Men Hoodie Sweatshirts 2021 Unisex Streetwear Printed Hooded Pullover Harajuku Autumn Winter pocket Fashion Coat Hoodies,1005002087373609,https://ae01.alicdn.com/kf/H39734521fe314b9c8b4594b1cfc4ca81v/Men-Hoodie-Sweatshirts-2021-Unisex-Streetwear-Printed-Hooded-Pullover-Harajuku-Autumn-Winter-pocket-Fashion-Coat-Hoodies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H39734521fe314b9c8b4594b1cfc4ca81v.jpg,https://ae04.alicdn.com/kf/Ha4ae409ed8ab427e8cf7cf507e39fa39t.jpg,https://ae04.alicdn.com/kf/H64ac58ad649f4e7c9b9e5c16945e05e2X.jpg,https://ae04.alicdn.com/kf/H5f3a417994f34ff5ae5ecce66a125051k.jpg,",https://www.aliexpress.com/item/1005002087373609.html,,22.00,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9y6uUW
Hoodies & Sweatshirts,200000344,Long Sleeve Men's Hoodies Hood Half Black Half White Cool Plain Hoodies Patchwork Cotton Sweatshirt Male Hoody Fashion,1005002077931034,https://ae01.alicdn.com/kf/H231626084a114530ac384c8def571ec1q/Long-Sleeve-Men-s-Hoodies-Hood-Half-Black-Half-White-Cool-Plain-Hoodies-Patchwork-Cotton-Sweatshirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H231626084a114530ac384c8def571ec1q.jpg,https://ae04.alicdn.com/kf/H9d598909efc14d0dbb66a2150ed8d020f.jpg,https://ae04.alicdn.com/kf/H161281a17eb542568fbdcf84a3b38cf6h.jpg,https://ae04.alicdn.com/kf/H4da8472e59094d36b1338925e816d38ac.jpg,https://ae04.alicdn.com/kf/Hbd63ac742b6140cc8237bea225818173u.jpg,",https://www.aliexpress.com/item/1005002077931034.html,,19.95,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AdMPDG
Hoodies & Sweatshirts,200000344,2020 Spring and Autumn Men's Sportswear Suit Casual Sportswear Men's Suit Full Sleeve Top Hooded Outdoor Sportswear Jogging Suit,1005001605587116,https://ae01.alicdn.com/kf/H9105f83d54a5441f829dde6c91760571b/2020-Spring-and-Autumn-Men-s-Sportswear-Suit-Casual-Sportswear-Men-s-Suit-Full-Sleeve-Top.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9105f83d54a5441f829dde6c91760571b.jpg,https://ae04.alicdn.com/kf/Hc54f2d21ecfd47f083872251c332c34bI.jpg,https://ae04.alicdn.com/kf/H5b48c3b83dc247b48191a3e576b2a7eaf.jpg,https://ae04.alicdn.com/kf/H45921879690a45b0b4585a0e2a18f992y.jpg,https://ae04.alicdn.com/kf/H174367f3774a4d9497dff4e16eef4a930.jpg,",https://www.aliexpress.com/item/1005001605587116.html,,20.77,9.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_APGJyK
Hoodies & Sweatshirts,200000344,"Jaqueta de moletom de primavera e outono de 2020, jaqueta casual de algodão, moletom de lã com capuz masculino e personalidade d",1005001818971190,https://ae01.alicdn.com/kf/Hee2c6810bd6f4537a56a3d5a75bf7478d/Jaqueta-de-moletom-de-primavera-e-outono-de-2020-jaqueta-casual-de-algodão-moletom-de-lã.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hee2c6810bd6f4537a56a3d5a75bf7478d.jpg,https://ae04.alicdn.com/kf/Hce2a3468aff64de6bc7789ee9ba783c7P.jpg,https://ae04.alicdn.com/kf/H47ceef1b4c454d528f0f53b4c7118605a.jpg,https://ae04.alicdn.com/kf/He3719ada70bf46558b8f5f78b5216f2ca.jpg,https://ae04.alicdn.com/kf/H1c000e2f6b8348dd8e688f18ff41bed8f.jpg,",https://www.aliexpress.com/item/1005001818971190.html,,12.95,25.00%,2098-12-31,54%,https://s.click.aliexpress.com/e/_A9sdeI
Hoodies & Sweatshirts,200000344,2020 Winter Men's Brand Cashmere Sports Hoodie Men's Hoodie/Street Casual Sweatshirt Ladies Hoodie Fashion Clothing,1005001861149289,https://ae01.alicdn.com/kf/Hd3ba4bb3aa184fdda084857605a4e1d8X/2020-Winter-Men-s-Brand-Cashmere-Sports-Hoodie-Men-s-Hoodie-Street-Casual-Sweatshirt-Ladies-Hoodie.png_220x220.png,"https://ae04.alicdn.com/kf/Hd3ba4bb3aa184fdda084857605a4e1d8X.png,https://ae04.alicdn.com/kf/H41bb79ca645d44cc8b67126357cb9841K.png,https://ae04.alicdn.com/kf/H8928f00c4a3544feb30e3cad40f259a1S.png,https://ae04.alicdn.com/kf/Hafd2ef12493749bb879e84449f5733a7D.png,https://ae04.alicdn.com/kf/He84828cad7c34659b14d97b9ec7059cbm.png,",https://www.aliexpress.com/item/1005001861149289.html,,8.65,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_Akmd9c
Hoodies & Sweatshirts,200000344,Oversize Hoodie Streetwear Hoodies Men Fashion Trend Street Hip Hop Hoodie men Casual Sweatshirt Streetwear Men Loose Pullover,1005002107796452,https://ae01.alicdn.com/kf/H6f2be26f9596435c9136e946a7778a32m/Oversize-Hoodie-Streetwear-Hoodies-Men-Fashion-Trend-Street-Hip-Hop-Hoodie-men-Casual-Sweatshirt-Streetwear-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6f2be26f9596435c9136e946a7778a32m.jpg,https://ae04.alicdn.com/kf/Hc53f516133534d62a8fa3face2b03291e.jpg,https://ae04.alicdn.com/kf/H398ab627233a4a82b19a6fd7dada5488k.jpg,https://ae04.alicdn.com/kf/H36e43cd7c5824821a7df2eab52278c12l.jpg,https://ae04.alicdn.com/kf/Hc1d6050e075143358bbabb1505e9b12fU.jpg,",https://www.aliexpress.com/item/1005002107796452.html,,19.90,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A238jy
