Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Muslim Fashion,201515601,Islamic Clothing Men Djellaba Man Muslim Moroccan Hooded Design Islamic Men Cotton and Linen Striped Robe Jubba Thobe,1005001691140213,https://ae01.alicdn.com/kf/H80d96f0f975f4952a225143b4e1fc75aM/Islamic-Clothing-Men-Djellaba-Man-Muslim-Moroccan-Hooded-Design-Islamic-Men-Cotton-and-Linen-Striped-Robe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80d96f0f975f4952a225143b4e1fc75aM.jpg,https://ae04.alicdn.com/kf/H1020e8fc177d4991af6fcfb0d3e0aed0d.png,https://ae04.alicdn.com/kf/Hb1fe83f20ccb45ad93acaf4fa2f92ee6K.jpg,https://ae04.alicdn.com/kf/Hc21533cbb2d24c54851b778bd58ab646c.jpg,https://ae04.alicdn.com/kf/Hdc3b4503be41491dbf482b874f830826s.jpg,",https://www.aliexpress.com/item/1005001691140213.html,,28.45,10.00%,2098-12-31,47%,https://s.click.aliexpress.com/e/_9wqTTu
Muslim Fashion,201515601,Men Muslim Kurta T-Shirt Long Sleeve Buttons Stand Collar Kaftan Blouse Solid Color Side Split Arabic Robe Tunic Tops,1005001585835996,https://ae01.alicdn.com/kf/Hd9a94ad66fd6430eac5496fecf61ddd7m/Men-Muslim-Kurta-T-Shirt-Long-Sleeve-Buttons-Stand-Collar-Kaftan-Blouse-Solid-Color-Side-Split.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd9a94ad66fd6430eac5496fecf61ddd7m.jpg,https://ae04.alicdn.com/kf/Hdbd1265ceeb54e08a549059c2b5e2a347.jpg,https://ae04.alicdn.com/kf/Hbc63fa7a7409463ba4f0248e2f17702aH.jpg,https://ae04.alicdn.com/kf/He98041fb2b464bb99cda57d8fc796a5cU.jpg,https://ae04.alicdn.com/kf/H3842547a763947f5825be429bb2c55eee.jpg,",https://www.aliexpress.com/item/1005001585835996.html,,13.91,15.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AOk0Ka
Muslim Fashion,201515601,INCERUN Men Muslim Islamic Arabic Kaftan Patchwork Dubai Abaya Middle East Robes Hooded Loose Casual Long Sleeve Men Jubba Thobe,1005001651165764,https://ae01.alicdn.com/kf/H9af78c5521624246b002cd6c5ec8e404n/INCERUN-Men-Muslim-Islamic-Arabic-Kaftan-Patchwork-Dubai-Abaya-Middle-East-Robes-Hooded-Loose-Casual-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9af78c5521624246b002cd6c5ec8e404n.jpg,https://ae04.alicdn.com/kf/H7bf82078709a4f8291924fc805a801cbU.jpg,https://ae04.alicdn.com/kf/Hbcd17b188f4b4a7db360891fa700f633F.jpg,https://ae04.alicdn.com/kf/H0f2f4855e46b4f9bb84ddd00d871233bh.jpg,https://ae04.alicdn.com/kf/H66b489dce8a7462484ef98e579bc1db8L.jpg,",https://www.aliexpress.com/item/1005001651165764.html,,18.14,9.00%,2098-12-31,38%,https://s.click.aliexpress.com/e/_AU2D0w
Muslim Fashion,201515601,Top Selling Product In 2020 Autumn Winter New Men's Clothing Arabic Color Matching Robe Muslim Zipper Pocket Sweater,1005001359290037,https://ae01.alicdn.com/kf/H3943885427134b118ea961a6f5548f7dp/Top-Selling-Product-In-2020-Autumn-Winter-New-Men-s-Clothing-Arabic-Color-Matching-Robe-Muslim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3943885427134b118ea961a6f5548f7dp.jpg,https://ae04.alicdn.com/kf/Hbd3070add21a4f50bba47eb1f86b600aS.jpg,https://ae04.alicdn.com/kf/H2ca9f68bac1845528876bb14becd9cb5Z.jpg,https://ae04.alicdn.com/kf/Hd6852a94efbd42c4a10510645bbc8825J.jpg,https://ae04.alicdn.com/kf/Hacfe25f77a064b57a314f97c124b8784X.jpg,",https://www.aliexpress.com/item/1005001359290037.html,,12.21,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AoZ5pU
Muslim Fashion,201515601,Islamic Clothing Men Dress Arabic Ayaba Saudi Arabia Abaya Homme Robe Man Djellaba Muslim Fashion Mens 2021 Qamis Man Kaftan,1005001984629961,https://ae01.alicdn.com/kf/Hed203806c39f4415a9ca7efff2ba41216/Islamic-Clothing-Men-Dress-Arabic-Ayaba-Saudi-Arabia-Abaya-Homme-Robe-Man-Djellaba-Muslim-Fashion-Mens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hed203806c39f4415a9ca7efff2ba41216.jpg,https://ae04.alicdn.com/kf/H326c21b1b57e40eb8fdea405dd69ad7fu.jpg,https://ae04.alicdn.com/kf/H775fb3e46ff445d58d6ed3c84e69a94ez.jpg,https://ae04.alicdn.com/kf/H4f7fa2ffc0454ca28dcfae5200f699871.jpg,https://ae04.alicdn.com/kf/H8902c8879ac44aa1a5a5b08cde4a7b92P.jpg,",https://www.aliexpress.com/item/1005001984629961.html,,27.40,20.00%,2098-12-31,47%,https://s.click.aliexpress.com/e/_AUyezo
Muslim Fashion,201515601,Saudi Arab Shiny Thobe Dubai Abaya Men Clothing Embroidery Muslim Clothes Djellaba Man Islam Clothing Qamis Robe Man Kaftan Kurt,1005001957720535,https://ae01.alicdn.com/kf/Hf10d576ca267444cb88979cea4af232bI/Saudi-Arab-Shiny-Thobe-Dubai-Abaya-Men-Clothing-Embroidery-Muslim-Clothes-Djellaba-Man-Islam-Clothing-Qamis.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf10d576ca267444cb88979cea4af232bI.jpg,https://ae04.alicdn.com/kf/Hcbdb6d53a87649709271e4783022022fF.jpg,https://ae04.alicdn.com/kf/Hb200060403784b33ae2f5dd9025a2b2bE.jpg,https://ae04.alicdn.com/kf/H78425a140837451795767aa1f1c7b344q.jpg,https://ae04.alicdn.com/kf/H7a1dca144bcd4f75bb222594ff79c727T.jpg,",https://www.aliexpress.com/item/1005001957720535.html,,29.42,20.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AN0Sx8
Muslim Fashion,201515601,Y-CAN Muslim Fashion Men's Jubba Thobe Texture Robe Long Sleeve Saudi Arab Lace Thobe Jubba Kaftan Islamic Clothing Y201027,1005002037173819,https://ae01.alicdn.com/kf/Hb93ff855d27342119b867597d16d7f1ck/Y-CAN-Muslim-Fashion-Men-s-Jubba-Thobe-Texture-Robe-Long-Sleeve-Saudi-Arab-Lace-Thobe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb93ff855d27342119b867597d16d7f1ck.jpg,https://ae04.alicdn.com/kf/Hd2e16e76bcb04d0b958d718271988c89R.jpg,https://ae04.alicdn.com/kf/H9eb68091c8864ce295ca04e7955b6113F.jpg,https://ae04.alicdn.com/kf/H6a8d75e58bd244d6a91dcda7c3f2e422M.jpg,https://ae04.alicdn.com/kf/Hb7663e7c3fbc456e9375e44981a8cb8bm.jpg,",https://www.aliexpress.com/item/1005002037173819.html,,103.64,9.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_98jsLM
Muslim Fashion,201515601,Y-CAN Muslim Fashion Men Robe Islamic Arabic Kaftan Long Sleeve Abaya Texture Robes Clothing Jubba Thobe Pakistan Free Y201025,1005002002309686,https://ae01.alicdn.com/kf/H780c32ab19c94e28a816b6f5bf87cd6eg/Y-CAN-Muslim-Fashion-Men-Robe-Islamic-Arabic-Kaftan-Long-Sleeve-Abaya-Texture-Robes-Clothing-Jubba.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H780c32ab19c94e28a816b6f5bf87cd6eg.jpg,https://ae04.alicdn.com/kf/Hd2e16e76bcb04d0b958d718271988c89R.jpg,https://ae04.alicdn.com/kf/H9a8967c54ba14d1ab08c2bbfbac499966.jpg,https://ae04.alicdn.com/kf/Hb45ffbdafe3f43b496ff305759349928o.jpg,https://ae04.alicdn.com/kf/Hb2de4c79911a4b75a251e9d8e7b3bb80R.jpg,",https://www.aliexpress.com/item/1005002002309686.html,,107.47,9.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_AbCEDC
Muslim Fashion,201515601,Y-CAN Muslim Fashion for Men Jubba Thobe Pakistan Free With Long Sleeves And Lace Loose Islamic Clothing Muslim Robe Y201027,1005002037103687,https://ae01.alicdn.com/kf/H9890dee96b1141a1b93d6105a62ecbe8f/Y-CAN-Muslim-Fashion-for-Men-Jubba-Thobe-Pakistan-Free-With-Long-Sleeves-And-Lace-Loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9890dee96b1141a1b93d6105a62ecbe8f.jpg,https://ae04.alicdn.com/kf/Hd2e16e76bcb04d0b958d718271988c89R.jpg,https://ae04.alicdn.com/kf/H46ca26b312584df7892f8610cd952bb0B.jpg,https://ae04.alicdn.com/kf/H743bf131d3c04f6fa1a09ad056565840a.jpg,https://ae04.alicdn.com/kf/H84ea73e9d4b444b083b94d68354482a1T.jpg,",https://www.aliexpress.com/item/1005002037103687.html,,84.50,9.00%,2098-12-31,6%,https://s.click.aliexpress.com/e/_ArKvGi
Muslim Fashion,201515601,Y-CAN Muslim Men Arab Islamic Kaftan Pakistan Free  Abaya HoodedLong Sleeve Fashion Saudi Arabia Men Jubba Thobe Texture Y211002,1005002073604179,https://ae01.alicdn.com/kf/Haf6b890e9b2a44edac10d800bdb31682x/Y-CAN-Muslim-Men-Arab-Islamic-Kaftan-Pakistan-Free-Abaya-HoodedLong-Sleeve-Fashion-Saudi-Arabia-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haf6b890e9b2a44edac10d800bdb31682x.jpg,https://ae04.alicdn.com/kf/Hd2e16e76bcb04d0b958d718271988c89R.jpg,https://ae04.alicdn.com/kf/Hfdbe65c8c3c149afbc0449f4ca919becG.jpg,https://ae04.alicdn.com/kf/H90697c2afec24a92bdc6e4575ec858f4I.jpg,https://ae04.alicdn.com/kf/H94f06ed0e49049ccb5cf40392637938d1.jpg,",https://www.aliexpress.com/item/1005002073604179.html,,85.38,9.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_A797SO
