Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Pants,201240601,2021 Faux Leather Pants Men Slim Fashion Skinny Floral Printed High Quality Zipper Biker Leather Pants Men PU Leather Trousers,32960514201,https://ae01.alicdn.com/kf/Hf680c291c5a14a7fbeee4e326872347dI/2021-Faux-Leather-Pants-Men-Slim-Fashion-Skinny-Floral-Printed-High-Quality-Zipper-Biker-Leather-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf680c291c5a14a7fbeee4e326872347dI.jpg,https://ae04.alicdn.com/kf/HTB1.00uah_rK1RkHFqDq6yJAFXaJ.jpg,https://ae04.alicdn.com/kf/HTB1z4JsacvrK1Rjy0Feq6ATmVXaK.jpg,https://ae04.alicdn.com/kf/HTB1EJXraffsK1RjSszbq6AqBXXac.jpg,https://ae04.alicdn.com/kf/H8a8c9e65728641a7a67055033539f8c4r.jpg,",https://www.aliexpress.com/item/32960514201.html,,32.24,12.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_ABNBOe
Pants,201240601,LOVZON Men Fashion Hip Hop Personalized Metal Decoration Joggers Punk Rock Cargo Pants Zippers Streetwear Men Vinatge Trousers,1005001459464358,https://ae01.alicdn.com/kf/H26234157cf4847ca8dd0f83cd74e7e6ca/LOVZON-Men-Fashion-Hip-Hop-Personalized-Metal-Decoration-Joggers-Punk-Rock-Cargo-Pants-Zippers-Streetwear-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H26234157cf4847ca8dd0f83cd74e7e6ca.jpg,https://ae04.alicdn.com/kf/Hff7dced33a914820bf64b7783c30464aj.jpg,https://ae04.alicdn.com/kf/H365ed508e86f4623816faa1f46f2f390Y.jpg,https://ae04.alicdn.com/kf/H71b7acaadcc84f199f53970ecc259a17Y.jpg,https://ae04.alicdn.com/kf/H98fe9cd31bce4c649f2b943da684dd6a6.jpg,",https://www.aliexpress.com/item/1005001459464358.html,,28.85,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_ALfJFg
Pants,201240601,LOVZON Scottish Plaid Joggers Sweatpants Men Vintage Mens Joggers Hip-hop Ankle Strap Zip Lattice Track Pants,1005001438269452,https://ae01.alicdn.com/kf/H1a108168d5a54a3c8a30951ffd079f36o/LOVZON-Scottish-Plaid-Joggers-Sweatpants-Men-Vintage-Mens-Joggers-Hip-hop-Ankle-Strap-Zip-Lattice-Track.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1a108168d5a54a3c8a30951ffd079f36o.jpg,https://ae04.alicdn.com/kf/H9609121dcbd7463b873ab603024834c01.jpg,https://ae04.alicdn.com/kf/H0454d3db27f54f8788a44498979db19fu.jpg,https://ae04.alicdn.com/kf/H620c98313e63498fb8c980f7a0298da0E.jpg,https://ae04.alicdn.com/kf/H07bb4432a7bc4f7eb73bc5de80bdfc9eU.jpg,",https://www.aliexpress.com/item/1005001438269452.html,,20.42,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AS1NAQ
Pants,201240601,Brand Men Pants 2021 Fashion Cotton Loose Trouser Pants Casual Stylish Straight Long Trouser Pantalon Homme 2XL,4001174919397,https://ae01.alicdn.com/kf/H8d8140e5c9464959bd5128c0f2cca7e3n/Brand-Men-Pants-2021-Fashion-Cotton-Loose-Trouser-Pants-Casual-Stylish-Straight-Long-Trouser-Pantalon-Homme.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8d8140e5c9464959bd5128c0f2cca7e3n.jpg,https://ae04.alicdn.com/kf/Haf75fc330362483b99d31296bae6b189N.jpg,https://ae04.alicdn.com/kf/Hd873c853901c44adacd15f66ab8a3c66Q.jpg,https://ae04.alicdn.com/kf/H6380e899191e491c896807edb31eae24i.jpg,https://ae04.alicdn.com/kf/Hac5d21c8f4af46c2a23f0fe0ef8047f1d.jpg,",https://www.aliexpress.com/item/4001174919397.html,,11.92,9.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_A1H026
Pants,201240601,LOVZON Men Purple Joggers Pants  Mens Pockets Streetwear Cargo Pants Male Hip Hop Track Mid Waist Pants Fashions Casual Overalls,1005001456002240,https://ae01.alicdn.com/kf/Hd7b932a895c24dc39967a441c8087f39H/LOVZON-Men-Purple-Joggers-Pants-Mens-Pockets-Streetwear-Cargo-Pants-Male-Hip-Hop-Track-Mid-Waist.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd7b932a895c24dc39967a441c8087f39H.jpg,https://ae04.alicdn.com/kf/H899ccf72d8ac488d8103eec707ad5cb5T.jpg,https://ae04.alicdn.com/kf/H0ddc616064234d039e584c5348ac6792G.jpg,https://ae04.alicdn.com/kf/H8a5e477d17834409ae845b2f90ae2ec8r.jpg,https://ae04.alicdn.com/kf/H1521c69202874d47a9e3cf48f0d26eecz.jpg,",https://www.aliexpress.com/item/1005001456002240.html,,23.87,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_9hE5gK
Pants,201240601,Men's trousers 2021 spring and winter new cropped trousers Harlan wide-leg pants trousers loose casual young men's clothing,1005002105321839,https://ae01.alicdn.com/kf/H2397e7e555964b7a9281e389abf1106aF/Men-s-trousers-2021-spring-and-winter-new-cropped-trousers-Harlan-wide-leg-pants-trousers-loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2397e7e555964b7a9281e389abf1106aF.jpg,https://ae04.alicdn.com/kf/Hd9e8db6c7b0b4f82a8c26a0c91ef05bck.jpg,https://ae04.alicdn.com/kf/H8db410321a154f12ad1fc385149d1cf1U.jpg,https://ae04.alicdn.com/kf/H553f2f83dbf54383b79c0ef0595fa454s.jpg,https://ae04.alicdn.com/kf/Hc7a740a17c814888af63b77d4d775a76P.jpg,",https://www.aliexpress.com/item/1005002105321839.html,,21.99,9.00%,2098-12-31,9%,https://s.click.aliexpress.com/e/_Amm8b4
Pants,201240601,LOVZON Mens Suit Pants Autumn Men Dress Pants Straight Business Office Mens Formal Pants Big Size Classic Trousers Male,1005001430654502,https://ae01.alicdn.com/kf/Ha9310b994cb14102bb9ae9eb2956079bl/LOVZON-Mens-Suit-Pants-Autumn-Men-Dress-Pants-Straight-Business-Office-Mens-Formal-Pants-Big-Size.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha9310b994cb14102bb9ae9eb2956079bl.jpg,https://ae04.alicdn.com/kf/H48424ade42454216bc221d9ec403cd0b4.jpg,https://ae04.alicdn.com/kf/H32cac9f9ee6a4a368f4e9cacc65e3a30c.jpg,https://ae04.alicdn.com/kf/Hf625eee93dc74157a879a85d24c842d4L.jpg,https://ae04.alicdn.com/kf/H61a11af303154a6fbdfa450a1d6de089o.jpg,",https://www.aliexpress.com/item/1005001430654502.html,,38.17,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9gOs4e
Pants,201240601,Men's trousers 2021 spring and winter new slim solid color overalls sweatpants trousers loose casual young men's clothing,1005002102230804,https://ae01.alicdn.com/kf/Ha3d0c8a474374e68885010366f999aa1I/Men-s-trousers-2021-spring-and-winter-new-slim-solid-color-overalls-sweatpants-trousers-loose-casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha3d0c8a474374e68885010366f999aa1I.jpg,https://ae04.alicdn.com/kf/H506450109199426e8efa898399849bbaM.jpg,https://ae04.alicdn.com/kf/H16401dbc03ba4759b5730043e430715bB.jpg,https://ae04.alicdn.com/kf/H005e4d67c2fa41d08e7905905cc21751K.jpg,https://ae04.alicdn.com/kf/Haa2afa2bea394c64bb203e3a140532cbZ.jpg,",https://www.aliexpress.com/item/1005002102230804.html,,26.56,9.00%,2098-12-31,9%,https://s.click.aliexpress.com/e/_A445Em
Pants,201240601,Men's trousers 2021 spring  autumn new trend plaid loose casual sports pants men and women straight leg pants youth  clothing,1005002101862862,https://ae01.alicdn.com/kf/Hb52b33298dfd4209b397f215db9c96a3X/Men-s-trousers-2021-spring-autumn-new-trend-plaid-loose-casual-sports-pants-men-and-women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb52b33298dfd4209b397f215db9c96a3X.jpg,https://ae04.alicdn.com/kf/Hbb8408cdee5647bb883795d834f96a4fs.jpg,https://ae04.alicdn.com/kf/H5da15f6dd28b41c5bc556d9109b185d2e.jpg,https://ae04.alicdn.com/kf/Ha693ac2effd44b39bb47243fe8039437b.jpg,https://ae04.alicdn.com/kf/Hb53912c62c974aaca18148c475959c90T.jpg,",https://www.aliexpress.com/item/1005002101862862.html,,26.26,9.00%,2098-12-31,9%,https://s.click.aliexpress.com/e/_Afs7LC
Pants,201240601,LOVZON Mens Warm Pants For Winter Korean Slim Fit Fleece Lined Trousers Skinny Stretch Male Casual Elastic Waist Fashion Young,1005001425866749,https://ae01.alicdn.com/kf/H80fd570701d34b20a09503433d0d0fa5a/LOVZON-Mens-Warm-Pants-For-Winter-Korean-Slim-Fit-Fleece-Lined-Trousers-Skinny-Stretch-Male-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H80fd570701d34b20a09503433d0d0fa5a.jpg,https://ae04.alicdn.com/kf/Hd6212b1b740e4bcf87e9cccb59fd74536.jpg,https://ae04.alicdn.com/kf/H2bfff58b677446dca0448aee7204d7eaY.jpg,https://ae04.alicdn.com/kf/H297a2abedd5741909a055bad820edbe3n.jpg,https://ae04.alicdn.com/kf/Hb0940ae503fe4723a4ecd406628b2acfV.jpg,",https://www.aliexpress.com/item/1005001425866749.html,,42.83,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9Jvw5Y
