Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Shirts,348,Men Shirts 2020 New Slim Fit Long Sleeve Casual Shirt Letter Printed Camisa Masculina Streetwear Nightclub Clothes Chemise Homme,4001226703448,https://ae01.alicdn.com/kf/H48d9f776feaf4dc1a688b7c4f27982c6z/Men-Shirts-2020-New-Slim-Fit-Long-Sleeve-Casual-Shirt-Letter-Printed-Camisa-Masculina-Streetwear-Nightclub.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H48d9f776feaf4dc1a688b7c4f27982c6z.jpg,https://ae04.alicdn.com/kf/H11afc94b6a304ec6bf045134ce23320fM.jpg,https://ae04.alicdn.com/kf/H4348bb441a8f426ab05ea246f3a50ab6Z.jpg,https://ae04.alicdn.com/kf/H71e5d004162846ee8d74310423181239B.jpg,https://ae04.alicdn.com/kf/Hb452fec9c1d44042baa07bfe85b7b57fu.jpg,",https://www.aliexpress.com/item/4001226703448.html,,28.42,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A0VNU6
Shirts,348,Brand Summer Slim Fit Shirt men England angel Print Casual Streetwear Camisa Homme Short Sleeve Night Club Social Hawaii Shirt,33034797561,https://ae01.alicdn.com/kf/H5d43fc844ce34697b07f47260f728a043/Brand-Summer-Slim-Fit-Shirt-men-England-angel-Print-Casual-Streetwear-Camisa-Homme-Short-Sleeve-Night.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5d43fc844ce34697b07f47260f728a043.jpg,https://ae04.alicdn.com/kf/Hbb279ef6b00e4596831786844bc338acY.jpg,https://ae04.alicdn.com/kf/H2ec0a6c284374fb5a4fa1018802c115fD.jpg,https://ae04.alicdn.com/kf/H139cc28eb9604990a1c524f70068a7e21.jpg,https://ae04.alicdn.com/kf/H066e09b1455d4d96988566ca25ba6c075.jpg,",https://www.aliexpress.com/item/33034797561.html,,23.60,9.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_9fu3cK
Shirts,348,2019 Men Shirt Designer Rhinestone Wing Long Sleeve Casual Slim Fit Dress Shirts Black White Streetwear Camisa Social Masculina,4000094445220,https://ae01.alicdn.com/kf/H86c4706d633a44f397f392ee5db660bcq/2019-Men-Shirt-Designer-Rhinestone-Wing-Long-Sleeve-Casual-Slim-Fit-Dress-Shirts-Black-White-Streetwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H86c4706d633a44f397f392ee5db660bcq.jpg,https://ae04.alicdn.com/kf/He4e7654a5f3a4330b7ed9724ae3947d6p.jpg,https://ae04.alicdn.com/kf/H75d68c6b2c924a59b1fe6be3ec3e03e57.jpg,https://ae04.alicdn.com/kf/H34ae4dc7211c4e2c8059094cc3f8b46bE.jpg,https://ae04.alicdn.com/kf/H84d8c0353ec34941a34fe680fd317da6w.jpg,",https://www.aliexpress.com/item/4000094445220.html,,20.73,9.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_9zLOkI
Shirts,348,Sexy Lace Patchwork Men's Shirt Long Sleeve Slim Fit Streetwear Casual Shirts Nightclub Singer Social Party Blouse Chemise Homme,4001254696325,https://ae01.alicdn.com/kf/H2b57f5f74f1b4827b38c3f37d266cf1bd/Sexy-Lace-Patchwork-Men-s-Shirt-Long-Sleeve-Slim-Fit-Streetwear-Casual-Shirts-Nightclub-Singer-Social.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2b57f5f74f1b4827b38c3f37d266cf1bd.jpg,https://ae04.alicdn.com/kf/Hdad956901ace43dab4ea5b0f1a59b21aO.jpg,https://ae04.alicdn.com/kf/Hc6c238853cf144de85c0ce58d28e2437o.jpg,https://ae04.alicdn.com/kf/Hfe4d9c40187548f99d6148a36da31aefw.jpg,https://ae04.alicdn.com/kf/H4f998146e0da4acabc30e4c5c113cbf9d.jpg,",https://www.aliexpress.com/item/4001254696325.html,,22.63,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_Ad1B3g
Shirts,348,Embroidery Floral Men's Shirt Long Sleeve Business Formal Dress Casual Shirts Streetwear Social Party Bar Male Clothing Camisa,1005001287300017,https://ae01.alicdn.com/kf/H2a5f3d53b3f04d9fafc8efb4e2bc8f92e/Embroidery-Floral-Men-s-Shirt-Long-Sleeve-Business-Formal-Dress-Casual-Shirts-Streetwear-Social-Party-Bar.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2a5f3d53b3f04d9fafc8efb4e2bc8f92e.jpg,https://ae04.alicdn.com/kf/He852a0ca305945a48150d468a69aa0cdi.jpg,https://ae04.alicdn.com/kf/H53f18fdd8fb847e7bcf551a4ff47b8edB.jpg,https://ae04.alicdn.com/kf/H958c36736a4a4a1e979b4eed609fefa5J.jpg,https://ae04.alicdn.com/kf/H6c624be7d0ae40fbb6a29f48fc8388acp.jpg,",https://www.aliexpress.com/item/1005001287300017.html,,22.25,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AtjIRM
Shirts,348,Men Long Sleeve Linen Shirt Brand Mandarin Collar Casual Kimono Traditional Chinese Style Regular Fit Mens Dress Shirts Big Size,32857329519,https://ae01.alicdn.com/kf/Hb8be808d6dde469488bb413175e843c0r/Men-Long-Sleeve-Linen-Shirt-Brand-Mandarin-Collar-Casual-Kimono-Traditional-Chinese-Style-Regular-Fit-Mens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb8be808d6dde469488bb413175e843c0r.jpg,https://ae04.alicdn.com/kf/HTB1__qqer1YBuNjSszhq6AUsFXay.jpg,https://ae04.alicdn.com/kf/Hece954d400044f85bfb88e804a6089d0X.jpg,https://ae04.alicdn.com/kf/H42e89856a3344e6186d246197e3faa8aG.jpg,https://ae04.alicdn.com/kf/HTB1f9KXepGWBuNjy0Fbq6z4sXXaX.jpg,",https://www.aliexpress.com/item/32857329519.html,,23.09,12.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9IZJXY
Shirts,348,LOVZON Military Style Mens Shirts Uniform 6XL Plus Size Big Cotton British Long Sleeve  Male Cargo Shirts Us Army Green,1005001425875572,https://ae01.alicdn.com/kf/H3d53ae316d7e49159fb1adb5f05ac189Q/LOVZON-Military-Style-Mens-Shirts-Uniform-6XL-Plus-Size-Big-Cotton-British-Long-Sleeve-Male-Cargo.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3d53ae316d7e49159fb1adb5f05ac189Q.jpg,https://ae04.alicdn.com/kf/H877a3ff938df466ba4d422056bdd0f3c5.jpg,https://ae04.alicdn.com/kf/Hf68142065ca14ffbb87cd1a010ff828f0.jpg,https://ae04.alicdn.com/kf/H8d7a6448631a49dbaae7621219b556aa8.jpg,https://ae04.alicdn.com/kf/Hfdb40d46c96347e79edc6fa4c6d7ccd9r.jpg,",https://www.aliexpress.com/item/1005001425875572.html,,19.49,9.00%,2098-12-31,51%,https://s.click.aliexpress.com/e/_AOTVl8
Shirts,348,Men's shirt spring and winter 2021 new slim cartoon animal print long-sleeved shirt loose casual fashion young men's clothing,1005002105520181,https://ae01.alicdn.com/kf/H9701190092504834bc363f83e01713dal/Men-s-shirt-spring-and-winter-2021-new-slim-cartoon-animal-print-long-sleeved-shirt-loose.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9701190092504834bc363f83e01713dal.jpg,https://ae04.alicdn.com/kf/Hd7ebc14e0a7d4d3e8991457cfb80c653E.jpg,https://ae04.alicdn.com/kf/H141cb837a7e84366b73c3fd33235b5dbl.jpg,https://ae04.alicdn.com/kf/H11367f5e65ee451394f4635a092284f5A.jpg,https://ae04.alicdn.com/kf/H0ae074797f3b42e39318529eebf547far.jpg,",https://www.aliexpress.com/item/1005002105520181.html,,25.65,9.00%,2098-12-31,9%,https://s.click.aliexpress.com/e/_AcFktC
Shirts,348,Men's Long Sleeve Shirts 2021 Social Business Formal Dress Camisas Para Hombre Casual Men Clothing High Quality Slim Fit Tops,1005002055686409,https://ae01.alicdn.com/kf/H66f4784736bf4a958fda010c79651e05F/Men-s-Long-Sleeve-Shirts-2021-Social-Business-Formal-Dress-Camisas-Para-Hombre-Casual-Men-Clothing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H66f4784736bf4a958fda010c79651e05F.jpg,https://ae04.alicdn.com/kf/He5a8102a22d449b1b8db0961b8fd4042e.jpg,https://ae04.alicdn.com/kf/H26a1d56e5c5745db80ef905df4461673N.jpg,https://ae04.alicdn.com/kf/H4992aeec2c494d02a3c1e603d447ac4bL.jpg,https://ae04.alicdn.com/kf/Hc731030df17c41878e9837f78d65b0ebZ.jpg,",https://www.aliexpress.com/item/1005002055686409.html,,23.62,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AVRDno
Shirts,348,Men's Slim Fit Shirts 2021 Spring New Solid Formal Dress Shirt Social Casual Long Sleeve Blouse Homme High Quality Men Clothig,1005002060603549,https://ae01.alicdn.com/kf/H79f5f59cf79f4b9799c8ac0f225124f84/Men-s-Slim-Fit-Shirts-2021-Spring-New-Solid-Formal-Dress-Shirt-Social-Casual-Long-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H79f5f59cf79f4b9799c8ac0f225124f84.jpg,https://ae04.alicdn.com/kf/H35eb3d871a5a41939c4c9415cd21459eV.jpg,https://ae04.alicdn.com/kf/H8cfd05dc76c142d7997ed34355951716h.jpg,https://ae04.alicdn.com/kf/H10e026e96a0a4e308113fcca8aae61c1y.jpg,https://ae04.alicdn.com/kf/H35ae5ae32ed84717bab268827a7cb6e74.jpg,",https://www.aliexpress.com/item/1005002060603549.html,,22.29,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_9H3y8Q
