Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Men's Sleep & Lounge,200001813,Spring Autumn Men Pajamas Set Cute Cartoon Print Sleepwear Long Sleeve Male Pajama Set Nightwear 2021 New Casual Suit Sleepwear,1005001989983343,https://ae01.alicdn.com/kf/He9509ddd867d47089a77791145b3b89fv/Spring-Autumn-Men-Pajamas-Set-Cute-Cartoon-Print-Sleepwear-Long-Sleeve-Male-Pajama-Set-Nightwear-2021.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He9509ddd867d47089a77791145b3b89fv.jpg,https://ae04.alicdn.com/kf/Hd237a031abb04cf6b442cf2e23b02db4G.jpg,https://ae04.alicdn.com/kf/Hb9be3fddf28e4eeaa75a6bc1889323b38.jpg,https://ae04.alicdn.com/kf/H7b3d38f368f14403ab52281257db8617F.jpg,https://ae04.alicdn.com/kf/H40b9b83ac820406b90a86607e822672d4.jpg,",https://www.aliexpress.com/item/1005001989983343.html,9.69,5.81,30.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A1cOsO
Men's Sleep & Lounge,200001813,Men Soft Fleece Solid Color Pockets Long Bath Robe Home Gown Sleepwear robes for men,1005001739375490,https://ae01.alicdn.com/kf/Hc3b21796f870450782d411bce6ad8982T/Men-Soft-Fleece-Solid-Color-Pockets-Long-Bath-Robe-Home-Gown-Sleepwear-robes-for-men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc3b21796f870450782d411bce6ad8982T.jpg,https://ae04.alicdn.com/kf/H3bc7a82867ea4718bb24160d23014934P.jpg,https://ae04.alicdn.com/kf/H8ff54fd53bc248b88298653c58231d20F.jpg,https://ae04.alicdn.com/kf/H7887b498079e44a0b61cb8eb1bd66cb4l.jpg,https://ae04.alicdn.com/kf/Ha9ceec378ceb4c5da4d6a1fec5a86ad4q.jpg,",https://www.aliexpress.com/item/1005001739375490.html,8.50,5.19,8.00%,2098-12-31,39%,https://s.click.aliexpress.com/e/_AXGcx8
Men's Sleep & Lounge,200001813,Fashion Mens Pajamas Jumpsuit Solid Color Long Sleeve Comfortable Button Sleepwear Men Romper Nightwear Homewear Plus size S-5XL,1005001730664701,https://ae01.alicdn.com/kf/He5a84a3ecd494ad18d81ddf63e383c96Q/Fashion-Mens-Pajamas-Jumpsuit-Solid-Color-Long-Sleeve-Comfortable-Button-Sleepwear-Men-Romper-Nightwear-Homewear-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He5a84a3ecd494ad18d81ddf63e383c96Q.jpg,https://ae04.alicdn.com/kf/H49ab71fc0dbb4a87a08172ff04a2b97dp.jpg,https://ae04.alicdn.com/kf/Hf5c201ff700d41c99ab0cbd8d25f44d1A.jpg,https://ae04.alicdn.com/kf/He77cf7cd46eb46958dcb1c5172e51cf12.jpg,https://ae04.alicdn.com/kf/H762beb16aa6b4eccba7229b54da497d5u.jpg,",https://www.aliexpress.com/item/1005001730664701.html,9.03,5.78,10.00%,2098-12-31,36%,https://s.click.aliexpress.com/e/_9zm1Sq
Men's Sleep & Lounge,200001813,Men Summer Printed Sleepwear Suits Vintage Kimono Nightwear Sets Cardigan Blouse Elastic Pants Sets Soft Pajamas Suits  INCERUN7,4001283933175,https://ae01.alicdn.com/kf/He6f3a154c5604bd59ce12decba781d5a8/Men-Summer-Printed-Sleepwear-Suits-Vintage-Kimono-Nightwear-Sets-Cardigan-Blouse-Elastic-Pants-Sets-Soft-Pajamas.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He6f3a154c5604bd59ce12decba781d5a8.jpg,https://ae04.alicdn.com/kf/Hcefa8ed8b07242f8aaaf9fcfbbd9df9fu.jpg,https://ae04.alicdn.com/kf/H275cc3055bb94efd82feedbe4d192aaf5.jpg,https://ae04.alicdn.com/kf/H3b7151f282534d27b69b64908e618526t.jpg,https://ae04.alicdn.com/kf/H6f4d7b511e0642fda87cc80b32b8a0c2K.jpg,",https://www.aliexpress.com/item/4001283933175.html,26.28,18.40,9.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AK2Jjo
Men's Sleep & Lounge,200001813,Autumn Winter Thick Warm Flannel Pajama Sets For Men Long Sleeve Coral Velvet Sleepwear Suit Loungewear Homewear Home Clothes,1005001914991092,https://ae01.alicdn.com/kf/Hd162cd2e422045faab668b09fb5c31230/Autumn-Winter-Thick-Warm-Flannel-Pajama-Sets-For-Men-Long-Sleeve-Coral-Velvet-Sleepwear-Suit-Loungewear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd162cd2e422045faab668b09fb5c31230.jpg,https://ae04.alicdn.com/kf/H18d47aacbd6a4178819e8c6f713b43fdE.jpg,https://ae04.alicdn.com/kf/H7b6e7f5223ec4a468ed0c0ad72bbf7f8n.jpg,https://ae04.alicdn.com/kf/He995787128b4460c82a6547246929aafV.jpg,https://ae04.alicdn.com/kf/H7c10509ba3e841039a638f3261d2d2340.jpg,",https://www.aliexpress.com/item/1005001914991092.html,38.13,19.83,8.00%,2098-12-31,48%,https://s.click.aliexpress.com/e/_9ySUea
Men's Sleep & Lounge,200001813,INCERUN Leisure Sleeveless O Neck Elastic Waist Pants Homewear 2 Pieces Men Solid Pajamas Sets Men Cozy Sleepwear Suit Plus Size,1005002056554560,https://ae01.alicdn.com/kf/H65149f53d1774450897c86bf0f1dae81G/INCERUN-Leisure-Sleeveless-O-Neck-Elastic-Waist-Pants-Homewear-2-Pieces-Men-Solid-Pajamas-Sets-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H65149f53d1774450897c86bf0f1dae81G.jpg,https://ae04.alicdn.com/kf/H069c80849c1f40de9c465b49c3ac6947P.jpg,https://ae04.alicdn.com/kf/H802fd0a851f443d2860f1459a6d4d42aX.jpg,https://ae04.alicdn.com/kf/H94d357b51e374d98a8ff4ce73d96d0f1n.jpg,https://ae04.alicdn.com/kf/H47f8b0310afa438fa4e9beb46cad77d5z.jpg,",https://www.aliexpress.com/item/1005002056554560.html,26.98,16.19,15.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AtWwqw
Men's Sleep & Lounge,200001813,Man Fitness Bodysuit Homewear INCERUN Men See Through Grid Onesies Fashion Solid Color Long Sleeve Transparent Romper Pajama 5XL,1005002002380023,https://ae01.alicdn.com/kf/H06eaad4d15374202837acac14f6e35f5R/Man-Fitness-Bodysuit-Homewear-INCERUN-Men-See-Through-Grid-Onesies-Fashion-Solid-Color-Long-Sleeve-Transparent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H06eaad4d15374202837acac14f6e35f5R.jpg,https://ae04.alicdn.com/kf/H0797ad3e367f4e5fbbdbe7b9435d852f3.jpg,https://ae04.alicdn.com/kf/H6157c97fa43d461fabab829730bc6b9d3.jpg,https://ae04.alicdn.com/kf/Hc85ca31efecc48fb9464cf68791c5e164.jpg,https://ae04.alicdn.com/kf/H1cd7c5216067416d94547f304a236d878.jpg,",https://www.aliexpress.com/item/1005002002380023.html,17.46,10.48,12.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9f7qtu
Men's Sleep & Lounge,200001813,Men's Thermal Fleece Thick Warm Pyjamas Suit Long Sleeve Casual Home Pyjama Set Suit Men pijamas de invierno para hombre E1,1005002121551518,https://ae01.alicdn.com/kf/H629cebcb26154f5086519cfd38a47809Z/Men-s-Thermal-Fleece-Thick-Warm-Pyjamas-Suit-Long-Sleeve-Casual-Home-Pyjama-Set-Suit-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H629cebcb26154f5086519cfd38a47809Z.jpg,https://ae04.alicdn.com/kf/H193c202dcf1b451aab0157fac10294452.jpg,https://ae04.alicdn.com/kf/Hdf5c4097be2c41d6b39b2e7754921eeb4.jpg,https://ae04.alicdn.com/kf/He3b852b30bcf437cb7973c7476eecc49f.jpg,https://ae04.alicdn.com/kf/H12f2f6b033a04b748d55b52a79082493S.jpg,",https://www.aliexpress.com/item/1005002121551518.html,19.62,15.70,8.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_Akf86i
Men's Sleep & Lounge,200001813,Spring Autumn Men Pajamas Set Cotton Print Sleepwear Night Suit Casual Long Sleeve Plaid Pants Pyjamas Plus Size Homewear 4XL,1005002122086783,https://ae01.alicdn.com/kf/H0700006c22384c439a31eaac3794aadfT/Spring-Autumn-Men-Pajamas-Set-Cotton-Print-Sleepwear-Night-Suit-Casual-Long-Sleeve-Plaid-Pants-Pyjamas.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0700006c22384c439a31eaac3794aadfT.jpg,https://ae04.alicdn.com/kf/Hb0876d87484947e780299ed88ad835b1V.jpg,https://ae04.alicdn.com/kf/H84d5dc0fa1d140f4b748433b03ab101bC.jpg,https://ae04.alicdn.com/kf/Ha59ec04b6b7f4843a0e9f93bcf99d0ccV.jpg,https://ae04.alicdn.com/kf/H9226a177f2b2499895a41d11def3924d3.jpg,",https://www.aliexpress.com/item/1005002122086783.html,55.98,27.99,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AP8TNG
Men's Sleep & Lounge,200001813,Buttons Pyjamas Nightwear Mens Homewear INCERUN Autumn Men Sexy Onesies Jumpsuits Pajama Long Sleeve Rompers Overalls Sleepwear,1005001313852498,https://ae01.alicdn.com/kf/Hf74f534e0d5e4202b5553359f5bc86feo/Buttons-Pyjamas-Nightwear-Mens-Homewear-INCERUN-Autumn-Men-Sexy-Onesies-Jumpsuits-Pajama-Long-Sleeve-Rompers-Overalls.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf74f534e0d5e4202b5553359f5bc86feo.jpg,https://ae04.alicdn.com/kf/Hc843acadc2f94194943e0c0d6e39816aj.jpg,https://ae04.alicdn.com/kf/Ha22511a7bf8143b7b754f2f68f5a14a9l.jpg,https://ae04.alicdn.com/kf/H673486cb30f64fb580b4413a91e4a81am.jpg,https://ae04.alicdn.com/kf/Hb48b9d8e2aa74186943ed9f16c52ff04v.jpg,",https://www.aliexpress.com/item/1005001313852498.html,23.15,16.44,8.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_A9nAW2
