Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Sweaters,201236604,Men's Loose All-match Sweater Trend Printed Letters Cartoon Smiley Face Knitted Pullover Loose Slim Bottoming Tops Autumn Winter,1005001807622519,https://ae01.alicdn.com/kf/Hf51cb9f7b4b6462b973b2afcb25544eaW/Men-s-Loose-All-match-Sweater-Trend-Printed-Letters-Cartoon-Smiley-Face-Knitted-Pullover-Loose-Slim.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf51cb9f7b4b6462b973b2afcb25544eaW.jpg,https://ae04.alicdn.com/kf/H1f994ae3bfcc43a785ee0dab89826418g.jpg,https://ae04.alicdn.com/kf/He2f680b6a2794a6080641b10a22dc9d8y.jpg,https://ae04.alicdn.com/kf/Haaad91b2e44c41d5980b1a0a0e90f9edi.jpg,https://ae04.alicdn.com/kf/H047e0e40b4c24d9fbfd693d4ebd2e76en.jpg,",https://www.aliexpress.com/item/1005001807622519.html,,25.63,9.00%,2098-12-31,57%,https://s.click.aliexpress.com/e/_AqaMnM
Sweaters,201236604,Winter Sweater Men Thicken Loose Print Flame Knitted Sweater Student Tops Clothes Autumn Round Neck Pullover Long Sleeve Men,1005001802714319,https://ae01.alicdn.com/kf/H5dbb0e7ea3694f3185e1950868278a69i/Winter-Sweater-Men-Thicken-Loose-Print-Flame-Knitted-Sweater-Student-Tops-Clothes-Autumn-Round-Neck-Pullover.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5dbb0e7ea3694f3185e1950868278a69i.jpg,https://ae04.alicdn.com/kf/H103b5fc7503b40d69c9947d4d5a326cfu.jpg,https://ae04.alicdn.com/kf/H14299f4798b14481b849f2ba6d1ac7c71.jpg,https://ae04.alicdn.com/kf/H988bec80b4144f48832853617421983e1.jpg,https://ae04.alicdn.com/kf/Hd5f640c1b93c463fa06cdf43e448d58cU.jpg,",https://www.aliexpress.com/item/1005001802714319.html,,28.00,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ATTXru
Sweaters,201236604,LOVZON Autumn Men's Thick Warm Knitted Pullover Solid Long Sleeve Turtleneck Sweaters Half Zip Wool Fleece Winter Coat Clothing,1005001494851970,https://ae01.alicdn.com/kf/H3478c55544cc400da9133b3066c8a789G/LOVZON-Autumn-Men-s-Thick-Warm-Knitted-Pullover-Solid-Long-Sleeve-Turtleneck-Sweaters-Half-Zip-Wool.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3478c55544cc400da9133b3066c8a789G.jpg,https://ae04.alicdn.com/kf/H765a82b1b2c24bbaa4e090ec52e099e7N.jpg,https://ae04.alicdn.com/kf/H77cdb410235a40549f04c13a2b9ea6a13.jpg,https://ae04.alicdn.com/kf/H54ef40ad1eb24a57b4279f090f00d827J.jpg,https://ae04.alicdn.com/kf/H8e2676a3db994373a801c25f1efa585ep.jpg,",https://www.aliexpress.com/item/1005001494851970.html,,22.41,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_97KuGe
Sweaters,201236604,LOVZON White Color Sweater Cotton Soft Male Winter Warm Knit Clothes Casual Cool Pullover Round Neck Long Sleeve Men Sweater,1005001500801813,https://ae01.alicdn.com/kf/Hd275300291254c7d887770a9ef9bea5f0/LOVZON-White-Color-Sweater-Cotton-Soft-Male-Winter-Warm-Knit-Clothes-Casual-Cool-Pullover-Round-Neck.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd275300291254c7d887770a9ef9bea5f0.jpg,https://ae04.alicdn.com/kf/H5fc062612f81421fbd477d98e4255f0aC.jpg,https://ae04.alicdn.com/kf/H75a8b638cea240d6adf84f16c19b560bQ.jpg,https://ae04.alicdn.com/kf/H8c5f721d36d44f078002796349e5341av.jpg,https://ae04.alicdn.com/kf/He5a5957bec85451ba6bd1b5800ceb2a5n.jpg,",https://www.aliexpress.com/item/1005001500801813.html,,21.63,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AnoH6m
Sweaters,201236604,LOVZON New Knitted Man Sweater Triangle Fashion Men Casual Cotton Autumn Mens Sweaters Round Collare,1005001459495699,https://ae01.alicdn.com/kf/H0bce1e6c6c8e467e8b233cbef1510f47V/LOVZON-New-Knitted-Man-Sweater-Triangle-Fashion-Men-Casual-Cotton-Autumn-Mens-Sweaters-Round-Collare.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0bce1e6c6c8e467e8b233cbef1510f47V.jpg,https://ae04.alicdn.com/kf/Heecb082ca1da4530b9269d536f4e2be1m.jpg,https://ae04.alicdn.com/kf/Hd6bbbcdbdb3f4e3baf1462302bbabefbB.jpg,https://ae04.alicdn.com/kf/H0ea5febaa67f46df8ecec575dd5ff35fZ.jpg,https://ae04.alicdn.com/kf/He20a540f3b894128943c1dea4f0bcda7L.jpg,",https://www.aliexpress.com/item/1005001459495699.html,,19.09,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_98eI2K
Sweaters,201236604,LOVZON Winter New Arrivals Thick Warm Sweaters O-Neck Wool Sweater Men Brand Clothing Knitted Cashmere Pullover Men Base Shirt,1005001453590016,https://ae01.alicdn.com/kf/Hcc1222cae092491e9cc389c26d0d53b0R/LOVZON-Winter-New-Arrivals-Thick-Warm-Sweaters-O-Neck-Wool-Sweater-Men-Brand-Clothing-Knitted-Cashmere.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcc1222cae092491e9cc389c26d0d53b0R.jpg,https://ae04.alicdn.com/kf/H4f77ae07a52e4e509a2612a9c410eb29I.jpg,https://ae04.alicdn.com/kf/Hbbfc1ad871044088aeed8193d44edf22C.jpg,https://ae04.alicdn.com/kf/Hb056f2997efa4ba6a6b58cfcaa5842e7s.jpg,",https://www.aliexpress.com/item/1005001453590016.html,,11.63,9.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AYveJM
Sweaters,201236604,LOVZON Rainbow Collar Pullover Men's Half Turtleneck Sweater  Winter Loose Style Sweater For Men High Street Sweaters,1005001468189163,https://ae01.alicdn.com/kf/H75c8820a353d46228ca7c7196b524da2Y/LOVZON-Rainbow-Collar-Pullover-Men-s-Half-Turtleneck-Sweater-Winter-Loose-Style-Sweater-For-Men-High.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H75c8820a353d46228ca7c7196b524da2Y.jpg,https://ae04.alicdn.com/kf/Hcc870278b22a4cfa9de4d0b5a14508f81.jpg,https://ae04.alicdn.com/kf/H2a9f670efc2a4595a3ea71a4b39661a1D.jpg,https://ae04.alicdn.com/kf/Had2716d435db48cf8a3f3e33aa99a8453.jpg,https://ae04.alicdn.com/kf/He23705b38fc8402d8f7d3b0343e44ca3J.jpg,",https://www.aliexpress.com/item/1005001468189163.html,,16.96,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_ABfBPY
Sweaters,201236604,Cartoon Rabbit Knitted Jumper Streetwear Mens Hip Hop Harajuku Pullover Knitwear Fashion Knit Outwear Male Couple Sweaters Tops,1005002105471183,https://ae01.alicdn.com/kf/Hb96a78e7b113416fa51a56a18cc625b3J/Cartoon-Rabbit-Knitted-Jumper-Streetwear-Mens-Hip-Hop-Harajuku-Pullover-Knitwear-Fashion-Knit-Outwear-Male-Couple.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb96a78e7b113416fa51a56a18cc625b3J.jpg,https://ae04.alicdn.com/kf/H96e4ae7794164ea791ad7a3316794025c.jpg,https://ae04.alicdn.com/kf/H34680339681e4456b06257e7fc48373c6.jpg,https://ae04.alicdn.com/kf/H1e203540a4fa47668f2e2ab420316ad5I.jpg,https://ae04.alicdn.com/kf/He927056b4d0f481ca6ecc90d9c1eaee0w.jpg,",https://www.aliexpress.com/item/1005002105471183.html,,30.55,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_A522Ye
Sweaters,201236604,Plaid Letter Knitted Jumper Sweaters Mens Hip Hop Harajuku Pullover Knitwear Fashion Knit Outwear Male Couple Tops Streetwear,1005002104909501,https://ae01.alicdn.com/kf/H70e2682ce7694083afd139ae452f062dW/Plaid-Letter-Knitted-Jumper-Sweaters-Mens-Hip-Hop-Harajuku-Pullover-Knitwear-Fashion-Knit-Outwear-Male-Couple.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H70e2682ce7694083afd139ae452f062dW.jpg,https://ae04.alicdn.com/kf/H160e3ff8aa77484bb6f95995eb802463R.jpg,https://ae04.alicdn.com/kf/H0758ffe9205b4e3bae530e906dee262cR.jpg,https://ae04.alicdn.com/kf/H9b20d684812c4d9cad88bff24485edf9b.jpg,https://ae04.alicdn.com/kf/Hc65691bf29b14ab89bdbdcca1a963c84A.jpg,",https://www.aliexpress.com/item/1005002104909501.html,,30.55,9.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AgqYuQ
Sweaters,201236604,Men's Sweater Coat 2020 Spring Autumn Mens Hooded Stripe Coat Thick Zipper Wool Sweater Cardigan Jumpers Male,1005002077567482,https://ae01.alicdn.com/kf/H00d9a0e3e98745c19a9165c9b7936fd00/Men-s-Sweater-Coat-2020-Spring-Autumn-Mens-Hooded-Stripe-Coat-Thick-Zipper-Wool-Sweater-Cardigan.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H00d9a0e3e98745c19a9165c9b7936fd00.jpg,https://ae04.alicdn.com/kf/H71000a72586d499fa472386db2b7f719H.jpg,https://ae04.alicdn.com/kf/H144dd73ac6804366a3d9a1a27e67f5a2d.jpg,https://ae04.alicdn.com/kf/H6f6a57cb4f28444db076c3a100b031e9g.jpg,",https://www.aliexpress.com/item/1005002077567482.html,,45.00,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_9R961g
Sweaters,201236604,Oversized Long Cardigan Sweater Men Hooded Long Sleeve 2021 Winter Spring Coat Warm Loose Knitted Sweater Jacket Overcoat,1005001966274644,https://ae01.alicdn.com/kf/Ha23247ab8b934a5a9c236a2abb711a5aA/Oversized-Long-Cardigan-Sweater-Men-Hooded-Long-Sleeve-2021-Winter-Spring-Coat-Warm-Loose-Knitted-Sweater.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha23247ab8b934a5a9c236a2abb711a5aA.jpg,https://ae04.alicdn.com/kf/Ha469726efcea40868eb6469296856ab6E.jpg,https://ae04.alicdn.com/kf/Ha0eaae004c37445b85521f362b26cc41T.jpg,",https://www.aliexpress.com/item/1005001966274644.html,,33.99,12.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AMiai6
Sweaters,201236604,Men Autumn Hooded Coat Sweater Coat Winter Warm Harajuku Color Distressed Zipper Knit Sweater With Pocket Cardigan Plus Size4XL,1005001727671880,https://ae01.alicdn.com/kf/Hd87833f0e21f43c5b58425a08134337b3/Men-Autumn-Hooded-Coat-Sweater-Coat-Winter-Warm-Harajuku-Color-Distressed-Zipper-Knit-Sweater-With-Pocket.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd87833f0e21f43c5b58425a08134337b3.jpg,https://ae04.alicdn.com/kf/H94064b291942423baeda2bf094d01d86y.jpg,https://ae04.alicdn.com/kf/Hfd061e96ac1a4d76ba90906f57d88b61c.jpg,https://ae04.alicdn.com/kf/H420b67c6d0cd4ef4bddd133bfe107e6eE.jpg,https://ae04.alicdn.com/kf/H2b26be0d6acf42c9966120c368312b35v.jpg,",https://www.aliexpress.com/item/1005001727671880.html,,34.18,9.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AAQ9Qq
Sweaters,201236604,2021 Autumn Cardigan Men Sweaters Thick Warm Knitted Sweater Mens Jackets Coats Male Clothing Casual Knitwear,1005002077379566,https://ae01.alicdn.com/kf/H81f3c69a0e5043639fd823441c8fefb9r/2021-Autumn-Cardigan-Men-Sweaters-Thick-Warm-Knitted-Sweater-Mens-Jackets-Coats-Male-Clothing-Casual-Knitwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H81f3c69a0e5043639fd823441c8fefb9r.jpg,https://ae04.alicdn.com/kf/Hb61896f36c14424cabe846b58ab08210X.jpg,https://ae04.alicdn.com/kf/Ha6edd83076b1440db6a0cbf16ea3e3d4i.jpg,https://ae04.alicdn.com/kf/Hde5f90bdec4e4295988fbb79e877b737p.jpg,https://ae04.alicdn.com/kf/H8625b128a208453c88c391888d6174094.jpg,",https://www.aliexpress.com/item/1005002077379566.html,,25.00,40.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_ABdEb4
Sweaters,201236604,LOVZON Winter New Arrivals Thick Warm Sweaters O-Neck Wool Sweater Men Brand Clothing Knitted Cashmere Pullover Men M-3xl,1005001501044865,https://ae01.alicdn.com/kf/Hf129f7b88cbb41bf90002ac16324ecaey/LOVZON-Winter-New-Arrivals-Thick-Warm-Sweaters-O-Neck-Wool-Sweater-Men-Brand-Clothing-Knitted-Cashmere.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf129f7b88cbb41bf90002ac16324ecaey.jpg,https://ae04.alicdn.com/kf/H7af1f04e25344a2d8a7d56198c0faf30D.jpg,https://ae04.alicdn.com/kf/Ha803ada0b60a4bdc8c27b6622d823699U.jpg,https://ae04.alicdn.com/kf/H2f1c82faac1a45b2823166892024c69fX.jpg,https://ae04.alicdn.com/kf/H8d51f735a31f4046993b6eaac5d8676dr.jpg,",https://www.aliexpress.com/item/1005001501044865.html,,12.88,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_AA4gSa
