Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tops & Tees,200000779,2021 new summer mens AMI fashion brand T-shirt 100% cotton 3D love letter a embroidery French trend elements Unisex Short sleeve,1005002040967836,https://ae01.alicdn.com/kf/H1d2a68c10db34249b6eff2ba9285f30d7/2021-new-summer-mens-AMI-fashion-brand-T-shirt-100-cotton-3D-love-letter-a-embroidery.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1d2a68c10db34249b6eff2ba9285f30d7.jpg,https://ae04.alicdn.com/kf/H568380dc640048618be7e4ffc7f47575k.jpg,https://ae04.alicdn.com/kf/H7da0edb06dd841f7b5e99fbe0e98556cN.jpg,https://ae04.alicdn.com/kf/H4aa7c7436957407299b97db92282cd25a.jpg,https://ae04.alicdn.com/kf/H4a6f7fed1962412a8b90202ed48a76afh.jpg,",https://www.aliexpress.com/item/1005002040967836.html,,25.00,10.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AColFg
Tops & Tees,200000779,100% Cotton Frog Mens Summer Fashion T Shirt Sad Toad Printed T-shirt Casual Short Sleeve O-Neck Tee Homme Tees,4001080772660,https://ae01.alicdn.com/kf/Hb26c82aebc39479286bb98a414a3f522w/100-Cotton-Frog-Mens-Summer-Fashion-T-Shirt-Sad-Toad-Printed-T-shirt-Casual-Short-Sleeve.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb26c82aebc39479286bb98a414a3f522w.jpg,https://ae04.alicdn.com/kf/H360e5d9df466448589c25964d62507100.jpg,https://ae04.alicdn.com/kf/H60e6bb45a4c6439eb4a85dd130673ae8e.jpg,https://ae04.alicdn.com/kf/Hab8e7ceb033143419eed642d5cb28de2q.jpg,",https://www.aliexpress.com/item/4001080772660.html,,4.28,9.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AgBUzg
Tops & Tees,200000779,2020 new multicolor brand high quality cotton men's t-shirt men's casual men's tops fitness jogging clothing men's t-shirts,1005001605281947,https://ae01.alicdn.com/kf/Hef70211d7c534945a0b5940256e10532E/2020-new-multicolor-brand-high-quality-cotton-men-s-t-shirt-men-s-casual-men-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hef70211d7c534945a0b5940256e10532E.jpg,https://ae04.alicdn.com/kf/H3b34e5673cf344e085750195cee9d66c0.jpg,https://ae04.alicdn.com/kf/H75bb89b1a1824d5ca0cebfc1bf4befa3o.jpg,https://ae04.alicdn.com/kf/Heb941b04717a4730be89f5f2d0b6b41c5.jpg,https://ae04.alicdn.com/kf/H41a167021ec6486ab04109bd99ce218cw.jpg,",https://www.aliexpress.com/item/1005001605281947.html,,8.89,9.00%,2098-12-31,31%,https://s.click.aliexpress.com/e/_9hxLOe
Tops & Tees,200000779,"2021T-shirtmen's setsDeat-shirt oversize Sommer Herrenmode Top aus reiner Baumwolle lässiges, kurzärmeliges, einfarbiges, neutra",1005002074654752,https://ae01.alicdn.com/kf/H3a94ea1b3d0747449a21aa812f83d000H/2021T-shirtmen-s-setsDeat-shirt-oversize-Sommer-Herrenmode-Top-aus-reiner-Baumwolle-lässiges-kurzärmeliges-einfarbiges-neutra.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a94ea1b3d0747449a21aa812f83d000H.jpg,https://ae04.alicdn.com/kf/He0bdbd5a4af347e5a4faf15301c28936X.jpg,https://ae04.alicdn.com/kf/H2c914400451b47fda389a9e973c7beafI.jpg,https://ae04.alicdn.com/kf/H2d28abe7e5e94c428eee3c6af4379e67D.jpg,https://ae04.alicdn.com/kf/Hb7d6839d00654ed181bc1d0be893dd94I.jpg,",https://www.aliexpress.com/item/1005002074654752.html,,8.78,9.00%,2098-12-31,12%,https://s.click.aliexpress.com/e/_A1uMsQ
Tops & Tees,200000779,2021футболкаnaruto power summer pure cotton casual fashion men'sаниме short-sleeved solid color unisex round neck hip-hop sports,1005002055057213,https://ae01.alicdn.com/kf/H9ebc1ac75d39471e928a1017f0a06162y/2021футболкаnaruto-power-summer-pure-cotton-casual-fashion-men-sаниме-short-sleeved-solid-color-unisex-round-neck.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9ebc1ac75d39471e928a1017f0a06162y.jpg,https://ae04.alicdn.com/kf/H33ed0f53b76f4b35a86b0b2846d84ef0h.jpg,https://ae04.alicdn.com/kf/Hd20864db2edc4d3c8e6019b47473fc8bU.jpg,https://ae04.alicdn.com/kf/H48d226da42054de785866c130b8d56a6P.jpg,https://ae04.alicdn.com/kf/H3572afd0cf1840e9917a8090067848df5.jpg,",https://www.aliexpress.com/item/1005002055057213.html,,8.92,10.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9JyILy
Tops & Tees,200000779,2021 new cottonoff white men'sфутболкаdeath note t-shirt short-sleeved men's t-shirt short-sleeved solid color men's t-shirtтетр,1005002054404541,https://ae01.alicdn.com/kf/Hd8ed946a81eb4a95a86a9806d1c95742K/2021-new-cottonoff-white-men-sфутболкаdeath-note-t-shirt-short-sleeved-men-s-t-shirt-short.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8ed946a81eb4a95a86a9806d1c95742K.jpg,https://ae04.alicdn.com/kf/Hde8f4efec97345cab98a8342928113cfH.jpg,https://ae04.alicdn.com/kf/H50fefc65a0fc4f46ac58bdbe8470e06eb.jpg,https://ae04.alicdn.com/kf/H2d33b61b564741cf8a2e4623f69b2553Y.jpg,https://ae04.alicdn.com/kf/H103960c7b76d4608bb635bf72cc71622N.jpg,",https://www.aliexpress.com/item/1005002054404541.html,,8.92,9.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_A5bm8I
Tops & Tees,200000779,2020 new brand clothing multicolor men's t-shirt fitness men's t-shirt fashion jogging t-shirt,1005001604975094,https://ae01.alicdn.com/kf/Haffefb6fa95e47d1b821920fa5b8b357r/2020-new-brand-clothing-multicolor-men-s-t-shirt-fitness-men-s-t-shirt-fashion-jogging.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haffefb6fa95e47d1b821920fa5b8b357r.jpg,https://ae04.alicdn.com/kf/H329ebc98ee0749bcbd0304626672bf9el.jpg,https://ae04.alicdn.com/kf/H3a1da1a6382a40b5921cb4031a360856d.jpg,https://ae04.alicdn.com/kf/Hadd84d437c794669bf6357e9092b5a13Q.jpg,https://ae04.alicdn.com/kf/Hcbe7c580d6db40768a5872cc158635a8o.jpg,",https://www.aliexpress.com/item/1005001604975094.html,,8.99,9.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_ALij2e
Tops & Tees,200000779,Top Harajuku  футболкаCrewmates' Last Supper Amoug us  Hop Streetwear  T-shirt Among usValentine Hat Love Candy Hear  Tees Male,1005002104465259,https://ae01.alicdn.com/kf/Ha91b274321fd48e1a6726d321eb0dd79b/Top-Harajuku-футболкаCrewmates-Last-Supper-Amoug-us-Hop-Streetwear-T-shirt-Among-usValentine-Hat-Love-Candy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha91b274321fd48e1a6726d321eb0dd79b.jpg,https://ae04.alicdn.com/kf/H2bd06f4c9b3c49e0a936ca33de1e18dfv.jpg,https://ae04.alicdn.com/kf/He5f0494b1c6748a79b299846f87e6214o.jpg,https://ae04.alicdn.com/kf/H1d679f3f83484c8ebb23eceaf83c9a67D.jpg,https://ae04.alicdn.com/kf/H1d33df97725a4b0d81b847bc2ea37c50D.jpg,",https://www.aliexpress.com/item/1005002104465259.html,,8.06,10.00%,2098-12-31,59%,https://s.click.aliexpress.com/e/_AY6aym
Tops & Tees,200000779,2020 latest summer sportswear men's sports suit fashion fitness casual men's suit men's quick-drying T-shirt shorts brand men's,1005001605515342,https://ae01.alicdn.com/kf/H09c75f5aa3ad43cf975c9ad30a93e8423/2020-latest-summer-sportswear-men-s-sports-suit-fashion-fitness-casual-men-s-suit-men-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H09c75f5aa3ad43cf975c9ad30a93e8423.jpg,https://ae04.alicdn.com/kf/H09c27667c3b24617ad2e2cedba624f49f.jpg,https://ae04.alicdn.com/kf/H3cd8b167b36e44ccbfb0008ee427dd63q.jpg,https://ae04.alicdn.com/kf/Hce86f2391dd8423b9b0019cb2d57319cu.jpg,https://ae04.alicdn.com/kf/H9f815a148f604b39b3419744210536d8s.jpg,",https://www.aliexpress.com/item/1005001605515342.html,,12.90,9.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9QAMRk
Tops & Tees,200000779,2020 latest men's vest pure cotton high quality vest bodybuilding fitness sleeveless vest fashion sports men's vest,1005001604610214,https://ae01.alicdn.com/kf/Hd94e44f7fa2c4a2fbe597dc4f48225f7U/2020-latest-men-s-vest-pure-cotton-high-quality-vest-bodybuilding-fitness-sleeveless-vest-fashion-sports.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd94e44f7fa2c4a2fbe597dc4f48225f7U.jpg,https://ae04.alicdn.com/kf/H4c80d92b4cd84e07aa821a01acfdefdc6.jpg,https://ae04.alicdn.com/kf/H4365e31895a04273a59329e453cc55d0l.jpg,https://ae04.alicdn.com/kf/Hbcbb1019bbcc4135b9ad0656f41aba88e.jpg,https://ae04.alicdn.com/kf/Hfcfc8799c7bb458cbbd1250a73d6a0c7n.jpg,",https://www.aliexpress.com/item/1005001604610214.html,,6.90,9.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_A6eDRu
