Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Mobile Phone Parts,201084002,For Samsung Galaxy J6 2018 J600 J600F J600Y LCD Display For SM-J600F J600G J600FN/D LCD Display Touch Screen Digitizer Assembly,4001029224215,https://ae01.alicdn.com/kf/H34325871a6fe464fab3702e4e4b4aaeaM/For-Samsung-Galaxy-J6-2018-J600-J600F-J600Y-LCD-Display-For-SM-J600F-J600G-J600FN-D.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H34325871a6fe464fab3702e4e4b4aaeaM.jpg,https://ae04.alicdn.com/kf/Hdcdd19ffc6eb4ab0a5193cfd4c25f3e1V.jpg,https://ae04.alicdn.com/kf/H2d1cea55774e429080ad6d8c177956b56.jpg,https://ae04.alicdn.com/kf/H229c3aed4887462fab0b9b55d337500e8.jpg,https://ae04.alicdn.com/kf/H3e3974b537f94a01a3bdd076c15837520.jpg,",https://www.aliexpress.com/item/4001029224215.html,31.80,19.08,6.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AtKBoO
Mobile Phone Parts,201084002,"100% tested 5.0"" LCD For SAMSUNG Galaxy S4 LCD Display with Frame i9500 i9505 i9506 Touch Screen Digitizer Assembly Replacement",4000191168287,https://ae01.alicdn.com/kf/H12d273a9ad2742b390691bef3c92f7fci/100-tested-5-0-LCD-For-SAMSUNG-Galaxy-S4-LCD-Display-with-Frame-i9500-i9505-i9506.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H12d273a9ad2742b390691bef3c92f7fci.jpg,https://ae04.alicdn.com/kf/He5585bc6a1504009bd9f778e08ed1a94n.jpg,https://ae04.alicdn.com/kf/H2b8788c8aa4c4228a5ac54682e5891f62.jpg,https://ae04.alicdn.com/kf/He3f53d7cb71749ed9379d220962de88b7.jpg,https://ae04.alicdn.com/kf/Hb539baba99564785ad6291304a60a6316.jpg,",https://www.aliexpress.com/item/4000191168287.html,39.80,23.88,6.50%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9fO13M
Mobile Phone Parts,201084002,Super AMOLED J250 LCD Display For Samsung Galaxy J2 2018 Pro J250 J250F J250H J250M LCD Display Touch Screen Digitizer Assembly,1005001714647346,https://ae01.alicdn.com/kf/He75195e9591542c69aa7cb01e3ac84b9o/Super-AMOLED-J250-LCD-Display-For-Samsung-Galaxy-J2-2018-Pro-J250-J250F-J250H-J250M-LCD.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He75195e9591542c69aa7cb01e3ac84b9o.jpg,https://ae04.alicdn.com/kf/Hc8785272b10440d78c14a35c40208ef5R.jpg,https://ae04.alicdn.com/kf/H193ec52dc5b544248f35b580d2c3b870p.jpg,https://ae04.alicdn.com/kf/H3a6f62fcccb1472181d94f4b860123e88.jpg,https://ae04.alicdn.com/kf/H4d2240da07aa41ea9096b5f50f80a05fZ.jpg,",https://www.aliexpress.com/item/1005001714647346.html,63.00,34.02,5.00%,2098-12-31,46%,https://s.click.aliexpress.com/e/_ApyTmw
Mobile Phone Parts,201084002,For Samsung Galaxy J5 2016J 510 SM-J510F J510FN J510M J510Y LCD Display Touch Screen Digitizer Assembly Brightness Adjustbale,4000239874515,https://ae01.alicdn.com/kf/Hd7d9d0927f964dfe816c35ac203fada16/For-Samsung-Galaxy-J5-2016J-510-SM-J510F-J510FN-J510M-J510Y-LCD-Display-Touch-Screen-Digitizer.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd7d9d0927f964dfe816c35ac203fada16.jpg,https://ae04.alicdn.com/kf/H4b8e8448601c418287a8f40484b1e454x.jpg,https://ae04.alicdn.com/kf/Hb4ff5c6e343a47538d5a282b74a22257r.jpg,https://ae04.alicdn.com/kf/H3c63f0518f57454892ac6d76e8ccc26ar.jpg,",https://www.aliexpress.com/item/4000239874515.html,24.34,19.47,6.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_9AiTHC
Mobile Phone Parts,201084002,Original Super AMOLED S8 LCD For Samsung Galaxy S8 G950 G950F Display S8+ S8 Plus G955 G955FD Touch Screen Digitizer+Dead pixels,1005001691290835,https://ae01.alicdn.com/kf/H8ebce54f20734e03bf75be2c62ad0786P/Original-Super-AMOLED-S8-LCD-For-Samsung-Galaxy-S8-G950-G950F-Display-S8-S8-Plus-G955.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ebce54f20734e03bf75be2c62ad0786P.jpg,https://ae04.alicdn.com/kf/Hca6ca4fd98584d83be42ce2c10ca3d09u.jpg,https://ae04.alicdn.com/kf/H3036642504f54b809c30dec1f49dea72m.jpg,https://ae04.alicdn.com/kf/H9999fb3d775e4f529a2ad11ed31feaa9T.jpg,https://ae04.alicdn.com/kf/Hebe09eead35e430f840509110f97591ba.jpg,",https://www.aliexpress.com/item/1005001691290835.html,177.80,90.68,5.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AdB5Si
Mobile Phone Parts,201084002,Original 6.1'' AMOLED Display For Samsung Galaxy S10 G973F/DS G973U G973 SM-G973 LCD Display Touch Screen Digitizer + Dead pixel,4001217610459,https://ae01.alicdn.com/kf/H50acb65f31c34f50b7a65d6d5a14370c2/Original-6-1-AMOLED-Display-For-Samsung-Galaxy-S10-G973F-DS-G973U-G973-SM-G973-LCD.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H50acb65f31c34f50b7a65d6d5a14370c2.jpg,https://ae04.alicdn.com/kf/H6c2d93aebb6049769701abb765cf4a30G.jpg,https://ae04.alicdn.com/kf/H36d4ae1ec6d14c5fa16c0433f19f947cO.jpg,https://ae04.alicdn.com/kf/H1b37b461ebef4890a5f712b384d29cf6H.jpg,https://ae04.alicdn.com/kf/H78eb12db5eec4d239f21d8e10dd0fecdR.jpg,",https://www.aliexpress.com/item/4001217610459.html,187.90,144.68,6.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_AoWY42
Mobile Phone Parts,201084002,Super AMOLED LCD Display For Samsung Galaxy J5 2016 J510 J510FN J510F J510G J510M LCD Display Touch Screen Digitizer Assembly,1005001715893742,https://ae01.alicdn.com/kf/H2a7f3d04d91e42ffa752df62e221dbe9V/Super-AMOLED-LCD-Display-For-Samsung-Galaxy-J5-2016-J510-J510FN-J510F-J510G-J510M-LCD-Display.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2a7f3d04d91e42ffa752df62e221dbe9V.jpg,https://ae04.alicdn.com/kf/Hfbc844f6cf3f4538a770edad9d7a4616R.jpg,https://ae04.alicdn.com/kf/H4c9f1e622bef42b6874cb3efcc6a4943Y.jpg,https://ae04.alicdn.com/kf/H4cb5751901f9459a888e83f75d13b81ci.jpg,https://ae04.alicdn.com/kf/H1d8d7df083864842b51c9de3cde615f8x.jpg,",https://www.aliexpress.com/item/1005001715893742.html,59.00,33.63,5.00%,2098-12-31,43%,https://s.click.aliexpress.com/e/_A76QVk
Mobile Phone Parts,201084002,Super AMOLED Display For Samsung Galaxy A8 Plus 2018 A730 SM-A730F LCD Display Touch Screen Digitizer Assembly For A8+ A730F/DS,1005001719909912,https://ae01.alicdn.com/kf/H45f2be8023844cc19b4e686e18299b3f1/Super-AMOLED-Display-For-Samsung-Galaxy-A8-Plus-2018-A730-SM-A730F-LCD-Display-Touch-Screen.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H45f2be8023844cc19b4e686e18299b3f1.jpg,https://ae04.alicdn.com/kf/H23a097c1de2542f59e786260d9e42cf1K.jpg,https://ae04.alicdn.com/kf/Hb257a3a8709646a286fae5a62000b649N.jpg,https://ae04.alicdn.com/kf/H89a211462ddd4f58bece57b94bb9167fh.jpg,https://ae04.alicdn.com/kf/H0aa9d49dc0c744dfbdf09048c64e5b7az.jpg,",https://www.aliexpress.com/item/1005001719909912.html,87.60,43.80,5.00%,2098-12-31,50%,https://s.click.aliexpress.com/e/_AbfKYE
Mobile Phone Parts,201084002,100%Tested LCD For Samsung Galaxy J1 2016 J120 J120F J120H J120M LCD Display Touch Screen Digitizer Assembly + adjust brightness,4000301539434,https://ae01.alicdn.com/kf/H928448ad7acf4302ba01c7a9806fc9f6H/100-Tested-LCD-For-Samsung-Galaxy-J1-2016-J120-J120F-J120H-J120M-LCD-Display-Touch-Screen.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H928448ad7acf4302ba01c7a9806fc9f6H.jpg,https://ae04.alicdn.com/kf/H918ca01c11154c35b2552f5bce00846fc.jpg,https://ae04.alicdn.com/kf/H70a8c3a5cf09404fa6092c85b735d827C.jpg,https://ae04.alicdn.com/kf/H288515e2798547a0954a07090bab2028X.jpg,https://ae04.alicdn.com/kf/Ha242e80d2bb24b798f2a2b6677c22440w.jpg,",https://www.aliexpress.com/item/4000301539434.html,21.67,16.90,6.00%,2098-12-31,22%,https://s.click.aliexpress.com/e/_AOjgvc
Mobile Phone Parts,201084002,Original AMOLED LCD With frame For SAMSUNG Galaxy S10 Plus G975 G9750 G975F Display Touch Screen Digitizer Assembly+small point,1005002065150161,https://ae01.alicdn.com/kf/H81e3f926a71a4075876774dd1c4b93a3U/Original-AMOLED-LCD-With-frame-For-SAMSUNG-Galaxy-S10-Plus-G975-G9750-G975F-Display-Touch-Screen.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H81e3f926a71a4075876774dd1c4b93a3U.jpg,https://ae04.alicdn.com/kf/Hab84312ee0944a729897df94af094269i.jpg,https://ae04.alicdn.com/kf/Hf1edd7393be6455582afdca034caa894M.jpg,https://ae04.alicdn.com/kf/H0c922fc8d3fd438da052158bf624e528v.jpg,https://ae04.alicdn.com/kf/Hae2cc30aaa164deaa751cc7419e381d1E.jpg,",https://www.aliexpress.com/item/1005002065150161.html,265.00,159.00,5.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_9xZh1o
