Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Mobile Phones,5090301,"Authentic Original New Apple iPhone 12 Pro Max 5G 6.7"" XDR Display 12MP Triple Camera Face ID IOS 14 Smartphone",1005002110692927,https://ae01.alicdn.com/kf/Hee0f1844b32d406d879c6746b78eb0acJ/Authentic-Original-New-Apple-iPhone-12-Pro-Max-5G-6-7-XDR-Display-12MP-Triple-Camera.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hee0f1844b32d406d879c6746b78eb0acJ.jpg,https://ae04.alicdn.com/kf/Hd72e25794d4744e39d630b6424edf9edt.jpg,https://ae04.alicdn.com/kf/Hcd503ac5ba06463098bf08208dc74dbbt.jpg,https://ae04.alicdn.com/kf/H10946a08a74d4e56b2229aec072532b4s.jpg,https://ae04.alicdn.com/kf/Hf49398a624364ac082a0024ecd2a79e9B.jpg,",https://www.aliexpress.com/item/1005002110692927.html,"2,345.00","1,805.65",4.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_A58lIi
Mobile Phones,5090301,S21 Ultra Global Version smartphone 6.8 HD Inch Full Screen 2GB 32GB Dual SIM Smart Phone 4800mAh Andriod Mobile Phone,1005002147606765,https://ae01.alicdn.com/kf/H8cd900258de74c3a9c95de4819aa588by/S21-Ultra-Global-Version-smartphone-6-8-HD-Inch-Full-Screen-2GB-32GB-Dual-SIM-Smart.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8cd900258de74c3a9c95de4819aa588by.jpg,https://ae04.alicdn.com/kf/Hc01d5b1631e34f648c7c76fa2d46199cx.jpg,https://ae04.alicdn.com/kf/Hc40bc5cd7d3344ecb9bf38b3f35a0e23b.jpg,https://ae04.alicdn.com/kf/Hc4defc9665c2421bbcbd047bdd42a154H.jpg,https://ae04.alicdn.com/kf/H6e085e906699442890896721d36b9a4c3.jpg,",https://www.aliexpress.com/item/1005002147606765.html,180.34,117.22,6.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9uXHVu
Mobile Phones,5090301,"Authentic Original New Apple iPhone 12 Pro 5G 6.1"" XDR Display 12MP Triple Camera Face ID IOS 14 Smartphone",1005002110830376,https://ae01.alicdn.com/kf/H2f3fabad07374235890b682667de538e6/Authentic-Original-New-Apple-iPhone-12-Pro-5G-6-1-XDR-Display-12MP-Triple-Camera-Face.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2f3fabad07374235890b682667de538e6.jpg,https://ae04.alicdn.com/kf/H26759ab186334fa0b712e2077d65790ff.jpg,https://ae04.alicdn.com/kf/H9530dfcafcc3471eb44b4058d1940bcaA.jpg,https://ae04.alicdn.com/kf/Hc47894294d5a48e3ad2ea0376ee17bf68.jpg,https://ae04.alicdn.com/kf/He3d166f981614d6a8ec294dcc3e0fe38f.jpg,",https://www.aliexpress.com/item/1005002110830376.html,"2,132.00","1,641.64",4.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_ACBVKS
Mobile Phones,5090301,"Authentic Original Brand New iPhone 12/12 Mini 5G 6.7/5.4"" XDR Display 12MP Dual Camera A14 Bionic IOS 14 Smartphone Bluetooth",1005001676669314,https://ae01.alicdn.com/kf/H798ce02999824b72b3094c8f533ed394X/Authentic-Original-Brand-New-iPhone-12-12-Mini-5G-6-7-5-4-XDR-Display-12MP.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H798ce02999824b72b3094c8f533ed394X.jpeg,https://ae04.alicdn.com/kf/H97c0a40b4aa947208520878afba431d2u.jpg,https://ae04.alicdn.com/kf/H60d8a3e6e84b45baa4269c6eec3490fcN.jpg,https://ae04.alicdn.com/kf/H3aac73e1e0a242d9a401bc2546b5f42dA.jpg,https://ae04.alicdn.com/kf/H450c55b505054bec9c60406922f9fa376.jpg,",https://www.aliexpress.com/item/1005001676669314.html,"1,349.00",,4.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_ATFx7M
Mobile Phones,5090301,"Authentic Original New Samsung Galaxy S21 Ultra 5G 6.8"" 120MHz Display 108MP Camera S Pen Android Smart Phone",1005002126291842,https://ae01.alicdn.com/kf/H984799ccde3f43429c998c826f695cb6a/Authentic-Original-New-Samsung-Galaxy-S21-Ultra-5G-6-8-120MHz-Display-108MP-Camera-S-Pen.png_220x220.png,"https://ae04.alicdn.com/kf/H984799ccde3f43429c998c826f695cb6a.png,https://ae04.alicdn.com/kf/H0df7d53747bf494b8a73af448d840e5aa.png,",https://www.aliexpress.com/item/1005002126291842.html,"1,499.00",,4.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_97BH3U
Mobile Phones,5090301,Ulefone Note 7 Mobile Phone Android 9.0  3500mAh 19.2:9 Quad Core 6.1inch Waterdrop Screen 16GB ROM Dual SIM WCDMA Smartphone,4000318188103,https://ae01.alicdn.com/kf/H4524d317ada94e729db4ff040faf09f4R/Ulefone-Note-7-Mobile-Phone-Android-9-0-3500mAh-19-2-9-Quad-Core-6-1inch.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4524d317ada94e729db4ff040faf09f4R.jpg,https://ae04.alicdn.com/kf/Had5042db858b4340ac5a5834024137670.jpg,https://ae04.alicdn.com/kf/H7d3751272b9341c596b7cf179e8deaeey.jpg,https://ae04.alicdn.com/kf/H9b810f659a4e40e18b025a6e21bb8f8aF.jpg,https://ae04.alicdn.com/kf/H0390111ea2474e51a1fe1a4f9da74c9cP.jpg,",https://www.aliexpress.com/item/4000318188103.html,138.99,83.39,4.50%,2098-12-31,40%,https://s.click.aliexpress.com/e/_A5YgSQ
Mobile Phones,5090301,OUKITEL WP7 Rugged 8000mAh 6.53'' Infrared Night Vision 48MP Triple Cameras 8GB 128GB Octa Core NFC Module UVC Rugged Smartphone,4001174547417,https://ae01.alicdn.com/kf/H2f3ada5b78234cedae71e7baee0ddbaff/OUKITEL-WP7-Rugged-8000mAh-6-53-Infrared-Night-Vision-48MP-Triple-Cameras-8GB-128GB-Octa-Core.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2f3ada5b78234cedae71e7baee0ddbaff.jpg,https://ae04.alicdn.com/kf/Hc3e615e28c9e4f7d8adbde58502e3b6eV.jpg,https://ae04.alicdn.com/kf/H70f5e99ec3404eddba5b84bb87c7b4541.jpg,https://ae04.alicdn.com/kf/H43a2a5a2a5bd4e7cb6793919e50dddbca.jpg,https://ae04.alicdn.com/kf/H91fa577778ab43e185834e8dec857d8cP.jpg,",https://www.aliexpress.com/item/4001174547417.html,381.81,305.45,5.00%,2098-12-31,20%,https://s.click.aliexpress.com/e/_AmwX3U
Mobile Phones,5090301,Ulefone Armor X7 5.0 Inch Mobile Phone Android10 IP68 Rugged Waterproof Smartphone 2GB 16GB CellPhone Quad Core NFC 4000mAh GPS,4000987325605,https://ae01.alicdn.com/kf/He74ab63c366e4ed5ab5882a3da5d9d21t/Ulefone-Armor-X7-5-0-Inch-Mobile-Phone-Android10-IP68-Rugged-Waterproof-Smartphone-2GB-16GB-CellPhone.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He74ab63c366e4ed5ab5882a3da5d9d21t.jpg,https://ae04.alicdn.com/kf/Hfcf62b5a44c64e8eb1e0e345985b55949.jpg,https://ae04.alicdn.com/kf/H743bc1f5fe5547c497a971b0cfdb55659.jpg,https://ae04.alicdn.com/kf/H1bc4384423ba4d0c91af9b59eead5c9aa.jpg,https://ae04.alicdn.com/kf/H8a5ed04e35e0421ab1fb66caa80691106.jpg,",https://www.aliexpress.com/item/4000987325605.html,127.99,87.03,4.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_ACFaAq
Mobile Phones,5090301,"DOOGEE X95 Mobile phone 6.52"" Display Android 10 4G LTE 13MP Triple Camera 19:9 Ratio 2GB RAM 16GB ROM MTK6737 4350mAh Cellphone",4000894205596,https://ae01.alicdn.com/kf/H70e69fc7655e4d56b1ff1861bbf71a6eh/DOOGEE-X95-Mobile-phone-6-52-Display-Android-10-4G-LTE-13MP-Triple-Camera-19-9.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H70e69fc7655e4d56b1ff1861bbf71a6eh.jpg,https://ae04.alicdn.com/kf/H9e179f562c2946d98d1b39d7fba5f9332.jpg,https://ae04.alicdn.com/kf/H14bd890d6bc1481b976fd645095da700C.jpg,https://ae04.alicdn.com/kf/H0c7b9c9470bd442293ef1afa1e6c5a3an.jpg,https://ae04.alicdn.com/kf/H23d6d69c9db14cada5a8306b7f1f4366R.jpg,",https://www.aliexpress.com/item/4000894205596.html,136.99,93.15,4.50%,2098-12-31,32%,https://s.click.aliexpress.com/e/_ATnsRo
Mobile Phones,5090301,Ulefone Armor X6 IP68/IP69K Waterproof Rugged Phone 4000mAh Quad core 8MP Android 9.0 Face ID Unlock 2GB 16GB 3G Global Version,4000493606388,https://ae01.alicdn.com/kf/H68518e2d43744e9a8550472ded54b795w/Ulefone-Armor-X6-IP68-IP69K-Waterproof-Rugged-Phone-4000mAh-Quad-core-8MP-Android-9-0-Face.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H68518e2d43744e9a8550472ded54b795w.jpg,https://ae04.alicdn.com/kf/H5e6f6741332448a69579dcc623cc1fd61.jpg,https://ae04.alicdn.com/kf/H18ea90a0011846618f8b07c653de6853F.jpg,https://ae04.alicdn.com/kf/Hf1ad44569c874ce9a37a2a34d9cf17b5E.jpg,https://ae04.alicdn.com/kf/H9fb65f4956394773a44c39e8f440702dz.jpg,",https://www.aliexpress.com/item/4000493606388.html,138.99,90.34,5.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_9hIpa6
