Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Nail Art & Tools,200001147,XZM 168W High Power UV LED Nail Lamp Lampara Gels Unhas Lampe Ongle 42 leds Nail Dryer Fast Curing Speed nails tools Gel Light,1005002008028721,https://ae01.alicdn.com/kf/H656687f9f91a4e26a4774fe4372b944bc/XZM-168W-High-Power-UV-LED-Nail-Lamp-Lampara-Gels-Unhas-Lampe-Ongle-42-leds-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H656687f9f91a4e26a4774fe4372b944bc.jpg,https://ae04.alicdn.com/kf/H51cd5e9bc8254d28bef8e2653e70cb2fZ.jpg,https://ae04.alicdn.com/kf/H453f5053191c454e9796feebb7330decn.jpg,https://ae04.alicdn.com/kf/Hb1c43eb2bb114ec78162cac473687a17Q.jpg,https://ae04.alicdn.com/kf/H063ceeb0180d4d50b394e9ba0bab1869W.jpg,",https://www.aliexpress.com/item/1005002008028721.html,45.00,22.95,8.00%,2098-12-31,49%,https://s.click.aliexpress.com/e/_AKhldg
Nail Art & Tools,200001147,10Pcs 3D Alloy Manicure Glitters Rhinestone DIY Decorations Nail Art Tips Stickers,1005001570320472,https://ae01.alicdn.com/kf/H7f232b1d90424481a17704e9734737fc8/10Pcs-3D-Alloy-Manicure-Glitters-Rhinestone-DIY-Decorations-Nail-Art-Tips-Stickers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7f232b1d90424481a17704e9734737fc8.jpg,https://ae04.alicdn.com/kf/H845bd3524c09417d99c2e71f02d3e3172.jpg,https://ae04.alicdn.com/kf/H6e7f4a082f8e49459c5640010b6c410dY.jpg,https://ae04.alicdn.com/kf/H90d1cf9113634422a0f84a02a63948ecV.jpg,https://ae04.alicdn.com/kf/Ha805b41fe3fb426389a57bf6b357e461z.jpg,",https://www.aliexpress.com/item/1005001570320472.html,0.77,0.59,9.00%,2098-12-31,23%,https://s.click.aliexpress.com/e/_AY4smm
Nail Art & Tools,200001147,3 Styles 3Tiers Metal Nail Polish Shelf Cosmetic Varnish Display Stand Holder Heart Design Women Makeup Wall Rack Organizer Case,1005001961317002,https://ae01.alicdn.com/kf/Hf2ab986a28d844d196f89cd6d8be3cab7/3-Styles-3Tiers-Metal-Nail-Polish-Shelf-Cosmetic-Varnish-Display-Stand-Holder-Heart-Design-Women-Makeup.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf2ab986a28d844d196f89cd6d8be3cab7.jpg,https://ae04.alicdn.com/kf/H7643d5abe7044d00b891d2d1435a89f3o.jpg,https://ae04.alicdn.com/kf/H7f418aa068af4a3b8611b339de4f48509.jpg,https://ae04.alicdn.com/kf/Ha03df643b7324501b5ab6a4226c048cf3.jpg,https://ae04.alicdn.com/kf/H2808da65c6f144dda1be579d5c7159abU.jpg,",https://www.aliexpress.com/item/1005001961317002.html,4.68,3.28,20.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A1ShYQ
Nail Art & Tools,200001147,Lemon Banana Nail Tiny Fruit slices Sequins for Nails DIY Design Acrylic Beauty Polymer Clay Nail Art Accessories WDF0019,1005002088926335,https://ae01.alicdn.com/kf/H7df3b381269a432991307eecf905b063P/Lemon-Banana-Nail-Tiny-Fruit-slices-Sequins-for-Nails-DIY-Design-Acrylic-Beauty-Polymer-Clay-Nail.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7df3b381269a432991307eecf905b063P.jpg,https://ae04.alicdn.com/kf/H6d4133430e4340f3b7bbccc949d9565a8.jpg,https://ae04.alicdn.com/kf/H54d2ffe78f01489287527c7161ee8715z.jpg,https://ae04.alicdn.com/kf/H99fcc3541902416e8026f01d6d818e8aT.jpg,https://ae04.alicdn.com/kf/H97cc5bc5bb0740f28e54273bfaca3cb5l.jpg,",https://www.aliexpress.com/item/1005002088926335.html,1.00,0.70,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AfdyhM
Nail Art & Tools,200001147,1pcs hot stamping 3D nail applique butterfly sticker nail art decal nail art decoration,1005002118658139,https://ae01.alicdn.com/kf/H0d5ffaad734c48be955ad58524394e97y/1pcs-hot-stamping-3D-nail-applique-butterfly-sticker-nail-art-decal-nail-art-decoration.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0d5ffaad734c48be955ad58524394e97y.jpg,https://ae04.alicdn.com/kf/H15eee7f422ad47a79158dfccc3d1e8bd8.jpg,https://ae04.alicdn.com/kf/H1bc5b2355b45401580a5a2c0bffff97fL.jpg,https://ae04.alicdn.com/kf/H79f407c1ce9f45deaef82019cb0ce6506.jpg,https://ae04.alicdn.com/kf/Hc8d2a460e06e4bb185b0f852c30e6b6bK.jpg,",https://www.aliexpress.com/item/1005002118658139.html,2.20,1.32,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AdiNvg
Nail Art & Tools,200001147,100pcs/500pcs Butterfly Nail Art Forms Nail Supplies Tools DIY Tips Manicure Kits Nail Art Tip Extension Nail Forms,1005001840941695,https://ae01.alicdn.com/kf/H63602dd7e8af410e9031e345c40584d2K/100pcs-500pcs-Butterfly-Nail-Art-Forms-Nail-Supplies-Tools-DIY-Tips-Manicure-Kits-Nail-Art-Tip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H63602dd7e8af410e9031e345c40584d2K.jpg,https://ae04.alicdn.com/kf/H6cf46f7ed416449e9d10bb26e9e3e828X.jpg,https://ae04.alicdn.com/kf/H3a7e8a7ae3d24efc9ab72dc8e531d0c9b.jpg,https://ae04.alicdn.com/kf/H2db8b869314a44d8bf1574d6d9a962b7B.jpg,https://ae04.alicdn.com/kf/H37ef99ddd40946b8860b030fb1347081Q.jpg,",https://www.aliexpress.com/item/1005001840941695.html,4.31,3.02,20.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_A0IGk6
Nail Art & Tools,200001147,3D 24pc Nail Sticker Gel Flower Butterfly Decals Sticker Lots Nail Art Tattoo DIY Manicure Decorations Accessories WDF0018,1005002075221859,https://ae01.alicdn.com/kf/H25e957530d6b48c190f907f283b39412y/3D-24pc-Nail-Sticker-Gel-Flower-Butterfly-Decals-Sticker-Lots-Nail-Art-Tattoo-DIY-Manicure-Decorations.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H25e957530d6b48c190f907f283b39412y.jpg,https://ae04.alicdn.com/kf/He16d3bdfcfc14a39a08dc2edf7120803I.jpg,https://ae04.alicdn.com/kf/H4b78c86c892f46508acca969c0cdfbf2U.jpg,https://ae04.alicdn.com/kf/Hd6c06f8e50114f569b65c6edcea7aeb8s.jpg,https://ae04.alicdn.com/kf/H7be2b9fd7c3a4eb9ab1527c8deb96e3bf.jpg,",https://www.aliexpress.com/item/1005002075221859.html,2.90,2.03,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9gFZ6K
Nail Art & Tools,200001147,24/Set 3D Nail Sticker Gel Flower Butterfly Decals Sticker Lots Nail Art Tattoo DIY Full Slider Manicure Decorations WDF0018,1005002075202122,https://ae01.alicdn.com/kf/He16d3bdfcfc14a39a08dc2edf7120803I/24-Set-3D-Nail-Sticker-Gel-Flower-Butterfly-Decals-Sticker-Lots-Nail-Art-Tattoo-DIY-Full.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He16d3bdfcfc14a39a08dc2edf7120803I.jpg,https://ae04.alicdn.com/kf/H4b78c86c892f46508acca969c0cdfbf2U.jpg,https://ae04.alicdn.com/kf/H25e957530d6b48c190f907f283b39412y.jpg,https://ae04.alicdn.com/kf/Hd6c06f8e50114f569b65c6edcea7aeb8s.jpg,https://ae04.alicdn.com/kf/H7be2b9fd7c3a4eb9ab1527c8deb96e3bf.jpg,",https://www.aliexpress.com/item/1005002075202122.html,2.90,2.03,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_9z8GiI
Nail Art & Tools,200001147,500PC Waterdrop Shape Clear Natural False Nails Tips Lavish Long  Stiletto Nail Tips For Acrylic Nails Art Accessories WDF0021,1005002079316948,https://ae01.alicdn.com/kf/He28e9eec19de40afa448b93e6c5d964aM/500PC-Waterdrop-Shape-Clear-Natural-False-Nails-Tips-Lavish-Long-Stiletto-Nail-Tips-For-Acrylic-Nails.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He28e9eec19de40afa448b93e6c5d964aM.jpg,https://ae04.alicdn.com/kf/H8596e64dff62429bb0e83c40afed27a6e.jpg,https://ae04.alicdn.com/kf/H70767bfd39ab4bafb7178aa836299d62a.jpg,https://ae04.alicdn.com/kf/H8f21910d966543d8b5e9f8d8a282b9dd7.jpg,https://ae04.alicdn.com/kf/H750f3069aeb94805b57c72010fea0ae6I.jpg,",https://www.aliexpress.com/item/1005002079316948.html,2.50,1.75,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AlnRx4
Nail Art & Tools,200001147,Waterdrop Shape Clear Natural False Nails Tips 500PCS Lavish Long Clear Stiletto Nail Tips For Acrylic Nails Art WDF0021,1005002079497382,https://ae01.alicdn.com/kf/H8596e64dff62429bb0e83c40afed27a6e/Waterdrop-Shape-Clear-Natural-False-Nails-Tips-500PCS-Lavish-Long-Clear-Stiletto-Nail-Tips-For-Acrylic.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8596e64dff62429bb0e83c40afed27a6e.jpg,https://ae04.alicdn.com/kf/H70767bfd39ab4bafb7178aa836299d62a.jpg,https://ae04.alicdn.com/kf/H8f21910d966543d8b5e9f8d8a282b9dd7.jpg,https://ae04.alicdn.com/kf/H750f3069aeb94805b57c72010fea0ae6I.jpg,https://ae04.alicdn.com/kf/He28e9eec19de40afa448b93e6c5d964aM.jpg,",https://www.aliexpress.com/item/1005002079497382.html,2.50,1.75,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_AtL2FC
