Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Walkie Talkie Parts & Accessories,200380144,40cm NA-771 SMA-Female Walkie Talkie Antenna Dual Band Handheld 10W Antenna RadioTK-2107 For Kenwood TK-378 K4O2,1005002037892734,https://ae01.alicdn.com/kf/H100db72c2d3d44fda309dd5d7306ea32p/40cm-NA-771-SMA-Female-Walkie-Talkie-Antenna-Dual-Band-Handheld-10W-Antenna-RadioTK-2107-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H100db72c2d3d44fda309dd5d7306ea32p.jpg,https://ae04.alicdn.com/kf/H2df2d42489734c1aa8e81204870fd424Y.jpg,https://ae04.alicdn.com/kf/H7b18f90ad642409d94602510afbc12c5v.jpg,https://ae04.alicdn.com/kf/Ha4280ce011104b2595cbfa5608875b2cd.jpg,https://ae04.alicdn.com/kf/Hef3c07fde04c41fba3c00de04dc33cc6s.jpg,",https://www.aliexpress.com/item/1005002037892734.html,1.73,1.14,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_9iTc0i
Walkie Talkie Parts & Accessories,200380144,2Pin Mic Earpiece Walkie Talkie Headset For HYT-Baofeng UV-5R BF-888S pinganillo Walkie Talkie Earphone hyt гарнитура для рации,4000435207516,https://ae01.alicdn.com/kf/Hfb06f820ce074f3f84b5c78cb5128e83c/2Pin-Mic-Earpiece-Walkie-Talkie-Headset-For-HYT-Baofeng-UV-5R-BF-888S-pinganillo-Walkie-Talkie.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hfb06f820ce074f3f84b5c78cb5128e83c.jpg,https://ae04.alicdn.com/kf/H1c04598560b843bebd70402785cc0e7aX.jpg,https://ae04.alicdn.com/kf/He1b7aff5b89b48a098027ace4678ecfeM.jpg,https://ae04.alicdn.com/kf/He5ddd92146644ad78091705d1afe93fbb.jpg,https://ae04.alicdn.com/kf/H6324e4699eb940549b373b9f2725b410z.jpg,",https://www.aliexpress.com/item/4000435207516.html,1.53,1.04,8.00%,2098-12-31,32%,https://s.click.aliexpress.com/e/_AMOYNG
Walkie Talkie Parts & Accessories,200380144,USB Programming Cable for Baofeng Waterproof Two Way Radio UV-XR UV-9R Plus UV-9R Mate A-58 BF-9700 Walkie Talkie,1005002028295705,https://ae01.alicdn.com/kf/H5a0535583091400192f249c4190bce8aG/USB-Programming-Cable-for-Baofeng-Waterproof-Two-Way-Radio-UV-XR-UV-9R-Plus-UV-9R.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5a0535583091400192f249c4190bce8aG.jpg,https://ae04.alicdn.com/kf/Hc367394fd5754cfea6a38099e1c5a2fdh.jpg,https://ae04.alicdn.com/kf/H13a851db0e464fe994c5e2e7c320f64ek.jpg,https://ae04.alicdn.com/kf/Hb1640a2a137b4eab91ebb648ea0de3fa0.jpg,https://ae04.alicdn.com/kf/Heb4bbf227311434cb4086f791dfe5483a.jpg,",https://www.aliexpress.com/item/1005002028295705.html,3.49,2.30,8.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_97hNxU
Walkie Talkie Parts & Accessories,200380144,2020 Baofeng UV-9R Plus Waterproof IP57 Walkie Talkie High Power CB Ham 1-15 km Long Range UV9R-ERA portable Two Way Radio,1005001530136821,https://ae01.alicdn.com/kf/H3569c36112804ab38dcb1f0686ec00e2u/2020-Baofeng-UV-9R-Plus-Waterproof-IP57-Walkie-Talkie-High-Power-CB-Ham-1-15-km.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3569c36112804ab38dcb1f0686ec00e2u.jpg,https://ae04.alicdn.com/kf/H2b2aa2a187be4b5da75e83afc7585c31o.jpg,https://ae04.alicdn.com/kf/H253e9fe761fa4aed8414cfa08c3a0189R.jpg,https://ae04.alicdn.com/kf/H5a80822a933a4f1589d36f60e10685e2e.jpg,https://ae04.alicdn.com/kf/Hb255eaaa462a47219ac5de103127fa681.jpg,",https://www.aliexpress.com/item/1005001530136821.html,69.65,41.09,8.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_ACFIgE
Walkie Talkie Parts & Accessories,200380144,"Baofeng 2-pin USB programming cable for CB radio walkie-talkie, for UV-5R BF-888S Kenwood walkie-talkie accessory cable",1005001864228264,https://ae01.alicdn.com/kf/H18eea069e92c419785e204f489b8b09bQ/Baofeng-2-pin-USB-programming-cable-for-CB-radio-walkie-talkie-for-UV-5R-BF-888S.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H18eea069e92c419785e204f489b8b09bQ.jpg,https://ae04.alicdn.com/kf/H715c0748d0624d1caa0e879172870ce81.jpg,https://ae04.alicdn.com/kf/H20d69a56d1b443588a0428d37daf48bca.jpg,https://ae04.alicdn.com/kf/H8c7ee2ef20184e80b93be93316bc0a5eP.jpg,https://ae04.alicdn.com/kf/H3c81faebe7d44340a7db28242bbc6b62z.jpg,",https://www.aliexpress.com/item/1005001864228264.html,7.99,5.99,4.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_ATonbc
Walkie Talkie Parts & Accessories,200380144,2020 Baofeng UV-9R Plus Waterproof IP57 Walkie Talkie High Power CB Ham 1-15 km Long Range UV9R-ERA portable Two Way Radio,1005002120404388,https://ae01.alicdn.com/kf/H3569c36112804ab38dcb1f0686ec00e2u/2020-Baofeng-UV-9R-Plus-Waterproof-IP57-Walkie-Talkie-High-Power-CB-Ham-1-15-km.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3569c36112804ab38dcb1f0686ec00e2u.jpg,https://ae04.alicdn.com/kf/H2b2aa2a187be4b5da75e83afc7585c31o.jpg,https://ae04.alicdn.com/kf/H253e9fe761fa4aed8414cfa08c3a0189R.jpg,https://ae04.alicdn.com/kf/H5a80822a933a4f1589d36f60e10685e2e.jpg,https://ae04.alicdn.com/kf/Hb255eaaa462a47219ac5de103127fa681.jpg,",https://www.aliexpress.com/item/1005002120404388.html,70.32,39.38,10.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_AZRjW2
Walkie Talkie Parts & Accessories,200380144,Baofeng UV5R Plus BF-888S Ear Hook Walkie Talkie Headset 2 PIN Headset Headset PTT with Microphone Walkie Talkie Portable Mini,1005001864443388,https://ae01.alicdn.com/kf/Hc31f4d72a6e74511ab826f3130a7ec60f/Baofeng-UV5R-Plus-BF-888S-Ear-Hook-Walkie-Talkie-Headset-2-PIN-Headset-Headset-PTT-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc31f4d72a6e74511ab826f3130a7ec60f.jpg,https://ae04.alicdn.com/kf/HTB1aVPDPFXXXXbXXFXXq6xXFXXXz.jpg,https://ae04.alicdn.com/kf/HTB1mhb1PFXXXXX5XXXXq6xXFXXXX.jpg,https://ae04.alicdn.com/kf/HTB1hLYBPFXXXXbMXFXXq6xXFXXX9.jpg,https://ae04.alicdn.com/kf/HTB19KPYPFXXXXa9XXXXq6xXFXXXN.jpg,",https://www.aliexpress.com/item/1005001864443388.html,1.38,1.04,4.00%,2098-12-31,25%,https://s.click.aliexpress.com/e/_AaenZo
Walkie Talkie Parts & Accessories,200380144,3.5mm Audio Jack Speaker PTT Mic For Yaesu MH-34B4B VX-3R FT-60R FT1DR FT2DR,1005002101730445,https://ae01.alicdn.com/kf/H11f483c2f34542328db82bfe739ce8eaI/3-5mm-Audio-Jack-Speaker-PTT-Mic-For-Yaesu-MH-34B4B-VX-3R-FT-60R-FT1DR.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H11f483c2f34542328db82bfe739ce8eaI.jpg,https://ae04.alicdn.com/kf/H79aa291de2b44882ad6f7e12897ee963N.jpg,https://ae04.alicdn.com/kf/Hd683a2830d384cfd8fbe2e636334a4c0f.jpg,https://ae04.alicdn.com/kf/H8e85f2104a1c4be3830917ea219aeb41i.jpg,https://ae04.alicdn.com/kf/H6fa1586be90546ab9464d3137e1ea23c9.jpg,",https://www.aliexpress.com/item/1005002101730445.html,12.47,8.85,4.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_A5ZkTu
Walkie Talkie Parts & Accessories,200380144,A58 Z Tactical PTT for Baofeng UV9R UV-9R Plus UV-XR BF-A58 Radio Walkie Talkie COMTAC MSA EARMOR TCA TRI NATO Headset U94 PTT,1005002125753505,https://ae01.alicdn.com/kf/H6c33d515c8974a819c93c913ab9d0f79Q/A58-Z-Tactical-PTT-for-Baofeng-UV9R-UV-9R-Plus-UV-XR-BF-A58-Radio-Walkie.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6c33d515c8974a819c93c913ab9d0f79Q.jpg,https://ae04.alicdn.com/kf/He5877cc6111e4c90b43e7c52c3f144d0c.jpg,https://ae04.alicdn.com/kf/H809cf93e16234388a9cc191b30e03958H.jpg,https://ae04.alicdn.com/kf/H408d3f029c5740758f86aaee8841b52d7.jpg,https://ae04.alicdn.com/kf/H65a49db1cac042818a76461842b75b3bA.jpg,",https://www.aliexpress.com/item/1005002125753505.html,22.27,15.59,4.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_97cBgA
Walkie Talkie Parts & Accessories,200380144,4.2 version wireless Microphone for F22 4G-W2PLUS T320 3G/4G Radio REALPTT ZELLO support Wireless Handheld Microphone,1005002121211258,https://ae01.alicdn.com/kf/Hc8cf300307ad46c89fd81d41275c92cch/4-2-version-wireless-Microphone-for-F22-4G-W2PLUS-T320-3G-4G-Radio-REALPTT-ZELLO-support.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc8cf300307ad46c89fd81d41275c92cch.jpg,https://ae04.alicdn.com/kf/H410a7d6720ea495a911544cb240d665br.jpg,https://ae04.alicdn.com/kf/H36fea89de9484362b25f585056f4f62fD.jpg,https://ae04.alicdn.com/kf/H08611d387f614e3e8a855a5a0cfe1800n.jpg,https://ae04.alicdn.com/kf/H8c81744364054c41b07514fd1eac823aC.jpg,",https://www.aliexpress.com/item/1005002121211258.html,72.27,50.59,8.00%,2098-12-31,30%,https://s.click.aliexpress.com/e/_ALAj6i
