Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Wedding Dresses,32005,Luxury Mermaid Long Sleeve Wedding Dresses 2021 robe de mariee Beaded Lace Wedding Gowns Handmade Sweep Train Bride Dress,33026266527,https://ae01.alicdn.com/kf/HTB1nhoLabys3KVjSZFnq6xFzpXaT/Luxury-Mermaid-Long-Sleeve-Wedding-Dresses-2021-robe-de-mariee-Beaded-Lace-Wedding-Gowns-Handmade-Sweep.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1nhoLabys3KVjSZFnq6xFzpXaT.jpg,https://ae04.alicdn.com/kf/HTB10yZBahiH3KVjSZPfq6xBiVXah.jpg,https://ae04.alicdn.com/kf/HTB1aVZDak9E3KVjSZFGq6A19XXaF.jpg,https://ae04.alicdn.com/kf/HTB1rKEIalGw3KVjSZFwq6zQ2FXa6.jpg,https://ae04.alicdn.com/kf/HTB1IPmgbe6sK1RjSsrbq6xbDXXau.jpg,",https://www.aliexpress.com/item/33026266527.html,589.00,459.42,8.00%,2098-12-31,22%,https://s.click.aliexpress.com/e/_A4VHLe
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002221226115,https://ae01.alicdn.com/kf/H89994ed3614d4d7b898b673b22069c80m/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H89994ed3614d4d7b898b673b22069c80m.jpg,https://ae04.alicdn.com/kf/Hc18056cd7b8345cfaa6963b59a04ca64g.jpg,https://ae04.alicdn.com/kf/H669b1d219db14f4ea35cd89e865360457.jpg,https://ae04.alicdn.com/kf/H33f1d553be0e449ea6ef1a4143e51f3aL.jpg,https://ae04.alicdn.com/kf/H4bc09cee945c4062aa9f3c1a58161947u.jpg,",https://www.aliexpress.com/item/1005002221226115.html,167.00,75.15,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_AYuXCg
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002221182051,https://ae01.alicdn.com/kf/H5e9da20250424a72998e9b6d6c6c132eW/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5e9da20250424a72998e9b6d6c6c132eW.jpg,https://ae04.alicdn.com/kf/H8480a26673654842aa7f469ec5be58f3h.jpg,https://ae04.alicdn.com/kf/Hffcb0ba4c73d4ba8807a70667c2987b0Q.jpg,https://ae04.alicdn.com/kf/He4af74c517ab4e74b9733a8b67b9978dn.jpg,https://ae04.alicdn.com/kf/H32096d0bd0044b73a1b8b9b8edead557N.jpg,",https://www.aliexpress.com/item/1005002221182051.html,228.00,102.60,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9ulMW0
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002221087586,https://ae01.alicdn.com/kf/H57e37ed6a64f4bd1a0f1aaf8b8d4f30bg/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H57e37ed6a64f4bd1a0f1aaf8b8d4f30bg.jpg,https://ae04.alicdn.com/kf/H426a5b48ff3742a79bed2804fbbfe52aL.jpg,https://ae04.alicdn.com/kf/Hcf62c51cb85943edac27262fa31246a0R.jpg,https://ae04.alicdn.com/kf/H78f6a12d2efe47738c803f9c2898ce44Z.jpg,https://ae04.alicdn.com/kf/H6b8ad53614ed47659979868842d14b1em.jpg,",https://www.aliexpress.com/item/1005002221087586.html,274.00,123.30,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_AlGoHI
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220974962,https://ae01.alicdn.com/kf/H761d4338790e4d3b8f2fadd230cd67d4H/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H761d4338790e4d3b8f2fadd230cd67d4H.jpg,https://ae04.alicdn.com/kf/H6ab606b13da64c3bb6be1d459564052fR.jpg,https://ae04.alicdn.com/kf/H647c607600f74bb99480a6db8c59c350U.jpg,https://ae04.alicdn.com/kf/H472214cfd59f4c31ab757c24f337f406s.jpg,https://ae04.alicdn.com/kf/H80a04b6a3159449289837a4a08635dd38.jpg,",https://www.aliexpress.com/item/1005002220974962.html,228.00,102.60,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9QzbFA
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220818871,https://ae01.alicdn.com/kf/Hef605083077746cd92c89c9dd0637075u/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hef605083077746cd92c89c9dd0637075u.jpg,https://ae04.alicdn.com/kf/Hf4ec70066d2f45b088a798ea3cf3e1f14.jpg,https://ae04.alicdn.com/kf/H1ccbdc3643e64526ac2de297b296ed63R.jpg,https://ae04.alicdn.com/kf/Hcf6453d027954f44bddc4b3ccb273980i.jpg,https://ae04.alicdn.com/kf/Hd7a8eb2a0ca54832961b391eb9140498r.jpg,",https://www.aliexpress.com/item/1005002220818871.html,167.00,75.15,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_A5piJK
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220817389,https://ae01.alicdn.com/kf/Hae352325f4dd40cfaddececa5815ad4co/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae352325f4dd40cfaddececa5815ad4co.jpg,https://ae04.alicdn.com/kf/H1ff4f03a16d34996aef9b8706490ef79N.jpg,https://ae04.alicdn.com/kf/H09402e879b3d4bfb98e4ed45b95cfcf55.jpg,https://ae04.alicdn.com/kf/H56077590553f47838d85471fd405ecc4B.jpg,https://ae04.alicdn.com/kf/Hd2e155b0647b406b9c79727dd557165f5.jpg,",https://www.aliexpress.com/item/1005002220817389.html,228.00,102.60,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_A3vJyg
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220738842,https://ae01.alicdn.com/kf/H71e3256e205b41eaaef98e9a6f6019e9l/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H71e3256e205b41eaaef98e9a6f6019e9l.jpg,https://ae04.alicdn.com/kf/H37c7058cfcaf44ab82ee8898c9a63a7aU.jpg,https://ae04.alicdn.com/kf/H0a0e77d9ba084b0a9da6cf613c64031eC.jpg,https://ae04.alicdn.com/kf/Hae6a2dc309114ab0b89c1014eac9accfY.jpg,https://ae04.alicdn.com/kf/H562c41b5889543c1a84b1b0166e97a6fP.jpg,",https://www.aliexpress.com/item/1005002220738842.html,205.00,92.25,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_AYmZ6M
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220713720,https://ae01.alicdn.com/kf/H17a8134bad69491d984e5912c8fdb5d8W/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H17a8134bad69491d984e5912c8fdb5d8W.jpg,https://ae04.alicdn.com/kf/H965a23c2aae848a198d8a9fb2e6e3492a.jpg,https://ae04.alicdn.com/kf/H69f3c037440146f885b7d062b5c124bd7.jpg,https://ae04.alicdn.com/kf/H5ad4114411ac441cad200bbe925239f6P.jpg,https://ae04.alicdn.com/kf/H4659b5510ad24e10acc931e628a2412aH.jpg,",https://www.aliexpress.com/item/1005002220713720.html,157.00,70.65,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_9Q3d9K
Wedding Dresses,32005,Hi Shy Bridal 2021 New Luxury Lace Wedding Dresses  Suitable for Every Bride Free Tailored Plus Size and Free Shipping,1005002220681459,https://ae01.alicdn.com/kf/Hf66c4adc819349549246fc6ae099d6a76/Hi-Shy-Bridal-2021-New-Luxury-Lace-Wedding-Dresses-Suitable-for-Every-Bride-Free-Tailored-Plus.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf66c4adc819349549246fc6ae099d6a76.jpg,https://ae04.alicdn.com/kf/H1038bf8ab85648b8a7eb5c3ccfa4d10b9.jpg,https://ae04.alicdn.com/kf/H41c2abb22ab740ab90c82ffef8c0ef0bB.jpg,https://ae04.alicdn.com/kf/H78015953b77245eaab1d7d9aa5d43239B.jpg,https://ae04.alicdn.com/kf/Hc43a41dcc387478ea033b712767badb1S.jpg,",https://www.aliexpress.com/item/1005002220681459.html,274.00,123.30,30.00%,2098-12-31,55%,https://s.click.aliexpress.com/e/_ALrLQ4
