Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Skirts,349,Spring Fall Vintage Red Wine Velvet Patchwork Mesh V-neck Mid-calf Lace Long Sleeve Evening Party Long Women Vestidos,1005002038604850,https://ae01.alicdn.com/kf/H32e79dc2a0574554a16b26349f9a1f7dW/Spring-Fall-Vintage-Red-Wine-Velvet-Patchwork-Mesh-V-neck-Mid-calf-Lace-Long-Sleeve-Evening.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H32e79dc2a0574554a16b26349f9a1f7dW.jpg,https://ae04.alicdn.com/kf/H21b2674f6d864aaa9cf175ba257120a9J.jpg,https://ae04.alicdn.com/kf/H9927c16901f1406392d14f506ae99902V.jpg,https://ae04.alicdn.com/kf/Hf88a86601f1a4b2485d0cadad9f80a92Q.jpg,https://ae04.alicdn.com/kf/Ha492a19f1bbe4805ba7cb3ac0d27ffff1.jpg,",https://www.aliexpress.com/item/1005002038604850.html,61.38,33.76,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9fUSso
Skirts,349,2021 Long Sleeve Hooded Patchwork Skinny Maxi Dress Autumn Winter Women Fashion Streetwear Casual Outfits,1005002040552099,https://ae01.alicdn.com/kf/H5a9bc1d5b6a149edb1e1aeb6fc892cbfK/2021-Long-Sleeve-Hooded-Patchwork-Skinny-Maxi-Dress-Autumn-Winter-Women-Fashion-Streetwear-Casual-Outfits.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5a9bc1d5b6a149edb1e1aeb6fc892cbfK.jpg,https://ae04.alicdn.com/kf/H266e3c7e749d4850866b02c52721d1f2g.jpg,https://ae04.alicdn.com/kf/H2691fd3b610a4170a79660c37f51c51aB.jpg,https://ae04.alicdn.com/kf/Hfa02dd48ca3640f686f82fbd46b92ab5L.jpg,https://ae04.alicdn.com/kf/H4553376fc47f4f17a9c2cbefb936867eo.jpg,",https://www.aliexpress.com/item/1005002040552099.html,48.88,26.88,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9yLgcs
Skirts,349,Women Fashion Denim Skirt Zipper High Waist Slim Jeans Skirts Stretch Summer Blue Buttocks Mini Skirt Denim Pencil Skirts Womens,1005001803427075,https://ae01.alicdn.com/kf/H7fa1df672c9d4b1dad83d3b83dd8d379W/Women-Fashion-Denim-Skirt-Zipper-High-Waist-Slim-Jeans-Skirts-Stretch-Summer-Blue-Buttocks-Mini-Skirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7fa1df672c9d4b1dad83d3b83dd8d379W.jpg,https://ae04.alicdn.com/kf/H716d1555884a40c88b4a089abff0cbf8J.jpg,https://ae04.alicdn.com/kf/Hbbf00047b9b947f58508a68195af74b3N.jpg,https://ae04.alicdn.com/kf/H4c0edd74a2e149bbbd4a074ff4596a91C.jpg,https://ae04.alicdn.com/kf/H247ce07d1a954f73ab8b30b3d8f48ac21.jpg,",https://www.aliexpress.com/item/1005001803427075.html,25.29,14.92,15.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A0p8u0
Skirts,349,Black Slit Hem Sexy Faux Leather Mini Skirts Women High Waist Skinny Pencil Skirt Ladies Casual Office Summer Faux Alligator,1005001692423218,https://ae01.alicdn.com/kf/H9bac7da7be0843fcb8936271cf1140d6P/Black-Slit-Hem-Sexy-Faux-Leather-Mini-Skirts-Women-High-Waist-Skinny-Pencil-Skirt-Ladies-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9bac7da7be0843fcb8936271cf1140d6P.jpg,https://ae04.alicdn.com/kf/H7f54ac6df1e64c31bf93a22504964ea5g.jpg,https://ae04.alicdn.com/kf/H784c43a6edb64c87b2c9cbd44f91eed7L.jpg,https://ae04.alicdn.com/kf/Hfd7bd5126a66455c9db68ae14396955cV.jpg,https://ae04.alicdn.com/kf/Ha6141ac665984ed6b8f974aa56b6414cn.jpg,",https://www.aliexpress.com/item/1005001692423218.html,21.30,12.57,15.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A2A1gc
Skirts,349,Large Size Summer A Line Skirt Women New Lace Girl High Waist Slim Long Skirts Young Female Falda,1005002049627400,https://ae01.alicdn.com/kf/Hb4ee8a2b509446ed8fc2cd118b8914f6E/Large-Size-Summer-A-Line-Skirt-Women-New-Lace-Girl-High-Waist-Slim-Long-Skirts-Young.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb4ee8a2b509446ed8fc2cd118b8914f6E.jpg,https://ae04.alicdn.com/kf/H2256f4460b8c4d5dacff7c69229d4ff0F.jpg,https://ae04.alicdn.com/kf/H2cbacc8eae3343cb9adf6369b695892cB.jpg,https://ae04.alicdn.com/kf/Hee631a1f36e840adba99d540d02de5256.jpg,https://ae04.alicdn.com/kf/H7e9ab746a6804245997211ffbe929841w.jpg,",https://www.aliexpress.com/item/1005002049627400.html,17.28,9.50,9.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9zB908
Skirts,349,Fashion Sexy printing dye Knitted Hip Skirt Slim Side Drawstring Elastic Pleated Adjustable Skirt 2020 Autumn Women's Clothing,1005001669992256,https://ae01.alicdn.com/kf/H860a643b9aed4d6fbf97256b00811d0cF/Fashion-Sexy-printing-dye-Knitted-Hip-Skirt-Slim-Side-Drawstring-Elastic-Pleated-Adjustable-Skirt-2020-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H860a643b9aed4d6fbf97256b00811d0cF.jpg,https://ae04.alicdn.com/kf/H7ca0f0126b2f431bacdad9eb285fbd73T.jpg,https://ae04.alicdn.com/kf/H1c48ad2d17de4e86b032551ed727e475v.jpg,https://ae04.alicdn.com/kf/H8e7db7b37e59499c922837ad83f5860af.jpg,https://ae04.alicdn.com/kf/H173697c75ad9417489547f87a3530e81T.jpg,",https://www.aliexpress.com/item/1005001669992256.html,17.00,10.03,15.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_A9iuay
Skirts,349,2020 Autumn Sexy Pleated Skirt Elastic High Waist Mini Skirt Women Solid Sweet Fashion Sport Streetwear Casual Mini Short Skirt,1005001670534214,https://ae01.alicdn.com/kf/H0b796a15782f4fc785735044dc4b8155J/2020-Autumn-Sexy-Pleated-Skirt-Elastic-High-Waist-Mini-Skirt-Women-Solid-Sweet-Fashion-Sport-Streetwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0b796a15782f4fc785735044dc4b8155J.jpg,https://ae04.alicdn.com/kf/Hebcfa00ccac6491f8778ab4b0e8070c68.jpg,https://ae04.alicdn.com/kf/H46d6c78f7e1443ea80ac600bd522c796w.jpg,https://ae04.alicdn.com/kf/H1a40a64335f14e739d35139882d2b90fD.jpg,https://ae04.alicdn.com/kf/H5761068ae3ab43e5b4c5a69cfb8521f5h.jpg,",https://www.aliexpress.com/item/1005001670534214.html,19.81,11.69,15.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_9IqCxO
Skirts,349,Short skirt female summer ins trend women's retro high waist bag hip side slit sexy leopard skirt 2020 new,4001343814600,https://ae01.alicdn.com/kf/Habb2c33261404679b3cd472507ce7990N/Short-skirt-female-summer-ins-trend-women-s-retro-high-waist-bag-hip-side-slit-sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Habb2c33261404679b3cd472507ce7990N.jpg,https://ae04.alicdn.com/kf/H65a982b3d15248348ef9c92b0c037cdeA.jpg,https://ae04.alicdn.com/kf/H2d64e2aa6fd74e888c2762f67e35d243C.jpg,https://ae04.alicdn.com/kf/H1e002666dd70442f8c22a234d63988cc6.jpg,https://ae04.alicdn.com/kf/H37af550794ec4f9bb7ee6d50a1b827dbZ.jpg,",https://www.aliexpress.com/item/4001343814600.html,20.42,12.05,15.00%,2098-12-31,41%,https://s.click.aliexpress.com/e/_AdlqXW
Skirts,349,Japanese Girl Uniform Plaid Skirts 2021 Summer High Waist Women Sexy Elegant JK Uniforms Soft Sister A-Line Pleated Skirt,1005002208263671,https://ae01.alicdn.com/kf/H6481398f6fa04b349d0c60f463db90142/Japanese-Girl-Uniform-Plaid-Skirts-2021-Summer-High-Waist-Women-Sexy-Elegant-JK-Uniforms-Soft-Sister.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6481398f6fa04b349d0c60f463db90142.jpg,https://ae04.alicdn.com/kf/Ha7553a376f644dbe85eb3981678adacfj.jpg,https://ae04.alicdn.com/kf/H6807bff71e384e298adbac4c929979e4B.jpg,https://ae04.alicdn.com/kf/H0ff3e7c689ba4ae091511be77d6bed8dr.jpg,https://ae04.alicdn.com/kf/H9aad25e13db948b3854cbf470fb0beddi.jpg,",https://www.aliexpress.com/item/1005002208263671.html,8.99,6.47,9.00%,2098-12-31,28%,https://s.click.aliexpress.com/e/_At0C52
Skirts,349,Girl Summer Pleated Skirts Japanese School Uniform High Waist A-Line Plaid Skirt 2021 Sexy Woman Elegant JK Uniforms,1005002207954744,https://ae01.alicdn.com/kf/H9801fa47237d4ea0928f03e374d71136F/Girl-Summer-Pleated-Skirts-Japanese-School-Uniform-High-Waist-A-Line-Plaid-Skirt-2021-Sexy-Woman.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9801fa47237d4ea0928f03e374d71136F.jpg,https://ae04.alicdn.com/kf/H4b324e870f674dbc979818b41b047a9b7.jpg,https://ae04.alicdn.com/kf/H0cc45f4feaa74387ba9dd7f1d66ac82fa.jpg,https://ae04.alicdn.com/kf/H52957b0c39054e43810142a1149f693cx.jpg,https://ae04.alicdn.com/kf/H5ad2574a1a9247fd8056aeef7bc5bb94N.jpg,",https://www.aliexpress.com/item/1005002207954744.html,21.24,14.02,9.00%,2098-12-31,34%,https://s.click.aliexpress.com/e/_AkYuZE
