Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Socks & Hosiery,200000854,Sexy Women's Shiny Fishnet Tights Tights Mesh Pantyhose Multicolor Rhinestone Nylon Shiny Pantyhose Black Sexy Stockings,1005001872210486,https://ae01.alicdn.com/kf/H3a2e7b01fde34b1c9d85b7f7b236f7201/Sexy-Women-s-Shiny-Fishnet-Tights-Tights-Mesh-Pantyhose-Multicolor-Rhinestone-Nylon-Shiny-Pantyhose-Black-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a2e7b01fde34b1c9d85b7f7b236f7201.jpg,https://ae04.alicdn.com/kf/H288301cb8eb0496682d81f5f98a5bb482.jpg,https://ae04.alicdn.com/kf/H633c8fa767f74b489fdfaf57c6518503Y.jpg,https://ae04.alicdn.com/kf/Hfa2ebb42c67d41749efeb4b33fc785ec9.jpg,https://ae04.alicdn.com/kf/He8fe89559c9843648d7d94cde507ae8c2.jpg,",https://www.aliexpress.com/item/1005001872210486.html,4.20,2.31,10.00%,2098-12-31,45%,https://s.click.aliexpress.com/e/_9GFQxc
Women's Socks & Hosiery,200000854,Women's Long Socks Calf Length Knee Length Socks College Style Bright Colors Solid Color Socks Pure Cotton,1005001598661876,https://ae01.alicdn.com/kf/H2425ad2b70c84d7f95363be02db21822v/Women-s-Long-Socks-Calf-Length-Knee-Length-Socks-College-Style-Bright-Colors-Solid-Color-Socks.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2425ad2b70c84d7f95363be02db21822v.jpg,https://ae04.alicdn.com/kf/H027c088ded814070bd88bd1e7c5f920di.jpg,https://ae04.alicdn.com/kf/Hde6ab5e3d34b4aebb72e00e41eda763cL.jpg,https://ae04.alicdn.com/kf/H019f188bb63a4b33a1da54b94ac0f7a7t.jpg,https://ae04.alicdn.com/kf/H853889bc8d7646b1b3b060c0c0d018c2z.jpg,",https://www.aliexpress.com/item/1005001598661876.html,2.48,1.76,16.00%,2098-12-31,29%,https://s.click.aliexpress.com/e/_Aporly
Women's Socks & Hosiery,200000854,5Pairs=10pcs/lot Women Socks Invisible Fluorescence Cotton Blends Sock Ankle Boat Short Socks Low Cut No Show Womens Sock,32720498021,https://ae01.alicdn.com/kf/HTB1eJ0LXZfrK1RkSmLyq6xGApXal/5Pairs-10pcs-lot-Women-Socks-Invisible-Fluorescence-Cotton-Blends-Sock-Ankle-Boat-Short-Socks-Low-Cut.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1eJ0LXZfrK1RkSmLyq6xGApXal.jpg,https://ae04.alicdn.com/kf/HTB1YVnIMVXXXXa6XFXXq6xXFXXXo.jpg,https://ae04.alicdn.com/kf/HTB12yjpMVXXXXboapXXq6xXFXXXY.jpg,https://ae04.alicdn.com/kf/HTB1oFLgSpXXXXXSXFXXq6xXFXXXw.jpg,https://ae04.alicdn.com/kf/HTB1Eei1SpXXXXX4aXXXq6xXFXXX6.jpg,",https://www.aliexpress.com/item/32720498021.html,4.07,3.87,12.00%,2098-12-31,5%,https://s.click.aliexpress.com/e/_AUJFN4
Women's Socks & Hosiery,200000854,Sexy Women's Shiny Fishnet Tights Tights Mesh Pantyhose Multicolor Rhinestone Nylon Shiny Pantyhose Black Sexy Stockings,1005001872232366,https://ae01.alicdn.com/kf/Hccdadd2a96bc4ac2bdd44ee4c11b02c1D/Sexy-Women-s-Shiny-Fishnet-Tights-Tights-Mesh-Pantyhose-Multicolor-Rhinestone-Nylon-Shiny-Pantyhose-Black-Sexy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hccdadd2a96bc4ac2bdd44ee4c11b02c1D.jpg,https://ae04.alicdn.com/kf/H9168677b4f244588b0ecdf33cafe7bedT.jpg,https://ae04.alicdn.com/kf/H634ba366129b4cd3a70051762a88637e3.jpg,https://ae04.alicdn.com/kf/H84938fd43aed4de6889ad15be0969134N.jpg,https://ae04.alicdn.com/kf/H6d65d0e43e9b4bdc9f498c5b190b2213j.jpg,",https://www.aliexpress.com/item/1005001872232366.html,2.60,1.46,20.00%,2098-12-31,44%,https://s.click.aliexpress.com/e/_9wxV02
Women's Socks & Hosiery,200000854,2021 Hot Sexy Womens Print Symbol G C Tights Design Black and White Hollow Out Hosiery Fish Net Special Fashion Pantyhose,1005002122309461,https://ae01.alicdn.com/kf/H01940eff1f4c4f57a2638db656db8245z/2021-Hot-Sexy-Womens-Print-Symbol-G-C-Tights-Design-Black-and-White-Hollow-Out-Hosiery.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H01940eff1f4c4f57a2638db656db8245z.jpg,",https://www.aliexpress.com/item/1005002122309461.html,14.40,9.36,8.00%,2098-12-31,35%,https://s.click.aliexpress.com/e/_AbbmXk
Women's Socks & Hosiery,200000854,2021 Luxuary Sexy France Fashion Letters Elastic Black white Stockings Women Pantyhose Sexy Skinny Tights CC,1005002122243552,https://ae01.alicdn.com/kf/He0e21ecb2e794b4081bbd089a639ba806/2021-Luxuary-Sexy-France-Fashion-Letters-Elastic-Black-white-Stockings-Women-Pantyhose-Sexy-Skinny-Tights-CC.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He0e21ecb2e794b4081bbd089a639ba806.jpg,https://ae04.alicdn.com/kf/H052a754446274a6cb9f290d9d349fb384.jpg,",https://www.aliexpress.com/item/1005002122243552.html,20.00,14.80,8.00%,2098-12-31,26%,https://s.click.aliexpress.com/e/_Ar5Q4I
Women's Socks & Hosiery,200000854,1/2/3pair Comfortable Cotton Socks for Women Men Autumn Winter Casual Unisex Crew Socks Solid Color Comfortable Long Tube Socks,1005001586266721,https://ae01.alicdn.com/kf/Hc36836b7c7324eacab25c6b636421de6E/1-2-3pair-Comfortable-Cotton-Socks-for-Women-Men-Autumn-Winter-Casual-Unisex-Crew-Socks-Solid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc36836b7c7324eacab25c6b636421de6E.jpg,https://ae04.alicdn.com/kf/H694e9a3794ff416195c3de7c97246cf3G.jpg,https://ae04.alicdn.com/kf/Hd7042cd257cf41a5bf58c8480c3cbe9cK.jpg,https://ae04.alicdn.com/kf/Haa2d10fd986d4cf7a045f38d49a89a9eQ.jpg,https://ae04.alicdn.com/kf/Ha7ef81e7574541438198ed293240c358p.jpg,",https://www.aliexpress.com/item/1005001586266721.html,3.98,2.39,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_99KKrG
Women's Socks & Hosiery,200000854,6 pairs /set happy funny women/men socks combed cotton bird flower fish cloud sock  comfortable breathable for couple,1005002082439263,https://ae01.alicdn.com/kf/H7cf22ddf26ad4e819199e9236e8d2528M/6-pairs-set-happy-funny-women-men-socks-combed-cotton-bird-flower-fish-cloud-sock-comfortable.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7cf22ddf26ad4e819199e9236e8d2528M.jpg,https://ae04.alicdn.com/kf/Hdf316d4e67574fc5a4e90b20bbfed8a9q.jpg,https://ae04.alicdn.com/kf/H141e9ac92fd041f7b3d53e14a64eb32cK.jpg,https://ae04.alicdn.com/kf/H55bf21c595124856811cfef0b24bc531z.jpg,https://ae04.alicdn.com/kf/H69b74d8cd1cc47179f0c50e478d5be4ei.jpg,",https://www.aliexpress.com/item/1005002082439263.html,10.50,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_AEOgYA
Women's Socks & Hosiery,200000854,Fashion Women Pantyhose Seamless Winter Warm High Elastic  Tights Pantyhose Sexy Stretchy Long Stockings Medias Collant Femme,1005001510192276,https://ae01.alicdn.com/kf/Hcaae981509164d1283c3cf44298744e4S/Fashion-Women-Pantyhose-Seamless-Winter-Warm-High-Elastic-Tights-Pantyhose-Sexy-Stretchy-Long-Stockings-Medias-Collant.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcaae981509164d1283c3cf44298744e4S.jpg,https://ae04.alicdn.com/kf/H1608c700858d48a18d656cf248180132n.jpg,https://ae04.alicdn.com/kf/H429a42db096449e7972c8567f25ff7cdE.jpg,https://ae04.alicdn.com/kf/H2bbe05cf872c4f168d64b7b61f6e3b7fZ.jpg,https://ae04.alicdn.com/kf/H0af6b0bd931d47e7a458ebd579028af74.jpg,",https://www.aliexpress.com/item/1005001510192276.html,12.32,7.39,8.00%,2098-12-31,40%,https://s.click.aliexpress.com/e/_AOhSqK
Women's Socks & Hosiery,200000854,5 Pairs /set  Women Boat  Socks Candy Color Kawaii Cartoon Pattern Cotton Soft Socks for Girls Invisible No Show Socks,1005002086274819,https://ae01.alicdn.com/kf/Hbf2fb24c316c4eab9d624a2f1f66ba948/5-Pairs-set-Women-Boat-Socks-Candy-Color-Kawaii-Cartoon-Pattern-Cotton-Soft-Socks-for-Girls.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbf2fb24c316c4eab9d624a2f1f66ba948.jpg,https://ae04.alicdn.com/kf/H2d6638bd42f1457fb0db1e0a9593ad97j.jpg,https://ae04.alicdn.com/kf/H924e5916443445978a00b1146bda21a9j.jpg,https://ae04.alicdn.com/kf/Hadc157f1d58e4b9a91537205b151f2e5d.jpg,https://ae04.alicdn.com/kf/H88e22f8985d2428eb25e8c5031de35a71.jpg,",https://www.aliexpress.com/item/1005002086274819.html,4.89,,8.00%,2098-12-31,null%,https://s.click.aliexpress.com/e/_9vV6VY
